Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,wfef
1507539600,2017-10-09 09-AM,BTCUSD,4575.4,4589.5,4568.6,4585.7,628.89,2878897.86,26855
1507543200,2017-10-09 10-AM,BTCUSD,4585.7,4619,4582,4594.9,1333.44,6134684.09,26854
1507546800,2017-10-09 11-AM,BTCUSD,4594.9,4618,4594.9,4603,738.14,3401164.6,26853
1507550400,2017-10-09 12-PM,BTCUSD,4603,4610,4585,4595.5,570.88,2625211.2,26852
1507554000,2017-10-09 01-PM,BTCUSD,4595.5,4621,4585.1,4617.2,1196.97,5515389.68,26851
1507557600,2017-10-09 02-PM,BTCUSD,4617.2,4672.4,4614.5,4667,2702.16,12559871.1,26850
1507561200,2017-10-09 03-PM,BTCUSD,4667,4674,4640,4643,1691.23,7877704.43,26849
1507564800,2017-10-09 04-PM,BTCUSD,4643,4655.9,4633.3,4649.9,944.86,4389169.28,26848
1507568400,2017-10-09 05-PM,BTCUSD,4649.9,4723.1,4646.7,4715.3,3645.9,17116512.96,26847
1507572000,2017-10-09 06-PM,BTCUSD,4715.3,4765,4682.2,4745,5617.05,26526067.99,26846
1507575600,2017-10-09 07-PM,BTCUSD,4745,4879.8,4745,4794.9,8350.05,40234822.55,26845
1507579200,2017-10-09 08-PM,BTCUSD,4794.9,4850,4720.6,4845.9,5532.39,26539189.03,26844
1507582800,2017-10-09 09-PM,BTCUSD,4845.9,4850,4786,4815.3,1551.93,7465702.03,26843
1507586400,2017-10-09 10-PM,BTCUSD,4815.3,4827,4732,4752.3,3233.8,15465443.46,26842
1507590000,2017-10-09 11-PM,BTCUSD,4752.3,4818.7,4750,4782.3,1362.72,6528899.08,26841
1507593600,2017-10-10 12-AM,BTCUSD,4782.3,4884.9,4782.2,4883,2515.61,12172826.21,26840
1507597200,2017-10-10 01-AM,BTCUSD,4883,4893.9,4817,4817.3,1921.98,9336101.1,26839
1507600800,2017-10-10 02-AM,BTCUSD,4817.3,4830,4788.9,4827,1130.22,5437155.84,26838
1507604400,2017-10-10 03-AM,BTCUSD,4827,4827,4770,4790.9,1288.13,6173138.61,26837
1507608000,2017-10-10 04-AM,BTCUSD,4790.9,4831.6,4790.2,4805.6,783.51,3774130.24,26836
1507611600,2017-10-10 05-AM,BTCUSD,4805.6,4843.3,4804.1,4842.8,740.53,3571031.76,26835
1507615200,2017-10-10 06-AM,BTCUSD,4842.8,4865.8,4830.2,4845,947.1,4590819.3,26834
1507618800,2017-10-10 07-AM,BTCUSD,4845,4853.4,4780.2,4783,1223.96,5897877.92,26833
1507622400,2017-10-10 08-AM,BTCUSD,4783,4820,4757.6,4793.1,1552.2,7425155.9,26832
1507626000,2017-10-10 09-AM,BTCUSD,4793.1,4811.8,4775,4786.7,942.19,4513735.06,26831
1507629600,2017-10-10 10-AM,BTCUSD,4786.7,4850,4760,4818.9,2874.52,13815160.82,26830
1507633200,2017-10-10 11-AM,BTCUSD,4818.9,4840,4793.8,4805.9,1311.08,6311567.02,26829
1507636800,2017-10-10 12-PM,BTCUSD,4805.9,4854.9,4800.2,4850.8,1335.63,6447960.6,26828
1507640400,2017-10-10 01-PM,BTCUSD,4850.8,4857.4,4808,4826.8,1230.17,5945563.96,26827
1507644000,2017-10-10 02-PM,BTCUSD,4826.8,4834.9,4786.2,4797.2,1101.28,5301683.55,26826
1507647600,2017-10-10 03-PM,BTCUSD,4797.2,4825.5,4797.1,4802.1,890.43,4283878.98,26825
1507651200,2017-10-10 04-PM,BTCUSD,4802.1,4896,4802,4887.8,3003.3,14582907.89,26824
1507654800,2017-10-10 05-PM,BTCUSD,4887.8,4919.5,4885.8,4900,3860.96,18929528.94,26823
1507658400,2017-10-10 06-PM,BTCUSD,4900,4940,4868,4884,3338.88,16396941.61,26822
1507662000,2017-10-10 07-PM,BTCUSD,4884,4902,4861,4883.6,1455.39,7103663.57,26821
1507665600,2017-10-10 08-PM,BTCUSD,4883.6,4908,4870.1,4893,802.99,3925457.26,26820
1507669200,2017-10-10 09-PM,BTCUSD,4893,4899.7,4827.4,4844.1,1656.54,8044079.75,26819
1507672800,2017-10-10 10-PM,BTCUSD,4844.1,4851.8,4751,4790.1,3435.33,16465006.02,26818
1507676400,2017-10-10 11-PM,BTCUSD,4790.1,4811.5,4716.4,4777.7,3135.21,14910100.34,26817
1507680000,2017-10-11 12-AM,BTCUSD,4777.7,4795,4734.4,4755.4,3267.22,15546285.26,26816
1507683600,2017-10-11 01-AM,BTCUSD,4755.4,4779.4,4750,4769,883.88,4212667.91,26815
1507687200,2017-10-11 02-AM,BTCUSD,4769,4800,4760.1,4782.3,1221.77,5847402.28,26814
