num,month_year,bt_ret
0,2018-1,0.0
1,2018-10,-7.986647055775542
2,2018-11,-6.903021029660139
3,2018-12,7.940985668164546
4,2018-2,8.11004266416031
5,2018-3,3.4846302081746106
6,2018-4,5.834546732626277
7,2018-5,2.9476751160613546
8,2018-6,-0.9227067956857349
9,2018-7,-2.2144798843007685
10,2018-8,-9.160867296885744
11,2018-9,4.495630297477127
12,2019-1,3.1179242349026692
13,2019-10,-0.0053587113308051215
14,2019-11,1.2534475647311694
15,2019-12,6.028594882909322
16,2019-2,-0.09120338071361145
17,2019-3,3.9384121543532546
18,2019-4,1.525984616554965
19,2019-5,-0.9174422680300998
20,2019-6,5.239072993486571
21,2019-7,-4.378347292007135
22,2019-8,-7.439036280508415
23,2019-9,-4.12842069507684
24,2020-1,-3.0832716223479717
25,2020-10,-0.2705720845466164
26,2020-11,10.30342080482417
27,2020-12,13.71998444877789
28,2020-2,-17.48082238315847
29,2020-3,-9.432899972827736
30,2020-4,1.6549992355173626
31,2020-5,7.11902765281055
32,2020-6,4.163151614762217
33,2020-7,7.337593407088705
34,2020-8,-1.896302025836416
35,2020-9,-9.645235546230646
