RANK,SYMBOL,INDUSTRIES,RETURN,MARKET RETURN,SCORE
1,ZEC-USD,Cryptocurrentcy,40.925607335101674,-12.922419983494754,1162.1103806851684
2,XEM-USD,Cryptocurrentcy,24.220896683123055,-25.210045970000554,93.4705605943825
3,BTC-USD,Cryptocurrentcy,13.408768944144322,0.3287119311221025,51.911019256598614
4,WAVES-USD,Cryptocurrentcy,14.203925941235864,-11.651052801602873,47.93174647459552
5,LTC-USD,Cryptocurrentcy,9.433474723431027,-14.50825293644417,27.504288269552156
6,ETH-USD,Cryptocurrentcy,5.5515420296144615,-9.002395766518593,17.497822589461816
7,DCR-USD,Cryptocurrentcy,5.860281538267327,5.267616583313505,3.9397932402670213
8,XLM-USD,Cryptocurrentcy,-2.4155733463116236,-12.79285121248869,3.4739525080500644
9,ETC-USD,Cryptocurrentcy,-14.045684545033362,-18.72167690795504,-0.5845157064496154
10,DGB-USD,Cryptocurrentcy,-11.803960466493436,-12.214614282086183,-0.722181671129602
11,DASH-USD,Cryptocurrentcy,-52.069016002152466,-29.677535226357705,-1.8609648507207344
12,XMR-USD,Cryptocurrentcy,-16.607384810824897,-13.486949881411295,-2.0459084409962403
13,USDT-USD,Cryptocurrentcy,-0.11553696880927192,0.08394000709232433,-11.416488145439912
14,XRP-USD,Cryptocurrentcy,-29.36894350123964,8.835097701890053,-24.4130117515356
15,SC-USD,Cryptocurrentcy,38.56098819144684,80.70048833457318,-11317.148220614603
