RANK,SYMBOL,INDUSTRIES,RETURN,SCORE
1,ZEC-USD,Cryptocurrentcy,40.925607335101674,1162.1103806851684
2,XEM-USD,Cryptocurrentcy,24.220896683123055,93.4705605943825
3,BTC-USD,Cryptocurrentcy,13.408768944144322,51.911019256598614
4,WAVES-USD,Cryptocurrentcy,14.203925941235864,47.93174647459552
5,LTC-USD,Cryptocurrentcy,9.433474723431027,27.504288269552156
6,ETH-USD,Cryptocurrentcy,5.5515420296144615,17.497822589461816
7,DCR-USD,Cryptocurrentcy,5.860281538267327,3.9397932402670213
8,XLM-USD,Cryptocurrentcy,-2.4155733463116236,3.4739525080500644
9,ETC-USD,Cryptocurrentcy,-14.045684545033362,-0.5845157064496154
10,DGB-USD,Cryptocurrentcy,-11.803960466493436,-0.722181671129602
11,DASH-USD,Cryptocurrentcy,-52.069016002152466,-1.8609648507207344
12,XMR-USD,Cryptocurrentcy,-16.607384810824897,-2.0459084409962403
13,USDT-USD,Cryptocurrentcy,-0.11553696880927192,-11.416488145439912
14,XRP-USD,Cryptocurrentcy,-29.36894350123964,-24.4130117515356
15,SC-USD,Cryptocurrentcy,38.56098819144684,-11317.148220614603
