Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,benchmark
2018-01-02,42.380001068115234,1000.0,0.0,0.0,1000.0,0.0,hold,,,2695.81005859375
2018-01-03,42.869998931884766,1000.0,0.0,0.0,1000.0,0.0,hold,,,2713.06005859375
2018-01-04,43.040000915527344,1000.0,0.0,0.0,1000.0,0.0,hold,,,2723.989990234375
2018-01-05,43.099998474121094,1000.0,0.0,0.0,1000.0,0.0,hold,,,2743.14990234375
2018-01-08,43.08000183105469,1000.0,0.0,0.0,1000.0,0.0,hold,,,2747.7099609375
2018-01-09,42.869998931884766,1000.0,0.0,0.0,1000.0,0.0,hold,,,2751.2900390625
2018-01-10,42.900001525878906,1000.0,0.0,0.0,1000.0,0.0,hold,,,2748.22998046875
2018-01-11,43.27000045776367,1000.0,0.0,0.0,1000.0,0.0,hold,,,2767.56005859375
2018-01-12,43.90999984741211,1000.0,0.0,0.0,1000.0,0.0,hold,,,2786.239990234375
2018-01-16,42.459999084472656,1000.0,0.0,0.0,1000.0,0.0,hold,,,2776.419921875
2018-01-17,42.880001068115234,1000.0,0.0,0.0,1000.0,0.0,hold,,,2802.56005859375
2018-01-18,42.900001525878906,1000.0,0.0,0.0,1000.0,0.0,hold,,,2798.030029296875
2018-01-19,42.400001525878906,999.95,-0.049999999999954525,23.583725566370063,0.0,999.95,buy,42.400001525878906,,2810.300048828125
2018-01-22,43.38999938964844,1023.2978379304333,23.34783793043323,23.583725566370063,0.0,1023.2978379304333,hold,,,2832.969970703125
2018-01-23,43.2400016784668,1019.7603330743418,-3.5375048560914593,23.583725566370063,0.0,1019.7603330743418,hold,,,2839.1298828125
2018-01-24,43.939998626708984,1036.165242112082,16.404909037740254,0.0,1036.165242112082,0.0,sell,,43.939998626708984,2837.5400390625
2018-01-25,43.7400016784668,1036.165242112082,0.0,0.0,1036.165242112082,0.0,hold,,,2839.25
2018-01-26,43.810001373291016,1036.165242112082,0.0,0.0,1036.165242112082,0.0,hold,,,2872.8701171875
2018-01-29,43.349998474121094,1036.165242112082,0.0,0.0,1036.165242112082,0.0,hold,,,2853.530029296875
2018-01-30,42.810001373291016,1036.165242112082,0.0,0.0,1036.165242112082,0.0,hold,,,2822.429931640625
2018-01-31,42.790000915527344,1036.165242112082,0.0,0.0,1036.165242112082,0.0,hold,,,2823.81005859375
2018-02-01,43.36000061035156,1036.165242112082,0.0,0.0,1036.165242112082,0.0,hold,,,2821.97998046875
2018-02-02,41.15999984741211,1036.165242112082,0.0,0.0,1036.165242112082,0.0,hold,,,2762.1298828125
2018-02-05,39.779998779296875,1036.165242112082,0.0,0.0,1036.165242112082,0.0,hold,,,2648.93994140625
2018-02-06,40.56999969482422,1036.165242112082,0.0,0.0,1036.165242112082,0.0,hold,,,2695.139892578125
2018-02-07,40.0,1036.1134338499764,-0.051808262105623726,25.90283584624941,0.0,1036.1134338499764,buy,40.0,,2681.659912109375
2018-02-08,39.54999923706055,1024.354692243073,-11.758741606903413,0.0,1024.354692243073,0.0,sell,,39.54999923706055,2581.0
2018-02-09,39.11000061035156,1024.3034745084608,-0.05121773461223711,26.190321107725833,0.0,1024.3034745084608,buy,39.11000061035156,,2619.550048828125
2018-02-12,39.869998931884766,1044.208074590748,19.90460008228729,26.190321107725833,0.0,1044.208074590748,hold,,,2656.0
2018-02-13,39.689998626708984,1039.4938087987057,-4.714265792042397,26.190321107725833,0.0,1039.4938087987057,hold,,,2662.93994140625
2018-02-14,40.369998931884766,1057.1975048210963,17.70369602239066,0.0,1057.1975048210963,0.0,sell,,40.369998931884766,2698.6298828125
2018-02-15,39.84000015258789,1057.1975048210963,0.0,0.0,1057.1975048210963,0.0,hold,,,2731.199951171875
2018-02-16,39.619998931884766,1057.1975048210963,0.0,0.0,1057.1975048210963,0.0,hold,,,2732.219970703125
2018-02-20,39.52000045776367,1057.1446449458554,-0.052859875240983456,26.749611151337426,0.0,1057.1446449458554,buy,39.52000045776367,,2716.260009765625
