Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,benchmark
2018-01-02,295755,1000.0,0.0,0.0,1000.0,0.0,hold,,,2695.81005859375
2018-01-03,299905,1000.0,0.0,0.0,1000.0,0.0,hold,,,2713.06005859375
2018-01-04,300516,1000.0,0.0,0.0,1000.0,0.0,hold,,,2723.989990234375
2018-01-05,301525,1000.0,0.0,0.0,1000.0,0.0,hold,,,2743.14990234375
2018-01-08,304180,1000.0,0.0,0.0,1000.0,0.0,hold,,,2747.7099609375
2018-01-09,304500,1000.0,0.0,0.0,1000.0,0.0,hold,,,2751.2900390625
2018-01-10,308350,1000.0,0.0,0.0,1000.0,0.0,hold,,,2748.22998046875
2018-01-11,309950,1000.0,0.0,0.0,1000.0,0.0,hold,,,2767.56005859375
2018-01-12,315225,1000.0,0.0,0.0,1000.0,0.0,hold,,,2786.239990234375
2018-01-16,315261,1000.0,0.0,0.0,1000.0,0.0,hold,,,2776.419921875
2018-01-17,321469,999.9500000000002,-0.04999999999984084,0.0031105643156882938,0.0,999.9500000000002,buy,321469.0,,2802.56005859375
2018-01-18,320000,995.380581020254,-4.56941897974616,0.0031105643156882938,0.0,995.380581020254,hold,,,2798.030029296875
2018-01-19,320238,996.1208953273879,0.7403143071338718,0.0031105643156882938,0.0,996.1208953273879,hold,,,2810.300048828125
2018-01-22,324064,1008.0219143992113,11.901019071823384,0.0031105643156882938,0.0,1008.0219143992113,hold,,,2832.969970703125
2018-01-23,322885,1004.3545590710147,-3.6673553281965496,0.0031105643156882938,0.0,1004.3545590710147,hold,,,2839.1298828125
2018-01-24,323480,1006.2053448388492,1.850785767834509,0.0031105643156882938,0.0,1006.2053448388492,hold,,,2837.5400390625
2018-01-25,322850,1004.2456893199657,-1.959655518883551,0.0031105643156882938,0.0,1004.2456893199657,hold,,,2839.25
2018-01-26,325915,1013.7795689475503,9.53387962758461,0.0031105643156882938,0.0,1013.7795689475503,hold,,,2872.8701171875
2018-01-29,323500,1006.2675561251631,-7.512012822387192,0.0031105643156882938,0.0,1006.2675561251631,hold,,,2853.530029296875
2018-01-30,323000,1004.7122739673189,-1.5552821578442035,0.0031105643156882938,0.0,1004.7122739673189,hold,,,2822.429931640625
2018-01-31,323375,1005.878735585702,1.1664616183830958,0.0031105643156882938,0.0,1005.878735585702,hold,,,2823.81005859375
2018-02-01,325900,1013.732910482815,7.854174897113012,0.0031105643156882938,0.0,1013.732910482815,hold,,,2821.97998046875
2018-02-02,314340,977.7747869934583,-35.958123489356694,0.0031105643156882938,0.0,977.7747869934583,hold,,,2762.1298828125
2018-02-05,295600,919.3908634362879,-58.38392355717042,0.0,919.3908634362879,0.0,sell,,295600.0,2648.93994140625
