Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,benchmark
2018-01-02,47.38999938964844,1000.0,0.0,0.0,1000.0,0.0,hold,,,2695.81005859375
2018-01-03,46.720001220703125,1000.0,0.0,0.0,1000.0,0.0,hold,,,2713.06005859375
2018-01-04,47.11000061035156,1000.0,0.0,0.0,1000.0,0.0,hold,,,2723.989990234375
2018-01-05,47.290000915527344,999.9500000000002,-0.04999999999984084,21.145061971687834,0.0,999.9500000000002,buy,47.290000915527344,,2743.14990234375
2018-01-08,47.630001068115234,1007.0386103644247,7.0886103644245395,0.0,1007.0386103644247,0.0,sell,,47.630001068115234,2747.7099609375
2018-01-09,47.29999923706055,1007.0386103644247,0.0,0.0,1007.0386103644247,0.0,hold,,,2751.2900390625
2018-01-10,45.81999969482422,1007.0386103644247,0.0,0.0,1007.0386103644247,0.0,hold,,,2748.22998046875
2018-01-11,45.75,1007.0386103644247,0.0,0.0,1007.0386103644247,0.0,hold,,,2767.56005859375
2018-01-12,45.5099983215332,1006.9882584339065,-0.05035193051821807,22.12674787020255,0.0,1006.9882584339065,buy,45.5099983215332,,2786.239990234375
2018-01-16,46.439998626708984,1027.5661407057423,20.577882271835847,22.12674787020255,0.0,1027.5661407057423,hold,,,2776.419921875
2018-01-17,46.959999084472656,1038.9681525210963,11.402011815353944,0.0,1038.9681525210963,0.0,sell,,46.959999084472656,2802.56005859375
2018-01-18,46.25,1038.9681525210963,0.0,0.0,1038.9681525210963,0.0,hold,,,2798.030029296875
2018-01-19,47.38999938964844,1038.9681525210963,0.0,0.0,1038.9681525210963,0.0,hold,,,2810.300048828125
2018-01-22,47.650001525878906,1038.9681525210963,0.0,0.0,1038.9681525210963,0.0,hold,,,2832.969970703125
2018-01-23,47.56999969482422,1038.9162041134703,-0.05194840762601416,21.839735353761373,0.0,1038.9162041134703,buy,47.56999969482422,,2839.1298828125
2018-01-24,47.099998474121094,1028.651501837369,-10.264702276101161,21.839735353761373,0.0,1028.651501837369,hold,,,2837.5400390625
2018-01-25,47.459999084472656,1036.51381989464,7.862318057270841,21.839735353761373,0.0,1036.51381989464,hold,,,2839.25
2018-01-26,47.34000015258789,1033.8930749795425,-2.6207449150974753,21.839735353761373,0.0,1033.8930749795425,hold,,,2872.8701171875
