Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,benchmark
2018-01-02,127.58000183105469,1000.0,0.0,0.0,1000.0,0.0,hold,,,2695.81005859375
2018-01-03,128.50999450683594,1000.0,0.0,0.0,1000.0,0.0,hold,,,2713.06005859375
2018-01-04,128.11000061035156,1000.0,0.0,0.0,1000.0,0.0,hold,,,2723.989990234375
2018-01-05,127.9000015258789,1000.0,0.0,0.0,1000.0,0.0,hold,,,2743.14990234375
2018-01-08,128.52999877929688,1000.0,0.0,0.0,1000.0,0.0,hold,,,2747.7099609375
2018-01-09,127.83999633789062,1000.0,0.0,0.0,1000.0,0.0,hold,,,2751.2900390625
2018-01-10,128.66000366210938,1000.0,0.0,0.0,1000.0,0.0,hold,,,2748.22998046875
2018-01-11,132.57000732421875,1000.0,0.0,0.0,1000.0,0.0,hold,,,2767.56005859375
2018-01-12,133.60000610351562,999.95,-0.049999999999954525,7.484655346686297,0.0,999.95,buy,133.60000610351562,,2786.239990234375
2018-01-16,132.00999450683594,988.0493112016183,-11.900688798381793,7.484655346686297,0.0,988.0493112016183,hold,,,2776.419921875
2018-01-17,132.36000061035156,990.6689862556693,2.619675054051072,7.484655346686297,0.0,990.6689862556693,hold,,,2802.56005859375
2018-01-18,131.58999633789062,984.9057696608232,-5.763216594846085,7.484655346686297,0.0,984.9057696608232,hold,,,2798.030029296875
2018-01-19,131.3000030517578,982.7352698612661,-2.170499799557092,7.484655346686297,0.0,982.7352698612661,hold,,,2810.300048828125
2018-01-22,132.55999755859375,992.1658944836512,9.43062462238504,7.484655346686297,0.0,992.1658944836512,hold,,,2832.969970703125
2018-01-23,131.02000427246094,980.5415115431862,-11.624382940465011,0.0,980.5415115431862,0.0,sell,,131.02000427246094,2839.1298828125
2018-01-24,131.38999938964844,980.5415115431862,0.0,0.0,980.5415115431862,0.0,hold,,,2837.5400390625
2018-01-25,130.64999389648438,980.5415115431862,0.0,0.0,980.5415115431862,0.0,hold,,,2839.25
2018-01-26,131.19000244140625,980.5415115431862,0.0,0.0,980.5415115431862,0.0,hold,,,2872.8701171875
2018-01-29,128.47999572753906,980.5415115431862,0.0,0.0,980.5415115431862,0.0,hold,,,2853.530029296875
2018-01-30,125.2300033569336,980.5415115431862,0.0,0.0,980.5415115431862,0.0,hold,,,2822.429931640625
2018-01-31,125.3499984741211,980.5415115431862,0.0,0.0,980.5415115431862,0.0,hold,,,2823.81005859375
2018-02-01,125.56999969482422,980.5415115431862,0.0,0.0,980.5415115431862,0.0,hold,,,2821.97998046875
2018-02-02,118.58000183105469,980.5415115431862,0.0,0.0,980.5415115431862,0.0,hold,,,2762.1298828125
2018-02-05,112.62000274658203,980.4924844676092,-0.049027075576987045,8.706201922885024,1.1368683772161603e-13,980.4924844676091,buy,112.62000274658203,,2648.93994140625
2018-02-06,117.18000030517578,1020.0907247061912,39.59824023858198,0.0,1020.0907247061912,0.0,sell,,117.18000030517578,2695.139892578125
2018-02-07,115.29000091552734,1020.0907247061912,0.0,0.0,1020.0907247061912,0.0,hold,,,2681.659912109375
2018-02-08,112.30000305175781,1020.0907247061912,0.0,0.0,1020.0907247061912,0.0,hold,,,2581.0
2018-02-09,113.5,1020.0907247061912,0.0,0.0,1020.0907247061912,0.0,hold,,,2619.550048828125
2018-02-12,113.9800033569336,1020.0907247061912,0.0,0.0,1020.0907247061912,0.0,hold,,,2656.0
2018-02-13,113.29000091552734,1020.0397201699559,-0.05100453623526846,9.003793026098837,0.0,1020.0397201699559,buy,113.29000091552734,,2662.93994140625
2018-02-14,113.62999725341797,1023.1009768259547,3.061256655998818,9.003793026098837,0.0,1023.1009768259547,hold,,,2698.6298828125
2018-02-15,112.52999877929688,1013.0954985541202,-10.005478271834477,0.0,1013.0954985541202,0.0,sell,,112.52999877929688,2731.199951171875
2018-02-16,112.13999938964844,1013.0954985541202,0.0,0.0,1013.0954985541202,0.0,hold,,,2732.219970703125
2018-02-20,110.9800033569336,1013.0954985541202,0.0,0.0,1013.0954985541202,0.0,hold,,,2716.260009765625
2018-02-21,109.05999755859375,1013.0448437791925,-0.050654774927693325,9.288876457519839,-1.1368683772161603e-13,1013.0448437791927,buy,109.05999755859375,,2701.330078125
2018-02-22,109.88999938964844,1020.7546282473747,7.7097844681821925,9.288876457519839,-1.1368683772161603e-13,1020.7546282473749,hold,,,2703.9599609375
2018-02-23,112.58999633789062,1045.834566335277,25.079938087902292,9.288876457519839,-1.1368683772161603e-13,1045.834566335277,hold,,,2747.300048828125
2018-02-26,114.5999984741211,1064.398777335287,18.56421100000989,0.0,1064.398777335287,0.0,sell,,114.5999984741211,2779.60009765625
2018-02-27,113.61000061035156,1064.3455573964202,-0.053219938866732264,9.368414326893705,0.0,1064.3455573964202,buy,113.61000061035156,,2744.280029296875
2018-02-28,111.91999816894531,1048.4080630204332,-15.937494375986944,0.0,1048.4080630204332,0.0,sell,,111.91999816894531,2713.830078125
2018-03-01,112.04000091552734,1048.4080630204332,0.0,0.0,1048.4080630204332,0.0,hold,,,2677.669921875
2018-03-02,111.63999938964844,1048.4080630204332,0.0,0.0,1048.4080630204332,0.0,hold,,,2691.25
2018-03-05,113.1500015258789,1048.3556426172822,-0.052420403151018036,9.265184520368825,0.0,1048.3556426172822,buy,113.1500015258789,,2720.93994140625
2018-03-06,113.6500015258789,1052.8829360539787,4.527293436696482,0.0,1052.8829360539787,0.0,sell,,113.6500015258789,2728.1201171875
2018-03-07,113.83999633789062,1052.830291907176,-0.05264414680277696,9.248333852561368,0.0,1052.830291907176,buy,113.83999633789062,,2726.800048828125
2018-03-08,113.3499984741211,1048.193798213186,-4.636493693989905,0.0,1048.193798213186,0.0,sell,,113.3499984741211,2738.969970703125
2018-03-09,117.22000122070312,1048.1413885232753,-0.05240968991074624,8.941659935234286,0.0,1048.1413885232753,buy,117.22000122070312,,2786.570068359375
2018-03-12,116.79000091552734,1044.2964720223465,-3.8449165009287753,8.941659935234286,0.0,1044.2964720223465,hold,,,2783.02001953125
2018-03-13,116.45999908447266,1041.3457078710508,-2.9507641512957434,8.941659935234286,0.0,1041.3457078710508,hold,,,2765.31005859375
2018-03-14,115.12999725341797,1029.4532837845209,-11.8924240865299,8.941659935234286,0.0,1029.4532837845209,hold,,,2749.47998046875
2018-03-15,115.58000183105469,1033.477071687047,4.023787902526237,8.941659935234286,0.0,1033.477071687047,hold,,,2747.330078125
