Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,benchmark
2018-01-02,52.34000015258789,1000.0,0.0,0.0,1000.0,0.0,hold,,,2695.81005859375
2018-01-03,52.63999938964844,999.9500000000003,-0.04999999999972715,18.996010858553287,1.1368683772161603e-13,999.9500000000002,buy,52.63999938964844,,2713.06005859375
2018-01-04,53.599998474121094,1018.186153032844,18.23615303284373,18.996010858553287,1.1368683772161603e-13,1018.1861530328439,hold,,,2723.989990234375
2018-01-05,54.29999923706055,1031.4833751266374,13.29722209379338,18.996010858553287,1.1368683772161603e-13,1031.4833751266374,hold,,,2743.14990234375
2018-01-08,54.59000015258789,1036.8885364434186,5.405161316781232,0.0,1036.8885364434186,0.0,sell,,54.59000015258789,2747.7099609375
2018-01-09,55.209999084472656,1036.8366920165965,-0.05184442682207191,18.779871566927774,0.0,1036.8366920165965,buy,55.209999084472656,,2751.2900390625
2018-01-10,54.27000045776367,1019.1836385339133,-17.653053482683276,18.779871566927774,0.0,1019.1836385339133,hold,,,2748.22998046875
2018-01-11,54.63999938964844,1026.1321709546096,6.948532420696324,18.779871566927774,0.0,1026.1321709546096,hold,,,2767.56005859375
2018-01-12,54.529998779296875,1024.0663736199235,-2.065797334686067,18.779871566927774,0.0,1024.0663736199235,hold,,,2786.239990234375
2018-01-16,54.470001220703125,1022.9396271752038,-1.1267464447197426,18.779871566927774,0.0,1022.9396271752038,hold,,,2776.419921875
2018-01-17,54.91999816894531,1031.3905120687016,8.4508848934978,18.779871566927774,0.0,1031.3905120687016,hold,,,2802.56005859375
2018-01-18,54.9900016784668,1032.7051689867492,1.3146569180476035,18.779871566927774,0.0,1032.7051689867492,hold,,,2798.030029296875
2018-01-19,55.75,1046.9778398562235,14.272670869474268,18.779871566927774,0.0,1046.9778398562235,hold,,,2810.300048828125
2018-01-22,55.540000915527344,1043.0340840206545,-3.943755835568936,18.779871566927774,0.0,1043.0340840206545,hold,,,2832.969970703125
2018-01-23,56.380001068115234,1058.8091790024548,15.775094981800294,18.779871566927774,0.0,1058.8091790024548,hold,,,2839.1298828125
2018-01-24,56.529998779296875,1061.6261167537791,2.8169377513243035,18.779871566927774,0.0,1061.6261167537791,hold,,,2837.5400390625
2018-01-25,56.59000015258789,1062.64665954454,1.0205427907608282,0.0,1062.64665954454,0.0,sell,,56.59000015258789,2839.25
2018-01-26,57.380001068115234,1062.5935272115628,-0.05313233297715669,18.518534462036143,0.0,1062.5935272115628,buy,57.380001068115234,,2872.8701171875
2018-01-29,57.09000015258789,1057.2231352633476,-5.370391948215229,18.518534462036143,0.0,1057.2231352633476,hold,,,2853.530029296875
2018-01-30,57.380001068115234,1062.5935272115628,5.370391948215229,18.518534462036143,0.0,1062.5935272115628,hold,,,2822.429931640625
2018-01-31,57.5099983215332,1065.0008858289534,2.407358617390628,18.518534462036143,0.0,1065.0008858289534,hold,,,2823.81005859375
2018-02-01,56.68000030517578,1049.6305389596168,-15.370346869336572,18.518534462036143,0.0,1049.6305389596168,hold,,,2821.97998046875
2018-02-02,54.47999954223633,1008.8897490146168,-40.740789945000074,18.518534462036143,0.0,1008.8897490146168,hold,,,2762.1298828125
2018-02-05,52.90999984741211,979.8156555606282,-29.074093453988553,18.518534462036143,0.0,979.8156555606282,hold,,,2648.93994140625
2018-02-06,53.790000915527344,996.0123744685822,16.196718907953937,0.0,996.0123744685822,0.0,sell,,53.790000915527344,2695.139892578125
2018-02-07,53.470001220703125,995.9625738498588,-0.04980061872333863,18.626567254766222,1.1368683772161603e-13,995.9625738498587,buy,53.470001220703125,,2681.659912109375
2018-02-08,51.529998779296875,959.7310052018046,-36.231568648054235,0.0,959.7310052018046,0.0,sell,,51.529998779296875,2581.0
2018-02-09,52.04999923706055,959.7310052018046,0.0,0.0,959.7310052018046,0.0,hold,,,2619.550048828125
2018-02-12,52.689998626708984,959.7310052018046,0.0,0.0,959.7310052018046,0.0,hold,,,2656.0
2018-02-13,52.959999084472656,959.7310052018046,0.0,0.0,959.7310052018046,0.0,hold,,,2662.93994140625
2018-02-14,54.040000915527344,959.7310052018046,0.0,0.0,959.7310052018046,0.0,hold,,,2698.6298828125
2018-02-15,54.20000076293945,959.6830186515443,-0.047986550260247895,17.706328508167672,-1.1368683772161603e-13,959.6830186515444,buy,54.20000076293945,,2731.199951171875
2018-02-16,54.61000061035156,966.9426106381218,7.259591986577448,17.706328508167672,-1.1368683772161603e-13,966.9426106381219,hold,,,2732.219970703125
2018-02-20,53.470001220703125,946.6627312052013,-20.27987943292044,0.0,946.6627312052013,0.0,sell,,53.470001220703125,2716.260009765625
2018-02-21,53.470001220703125,946.6153980686412,-0.04733313656015525,17.70367264742309,0.0,946.6153980686412,buy,53.470001220703125,,2701.330078125
2018-02-22,53.880001068115234,953.7785137626033,7.1631156939621405,0.0,953.7785137626033,0.0,sell,,53.880001068115234,2703.9599609375
2018-02-23,54.56999969482422,953.7785137626033,0.0,0.0,953.7785137626033,0.0,hold,,,2747.300048828125
