Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,benchmark
2018-01-02,43.66999816894531,1000.0,0.0,0.0,1000.0,0.0,hold,,,2695.81005859375
2018-01-03,44.97999954223633,999.95,-0.049999999999954525,22.230991778046697,0.0,999.95,buy,44.97999954223633,,2713.06005859375
2018-01-04,46.880001068115234,1042.0846994082601,42.134699408260076,0.0,1042.0846994082601,0.0,sell,,46.880001068115234,2723.989990234375
2018-01-05,45.79999923706055,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2743.14990234375
2018-01-08,45.54999923706055,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2747.7099609375
2018-01-09,42.970001220703125,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2751.2900390625
2018-01-10,43.310001373291016,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2748.22998046875
2018-01-11,42.81999969482422,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2767.56005859375
2018-01-12,42.810001373291016,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2786.239990234375
2018-01-16,42.91999816894531,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2776.419921875
2018-01-17,44.2599983215332,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2802.56005859375
2018-01-18,43.9900016784668,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2798.030029296875
2018-01-19,42.75,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2810.300048828125
2018-01-22,42.880001068115234,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2832.969970703125
2018-01-23,43.95000076293945,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2839.1298828125
2018-01-24,43.08000183105469,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2837.5400390625
2018-01-25,43.0099983215332,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2839.25
2018-01-26,43.66999816894531,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2872.8701171875
2018-01-29,43.290000915527344,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2853.530029296875
2018-01-30,41.66999816894531,1042.0846994082601,0.0,0.0,1042.0846994082601,0.0,hold,,,2822.429931640625
2018-01-31,43.720001220703125,1042.0325951732898,-0.052104234970329344,23.834230697135634,0.0,1042.0325951732898,buy,43.720001220703125,,2823.81005859375
2018-02-01,42.4900016784668,1012.6152306760252,-29.417364497264543,0.0,1012.6152306760252,0.0,sell,,42.4900016784668,2821.97998046875
2018-02-02,40.81999969482422,1012.6152306760252,0.0,0.0,1012.6152306760252,0.0,hold,,,2762.1298828125
2018-02-05,39.400001525878906,1012.5645999144916,-0.050630761533625446,25.69960813959395,1.1368683772161603e-13,1012.5645999144915,buy,39.400001525878906,,2648.93994140625
2018-02-06,43.880001068115234,1127.6988326155256,115.13423270103397,25.69960813959395,1.1368683772161603e-13,1127.6988326155254,hold,,,2695.139892578125
2018-02-07,42.0099983215332,1079.532530758922,-48.166301856603695,0.0,1079.532530758922,0.0,sell,,42.0099983215332,2681.659912109375
2018-02-08,40.0,1079.532530758922,0.0,0.0,1079.532530758922,0.0,hold,,,2581.0
2018-02-09,40.40999984741211,1079.532530758922,0.0,0.0,1079.532530758922,0.0,hold,,,2619.550048828125
2018-02-12,42.189998626708984,1079.478554132384,-0.053976626537860284,25.586124419757734,0.0,1079.478554132384,buy,42.189998626708984,,2656.0
2018-02-13,42.630001068115234,1090.6274376920671,11.1488835596831,0.0,1090.6274376920671,0.0,sell,,42.630001068115234,2662.93994140625
2018-02-14,43.45000076293945,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2698.6298828125
2018-02-15,43.5,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2731.199951171875
2018-02-16,44.209999084472656,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2732.219970703125
2018-02-20,44.900001525878906,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2716.260009765625
2018-02-21,44.540000915527344,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2701.330078125
2018-02-22,44.25,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2703.9599609375
2018-02-23,46.529998779296875,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2747.300048828125
2018-02-26,47.97999954223633,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2779.60009765625
2018-02-27,48.58000183105469,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2744.280029296875
2018-02-28,48.810001373291016,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2713.830078125
2018-03-01,47.619998931884766,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2677.669921875
2018-03-02,49.11000061035156,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2691.25
2018-03-05,52.029998779296875,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2720.93994140625
2018-03-06,53.7400016784668,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2728.1201171875
2018-03-07,53.970001220703125,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2726.800048828125
2018-03-08,55.220001220703125,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2738.969970703125
2018-03-09,54.59000015258789,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2786.570068359375
2018-03-12,59.369998931884766,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2783.02001953125
2018-03-13,59.43000030517578,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2765.31005859375
2018-03-14,59.779998779296875,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2749.47998046875
2018-03-15,58.84000015258789,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2747.330078125
2018-03-16,60.58000183105469,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2752.010009765625
2018-03-19,60.13999938964844,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2712.919921875
2018-03-20,61.150001525878906,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2716.93994140625
2018-03-21,61.06999969482422,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2711.929931640625
2018-03-22,58.91999816894531,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2643.68994140625
2018-03-23,54.209999084472656,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2588.260009765625
2018-03-26,55.560001373291016,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2658.550048828125
2018-03-27,52.400001525878906,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2612.6201171875
2018-03-28,51.4900016784668,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2605.0
2018-03-29,52.13999938964844,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2640.8701171875
2018-04-02,50.060001373291016,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2581.8798828125
2018-04-03,51.54999923706055,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2614.449951171875
2018-04-04,53.38999938964844,1090.6274376920671,0.0,0.0,1090.6274376920671,0.0,hold,,,2644.68994140625
2018-04-05,49.84000015258789,1090.5729063201825,-0.05453137188465007,21.88147879176031,0.0,1090.5729063201825,buy,49.84000015258789,,2662.840087890625
2018-04-06,48.459999084472656,1060.2704045713908,-30.302501748791656,0.0,1060.2704045713908,0.0,sell,,48.459999084472656,2604.469970703125
2018-04-09,47.959999084472656,1060.2173910511622,-0.05301352022866013,22.106284639075692,0.0,1060.2173910511622,buy,47.959999084472656,,2613.159912109375
2018-04-10,50.47999954223633,1115.925238461087,55.70784740992485,22.106284639075692,0.0,1115.925238461087,hold,,,2656.8701171875
2018-04-11,50.47999954223633,1115.925238461087,0.0,22.106284639075692,0.0,1115.925238461087,hold,,,2642.18994140625
2018-04-12,52.59000015258789,1162.569512542142,46.64427408105507,22.106284639075692,0.0,1162.569512542142,hold,,,2663.989990234375
2018-04-13,52.22999954223633,1154.4957754558113,-8.073737086330766,0.0,1154.4957754558113,0.0,sell,,52.22999954223633,2656.300048828125
2018-04-16,51.650001525878906,1154.4957754558113,0.0,0.0,1154.4957754558113,0.0,hold,,,2677.840087890625
2018-04-17,52.2599983215332,1154.4957754558113,0.0,0.0,1154.4957754558113,0.0,hold,,,2706.389892578125
2018-04-18,54.0099983215332,1154.4957754558113,0.0,0.0,1154.4957754558113,0.0,hold,,,2708.639892578125
2018-04-19,51.41999816894531,1154.4957754558113,0.0,0.0,1154.4957754558113,0.0,hold,,,2693.1298828125
2018-04-20,50.619998931884766,1154.4957754558113,0.0,0.0,1154.4957754558113,0.0,hold,,,2670.139892578125
2018-04-23,49.02000045776367,1154.4957754558113,0.0,0.0,1154.4957754558113,0.0,hold,,,2670.2900390625
2018-04-24,47.11000061035156,1154.4957754558113,0.0,0.0,1154.4957754558113,0.0,hold,,,2634.56005859375
2018-04-25,47.599998474121094,1154.4957754558113,0.0,0.0,1154.4957754558113,0.0,hold,,,2639.39990234375
2018-04-26,50.13999938964844,1154.4957754558113,0.0,0.0,1154.4957754558113,0.0,hold,,,2666.93994140625
2018-04-27,47.52000045776367,1154.4957754558113,0.0,0.0,1154.4957754558113,0.0,hold,,,2669.909912109375
