Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,benchmark
2018-01-02,201.07000732421875,1000.0,0.0,0.0,1000.0,0.0,hold,,,2695.81005859375
2018-01-03,205.0500030517578,999.9499999999999,-0.05000000000006821,4.876615387065354,0.0,999.9499999999999,buy,205.0500030517578,,2713.06005859375
2018-01-04,205.6300048828125,1002.7784458538473,2.82844585384737,4.876615387065354,0.0,1002.7784458538473,hold,,,2723.989990234375
2018-01-05,209.99000549316406,1024.040491917902,21.262046064054744,4.876615387065354,0.0,1024.040491917902,hold,,,2743.14990234375
2018-01-08,212.0500030517578,1034.0863077094575,10.04581579155547,4.876615387065354,0.0,1034.0863077094575,hold,,,2747.7099609375
2018-01-09,209.30999755859375,1020.72435476085,-13.361952948607495,4.876615387065354,0.0,1020.72435476085,hold,,,2751.2900390625
2018-01-10,212.52000427246094,1036.3783228942777,15.653968133427725,4.876615387065354,0.0,1036.3783228942777,hold,,,2748.22998046875
2018-01-11,217.24000549316406,1059.395953474126,23.017630579848174,4.876615387065354,0.0,1059.395953474126,hold,,,2767.56005859375
2018-01-12,221.22999572753906,1078.8536012453196,19.457647771193706,4.876615387065354,0.0,1078.8536012453196,hold,,,2786.239990234375
2018-01-16,221.52999877929688,1080.3166007436882,1.4629994983686174,4.876615387065354,0.0,1080.3166007436882,hold,,,2776.419921875
2018-01-17,217.5,1060.6638466867146,-19.652754056973663,4.876615387065354,0.0,1060.6638466867146,hold,,,2802.56005859375
2018-01-18,220.3300018310547,1074.464677161459,13.800830474744316,4.876615387065354,0.0,1074.464677161459,hold,,,2798.030029296875
2018-01-19,220.4600067138672,1075.098660973376,0.6339838119170054,4.876615387065354,0.0,1075.098660973376,hold,,,2810.300048828125
2018-01-22,227.5800018310547,1109.8201387176828,34.72147774430687,4.876615387065354,0.0,1109.8201387176828,hold,,,2832.969970703125
2018-01-23,250.2899932861328,1220.5680324876394,110.74789376995659,4.876615387065354,0.0,1220.5680324876394,hold,,,2839.1298828125
2018-01-24,261.29998779296875,1274.2595411111806,53.69150862354127,4.876615387065354,0.0,1274.2595411111806,hold,,,2837.5400390625
2018-01-25,269.70001220703125,1315.2232294205223,40.963688309341705,4.876615387065354,0.0,1315.2232294205223,hold,,,2839.25
2018-01-26,274.6000061035156,1339.1186150526444,23.895385632122043,4.876615387065354,0.0,1339.1186150526444,hold,,,2872.8701171875
2018-01-29,284.5899963378906,1387.8359551462302,48.71734009358579,4.876615387065354,0.0,1387.8359551462302,hold,,,2853.530029296875
2018-01-30,278.79998779296875,1359.6003103848243,-28.235644761405865,4.876615387065354,0.0,1359.6003103848243,hold,,,2822.429931640625
2018-01-31,270.29998779296875,1318.1490795947689,-41.45123079005543,4.876615387065354,0.0,1318.1490795947689,hold,,,2823.81005859375
2018-02-01,265.07000732421875,1292.6444763668112,-25.50460322795766,4.876615387065354,0.0,1292.6444763668112,hold,,,2821.97998046875
2018-02-02,267.42999267578125,1304.1532172454897,11.508740878678509,4.876615387065354,0.0,1304.1532172454897,hold,,,2762.1298828125
2018-02-05,254.25999450683594,1239.9282015271885,-64.22501571830117,4.876615387065354,0.0,1239.9282015271885,hold,,,2648.93994140625
2018-02-06,265.7200012207031,1295.8142466039055,55.88604507671698,4.876615387065354,0.0,1295.8142466039055,hold,,,2695.139892578125
2018-02-07,264.55999755859375,1290.028339160721,-5.785907443184442,0.0,1290.028339160721,0.0,sell,,264.55999755859375,2681.659912109375
2018-02-08,250.10000610351562,1290.028339160721,0.0,0.0,1290.028339160721,0.0,hold,,,2581.0
2018-02-09,249.47000122070312,1290.028339160721,0.0,0.0,1290.028339160721,0.0,hold,,,2619.550048828125
2018-02-12,257.95001220703125,1290.028339160721,0.0,0.0,1290.028339160721,0.0,hold,,,2656.0
2018-02-13,258.2699890136719,1290.028339160721,0.0,0.0,1290.028339160721,0.0,hold,,,2662.93994140625
2018-02-14,266.0,1290.028339160721,0.0,0.0,1290.028339160721,0.0,hold,,,2698.6298828125
2018-02-15,280.2699890136719,1290.028339160721,0.0,0.0,1290.028339160721,0.0,hold,,,2731.199951171875
2018-02-16,278.5199890136719,1290.028339160721,0.0,0.0,1290.028339160721,0.0,hold,,,2732.219970703125
2018-02-20,278.54998779296875,1290.028339160721,0.0,0.0,1290.028339160721,0.0,hold,,,2716.260009765625
2018-02-21,281.0400085449219,1290.028339160721,0.0,0.0,1290.028339160721,0.0,hold,,,2701.330078125
2018-02-22,278.1400146484375,1290.028339160721,0.0,0.0,1290.028339160721,0.0,hold,,,2703.9599609375
2018-02-23,285.92999267578125,1290.028339160721,0.0,0.0,1290.028339160721,0.0,hold,,,2747.300048828125
2018-02-26,294.1600036621094,1290.028339160721,0.0,0.0,1290.028339160721,0.0,hold,,,2779.60009765625
2018-02-27,290.6099853515625,1289.963837743763,-0.06450141695813727,4.438814571988097,0.0,1289.963837743763,buy,290.6099853515625,,2744.280029296875
2018-02-28,291.3800048828125,1293.3818116597909,3.417973916027904,4.438814571988097,0.0,1293.3818116597909,hold,,,2713.830078125
2018-03-01,290.3900146484375,1288.9874285813212,-4.394383078469673,4.438814571988097,0.0,1288.9874285813212,hold,,,2677.669921875
2018-03-02,301.04998779296875,1336.3050727122684,47.3176441309472,4.438814571988097,0.0,1336.3050727122684,hold,,,2691.25
2018-03-05,315.0,1398.2265901762505,61.92151746398213,4.438814571988097,0.0,1398.2265901762505,hold,,,2720.93994140625
2018-03-06,325.2200012207031,1443.5912805204437,45.36469034419315,4.438814571988097,0.0,1443.5912805204437,hold,,,2728.1201171875
2018-03-07,321.1600036621094,1425.5697041951216,-18.02157632532203,4.438814571988097,0.0,1425.5697041951216,hold,,,2726.800048828125
2018-03-08,317.0,1407.1042193202265,-18.465484874895083,4.438814571988097,0.0,1407.1042193202265,hold,,,2738.969970703125
2018-03-09,331.44000244140625,1471.2007125766845,64.09649325645796,4.438814571988097,0.0,1471.2007125766845,hold,,,2786.570068359375
2018-03-12,321.29998779296875,1426.1910677950273,-45.009644781657244,4.438814571988097,0.0,1426.1910677950273,hold,,,2783.02001953125
2018-03-13,315.8800048828125,1402.1327686734992,-24.05829912152808,4.438814571988097,0.0,1402.1327686734992,hold,,,2765.31005859375
