Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,benchmark
2018-01-02,57.630001068115234,1000.0,0.0,0.0,1000.0,0.0,hold,,,2695.81005859375
2018-01-03,58.709999084472656,999.95,-0.049999999999954525,17.032022067676408,0.0,999.95,buy,58.709999084472656,,2713.06005859375
2018-01-04,58.93000030517578,1003.6970656459314,3.747065645931343,17.032022067676408,0.0,1003.6970656459314,hold,,,2723.989990234375
2018-01-05,59.61000061035156,1015.278845849712,11.581780203780568,17.032022067676408,0.0,1015.278845849712,hold,,,2743.14990234375
2018-01-08,59.310001373291016,1010.0682352985883,-5.2106105511236365,0.0,1010.0682352985883,0.0,sell,,59.310001373291016,2747.7099609375
2018-01-09,59.18000030517578,1010.0177318868233,-0.050503411765021156,17.06687608446141,-1.1368683772161603e-13,1010.0177318868234,buy,59.18000030517578,,2751.2900390625
2018-01-10,59.81999969482422,1020.9405221640841,10.922790277260788,17.06687608446141,-1.1368683772161603e-13,1020.9405221640842,hold,,,2748.22998046875
2018-01-11,60.0,1024.0125650676846,3.0720429036005044,17.06687608446141,-1.1368683772161603e-13,1024.0125650676846,hold,,,2767.56005859375
2018-01-12,60.400001525878906,1030.736257609301,6.723692541616401,0.0,1030.736257609301,0.0,sell,,60.400001525878906,2786.239990234375
2018-01-16,60.560001373291016,1030.736257609301,0.0,0.0,1030.736257609301,0.0,hold,,,2776.419921875
2018-01-17,60.65999984741211,1030.6847207964206,-0.051536812880385696,16.991175789467,0.0,1030.6847207964206,buy,60.65999984741211,,2802.56005859375
2018-01-18,61.09000015258789,1037.9909315711868,7.306210774766214,16.991175789467,0.0,1037.9909315711868,hold,,,2798.030029296875
2018-01-19,61.2599983215332,1040.879400343624,2.888468772437136,16.991175789467,0.0,1040.879400343624,hold,,,2810.300048828125
2018-01-22,61.40999984741211,1043.4281026385208,2.5487022948968843,16.991175789467,0.0,1043.4281026385208,hold,,,2832.969970703125
2018-01-23,61.689998626708984,1048.0807925572783,4.65268991875746,0.0,1048.0807925572783,0.0,sell,,61.689998626708984,2839.1298828125
2018-01-24,60.83000183105469,1048.0807925572783,0.0,0.0,1048.0807925572783,0.0,hold,,,2837.5400390625
2018-01-25,60.54999923706055,1048.0807925572783,0.0,0.0,1048.0807925572783,0.0,hold,,,2839.25
2018-01-26,57.9900016784668,1048.0807925572783,0.0,0.0,1048.0807925572783,0.0,hold,,,2872.8701171875
2018-01-29,57.02000045776367,1048.0283885176505,-0.05240403962784512,18.38001368123374,0.0,1048.0283885176505,buy,57.02000045776367,,2853.530029296875
2018-01-30,57.189998626708984,1051.15295718865,3.1245686709994516,18.38001368123374,0.0,1051.15295718865,hold,,,2822.429931640625
2018-01-31,56.810001373291016,1044.1686024719966,-6.984354716653343,18.38001368123374,0.0,1044.1686024719966,hold,,,2823.81005859375
2018-02-01,56.0,1029.2807661490895,-14.887836322907106,18.38001368123374,0.0,1029.2807661490895,hold,,,2821.97998046875
2018-02-02,55.77000045776367,1025.0533714161083,-4.227394732981111,18.38001368123374,0.0,1025.0533714161083,hold,,,2762.1298828125
2018-02-05,54.689998626708984,1005.2029229855657,-19.850448430542656,18.38001368123374,0.0,1005.2029229855657,hold,,,2648.93994140625
2018-02-06,55.61000061035156,1022.1125720316784,16.90964904611269,18.38001368123374,0.0,1022.1125720316784,hold,,,2695.139892578125
2018-02-07,54.459999084472656,1000.9755282525845,-21.137043779093915,18.38001368123374,0.0,1000.9755282525845,hold,,,2681.659912109375
2018-02-08,53.77000045776367,988.2933440536408,-12.682184198943673,18.38001368123374,0.0,988.2933440536408,hold,,,2581.0
2018-02-09,54.58000183105469,1003.1811803765478,14.887836322906992,18.38001368123374,0.0,1003.1811803765478,hold,,,2619.550048828125
2018-02-12,55.380001068115234,1017.7833887809674,14.60220840441957,0.0,1017.7833887809674,0.0,sell,,55.380001068115234,2656.0
2018-02-13,55.66999816894531,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2662.93994140625
2018-02-14,55.9900016784668,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2698.6298828125
2018-02-15,56.58000183105469,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2731.199951171875
2018-02-16,56.47999954223633,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2732.219970703125
2018-02-20,55.970001220703125,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2716.260009765625
2018-02-21,56.099998474121094,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2701.330078125
2018-02-22,55.400001525878906,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2703.9599609375
2018-02-23,56.13999938964844,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2747.300048828125
2018-02-26,57.16999816894531,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2779.60009765625
2018-02-27,56.56999969482422,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2744.280029296875
2018-02-28,57.099998474121094,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2713.830078125
2018-03-01,56.16999816894531,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2677.669921875
2018-03-02,56.93000030517578,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2691.25
2018-03-05,56.9900016784668,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2720.93994140625
2018-03-06,57.029998779296875,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2728.1201171875
2018-03-07,57.029998779296875,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2726.800048828125
2018-03-08,57.470001220703125,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2738.969970703125
2018-03-09,58.459999084472656,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2786.570068359375
2018-03-12,59.400001525878906,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2783.02001953125
2018-03-13,59.04999923706055,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2765.31005859375
2018-03-14,58.83000183105469,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2749.47998046875
2018-03-15,59.369998931884766,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2747.330078125
2018-03-16,59.0,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2752.010009765625
2018-03-19,58.29999923706055,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2712.919921875
2018-03-20,58.65999984741211,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2716.93994140625
2018-03-21,58.470001220703125,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2711.929931640625
2018-03-22,57.77000045776367,1017.7833887809674,0.0,0.0,1017.7833887809674,0.0,hold,,,2643.68994140625
2018-03-23,56.310001373291016,1017.7324996115283,-0.05088916943907407,18.073743114740175,0.0,1017.7324996115283,buy,56.310001373291016,,2588.260009765625
2018-03-26,57.79999923706055,1044.5578720089861,26.82537239745784,0.0,1044.5578720089861,0.0,sell,,57.79999923706055,2658.550048828125
2018-03-27,57.459999084472656,1044.5056441153856,-0.052227893600502284,18.177961377615844,0.0,1044.5056441153856,buy,57.459999084472656,,2612.6201171875
2018-03-28,57.900001525878906,1052.5039915013251,7.998347385939496,18.177961377615844,0.0,1052.5039915013251,hold,,,2605.0
2018-03-29,57.88999938964844,1052.322173055234,-0.18181844609102882,18.177961377615844,0.0,1052.322173055234,hold,,,2640.8701171875
2018-04-02,56.2400016784668,1022.226345530381,-30.09582752485312,0.0,1022.226345530381,0.0,sell,,56.2400016784668,2581.8798828125
2018-04-03,58.0,1022.226345530381,0.0,0.0,1022.226345530381,0.0,hold,,,2614.449951171875
2018-04-04,58.83000183105469,1022.1752342131043,-0.05111131727664997,17.375067183382733,0.0,1022.1752342131043,buy,58.83000183105469,,2644.68994140625
2018-04-05,59.13999938964844,1027.5614626203553,5.3862284072509965,17.375067183382733,0.0,1027.5614626203553,hold,,,2662.840087890625
2018-04-06,58.34000015258789,1013.6614221297734,-13.900040490581887,17.375067183382733,0.0,1013.6614221297734,hold,,,2604.469970703125
2018-04-09,58.70000076293945,1019.8144652749986,6.153043145225183,0.0,1019.8144652749986,0.0,sell,,58.70000076293945,2613.159912109375
2018-04-10,59.40999984741211,1019.8144652749986,0.0,0.0,1019.8144652749986,0.0,hold,,,2656.8701171875
2018-04-11,59.41999816894531,1019.7634745517349,-0.05099072326368059,17.161957354025873,0.0,1019.7634745517349,buy,59.41999816894531,,2642.18994140625
2018-04-12,59.43000030517578,1019.8331372740927,0.06966272235774795,0.0,1019.8331372740927,0.0,sell,,59.43000030517578,2663.989990234375
2018-04-13,59.2400016784668,1019.7821456172289,-0.05099165686374363,17.214417905526673,-1.1368683772161603e-13,1019.782145617229,buy,59.2400016784668,,2656.300048828125
2018-04-16,59.43000030517578,1023.0528613788736,3.270715761644624,17.214417905526673,-1.1368683772161603e-13,1023.0528613788737,hold,,,2677.840087890625
2018-04-17,59.83000183105469,1029.8356609427206,6.782799563846993,0.0,1029.8356609427206,0.0,sell,,59.83000183105469,2706.389892578125
2018-04-18,59.5,1029.7841691596734,-0.051491783047140416,17.30729696066678,0.0,1029.7841691596734,buy,59.5,,2708.639892578125
2018-04-19,59.220001220703125,1024.938147137758,-4.84602202191536,17.30729696066678,0.0,1024.938147137758,hold,,,2693.1298828125
2018-04-20,58.0,1003.8232237186731,-21.114923419084903,17.30729696066678,0.0,1003.8232237186731,hold,,,2670.139892578125
2018-04-23,58.15999984741211,1006.5923885914959,2.7691648728227847,17.30729696066678,0.0,1006.5923885914959,hold,,,2670.2900390625
2018-04-24,57.810001373291016,1000.534861064102,-6.057527527393972,17.30729696066678,0.0,1000.534861064102,hold,,,2634.56005859375
2018-04-25,57.709999084472656,998.8040917547762,-1.7307693093257512,17.30729696066678,0.0,998.8040917547762,hold,,,2639.39990234375
2018-04-26,59.380001068115234,1027.7073120105808,28.903220255804627,17.30729696066678,0.0,1027.7073120105808,hold,,,2666.93994140625
2018-04-27,58.36000061035156,1010.0538611880489,-17.65345082253191,17.30729696066678,0.0,1010.0538611880489,hold,,,2669.909912109375
2018-04-30,57.56999969482422,996.2814426357443,-13.772418552304657,0.0,996.2814426357443,0.0,sell,,57.56999969482422,2648.050048828125
2018-05-01,58.130001068115234,996.2316285636124,-0.049814072131880494,17.137994327511777,0.0,996.2316285636124,buy,58.130001068115234,,2654.800048828125
2018-05-02,56.70000076293945,971.6271190160253,-24.6045095475871,0.0,971.6271190160253,0.0,sell,,56.70000076293945,2635.669921875
2018-05-03,56.130001068115234,971.6271190160253,0.0,0.0,971.6271190160253,0.0,hold,,,2629.72998046875
2018-05-04,57.68000030517578,971.6271190160253,0.0,0.0,971.6271190160253,0.0,hold,,,2663.419921875
2018-05-07,57.45000076293945,971.5785376600746,-0.0485813559506596,16.911723668537046,1.1368683772161603e-13,971.5785376600745,buy,57.45000076293945,,2672.6298828125
2018-05-08,57.66999816894531,975.2990729982407,3.720535338166087,16.911723668537046,1.1368683772161603e-13,975.2990729982406,hold,,,2671.919921875
2018-05-09,57.040000915527344,964.6447335364987,-10.654339461741984,16.911723668537046,1.1368683772161603e-13,964.6447335364986,hold,,,2697.7900390625
2018-05-10,57.650001525878906,974.9608952964032,10.316161759904503,16.911723668537046,1.1368683772161603e-13,974.9608952964031,hold,,,2723.070068359375
2018-05-11,57.27000045776367,968.4375687964656,-6.523326499937639,0.0,968.4375687964656,0.0,sell,,57.27000045776367,2727.719970703125
2018-05-14,57.130001068115234,968.3891469180256,-0.04842187843996726,16.950623644544134,-1.1368683772161603e-13,968.3891469180257,buy,57.130001068115234,,2730.1298828125
2018-05-15,56.63999938964844,960.08331288114,-8.305834036885585,16.950623644544134,-1.1368683772161603e-13,960.0833128811402,hold,,,2711.449951171875
2018-05-16,57.150001525878906,968.7281671502963,8.644854269156212,16.950623644544134,-1.1368683772161603e-13,968.7281671502964,hold,,,2722.4599609375
2018-05-17,57.20000076293945,969.5756854002238,0.8475182499275888,16.950623644544134,-1.1368683772161603e-13,969.575685400224,hold,,,2720.1298828125
2018-05-18,57.15999984741211,968.8976449356827,-0.6780404645411409,16.950623644544134,-1.1368683772161603e-13,968.8976449356828,hold,,,2712.969970703125
2018-05-21,57.34000015258789,971.9487623646204,3.051117428937687,16.950623644544134,-1.1368683772161603e-13,971.9487623646205,hold,,,2733.010009765625
2018-05-22,56.959999084472656,965.5075072744743,-6.4412550901461145,16.950623644544134,-1.1368683772161603e-13,965.5075072744744,hold,,,2724.43994140625
2018-05-23,57.4900016784668,974.4913817759011,8.98387450142684,16.950623644544134,-1.1368683772161603e-13,974.4913817759012,hold,,,2733.2900390625
2018-05-24,57.68000030517578,977.7119769902254,3.2205952143242484,16.950623644544134,-1.1368683772161603e-13,977.7119769902255,hold,,,2727.760009765625
2018-05-25,57.91999816894531,981.7800904544772,4.068113464251837,16.950623644544134,-1.1368683772161603e-13,981.7800904544773,hold,,,2721.330078125
2018-05-29,57.22999954223633,970.0841834178809,-11.695907036596282,16.950623644544134,-1.1368683772161603e-13,970.084183417881,hold,,,2689.860107421875
2018-05-30,57.47999954223633,974.3218393290169,4.237655911136017,16.950623644544134,-1.1368683772161603e-13,974.321839329017,hold,,,2724.010009765625
2018-05-31,56.66999816894531,960.5918108987971,-13.730028430219818,16.950623644544134,-1.1368683772161603e-13,960.5918108987972,hold,,,2705.27001953125
2018-06-01,56.90999984741211,964.5635230256443,3.9717121268471374,0.0,964.5635230256443,0.0,sell,,56.90999984741211,2734.6201171875
2018-06-04,57.06999969482422,964.5152948494928,-0.04822817615149688,16.900565971738853,-1.1368683772161603e-13,964.5152948494929,buy,57.06999969482422,,2746.8701171875
