Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,benchmark
2018-01-02,41.02000045776367,1000.0,0.0,0.0,1000.0,0.0,hold,,,2695.81005859375
2018-01-03,41.709999084472656,1000.0,0.0,0.0,1000.0,0.0,hold,,,2713.06005859375
2018-01-04,41.4900016784668,1000.0,0.0,0.0,1000.0,0.0,hold,,,2723.989990234375
2018-01-05,42.459999084472656,1000.0,0.0,0.0,1000.0,0.0,hold,,,2743.14990234375
2018-01-08,42.439998626708984,1000.0,0.0,0.0,1000.0,0.0,hold,,,2747.7099609375
2018-01-09,42.18000030517578,1000.0,0.0,0.0,1000.0,0.0,hold,,,2751.2900390625
2018-01-10,41.29999923706055,1000.0,0.0,0.0,1000.0,0.0,hold,,,2748.22998046875
2018-01-11,41.029998779296875,1000.0,0.0,0.0,1000.0,0.0,hold,,,2767.56005859375
2018-01-12,41.189998626708984,1000.0,0.0,0.0,1000.0,0.0,hold,,,2786.239990234375
2018-01-16,42.22999954223633,1000.0,0.0,0.0,1000.0,0.0,hold,,,2776.419921875
2018-01-17,43.130001068115234,1000.0,0.0,0.0,1000.0,0.0,hold,,,2802.56005859375
2018-01-18,44.56999969482422,1000.0,0.0,0.0,1000.0,0.0,hold,,,2798.030029296875
2018-01-19,44.66999816894531,1000.0,0.0,0.0,1000.0,0.0,hold,,,2810.300048828125
2018-01-22,46.380001068115234,1000.0,0.0,0.0,1000.0,0.0,hold,,,2832.969970703125
2018-01-23,46.279998779296875,1000.0,0.0,0.0,1000.0,0.0,hold,,,2839.1298828125
2018-01-24,45.33000183105469,1000.0,0.0,0.0,1000.0,0.0,hold,,,2837.5400390625
2018-01-25,45.099998474121094,1000.0,0.0,0.0,1000.0,0.0,hold,,,2839.25
2018-01-26,45.720001220703125,1000.0,0.0,0.0,1000.0,0.0,hold,,,2872.8701171875
2018-01-29,45.400001525878906,1000.0,0.0,0.0,1000.0,0.0,hold,,,2853.530029296875
2018-01-30,44.880001068115234,1000.0,0.0,0.0,1000.0,0.0,hold,,,2822.429931640625
2018-01-31,45.310001373291016,1000.0,0.0,0.0,1000.0,0.0,hold,,,2823.81005859375
2018-02-01,45.45000076293945,1000.0,0.0,0.0,1000.0,0.0,hold,,,2821.97998046875
2018-02-02,44.5099983215332,1000.0,0.0,0.0,1000.0,0.0,hold,,,2762.1298828125
2018-02-05,42.95000076293945,999.9499999999999,-0.05000000000006821,23.28172252008045,0.0,999.9499999999999,buy,42.95000076293945,,2648.93994140625
2018-02-06,43.59000015258789,1014.8502882028157,14.900288202815773,23.28172252008045,0.0,1014.8502882028157,hold,,,2695.139892578125
2018-02-07,41.880001068115234,975.0385640085318,-39.8117241942839,23.28172252008045,0.0,975.0385640085318,hold,,,2681.659912109375
2018-02-08,40.36000061035156,939.6503351204827,-35.38822888804907,23.28172252008045,0.0,939.6503351204827,hold,,,2581.0
2018-02-09,41.470001220703125,965.4930613278077,25.842726207324972,23.28172252008045,0.0,965.4930613278077,hold,,,2619.550048828125
2018-02-12,42.529998779296875,990.0726131959142,24.579551868106478,0.0,990.0726131959142,0.0,sell,,42.529998779296875,2656.0
2018-02-13,42.380001068115234,990.0726131959142,0.0,0.0,990.0726131959142,0.0,hold,,,2662.93994140625
2018-02-14,43.04999923706055,990.0231095652545,-0.049503630659728515,22.997052894555477,1.1368683772161603e-13,990.0231095652543,buy,43.04999923706055,,2698.6298828125
2018-02-15,43.52000045776367,1000.8317524982698,10.808642933015335,22.997052894555477,1.1368683772161603e-13,1000.8317524982697,hold,,,2731.199951171875
2018-02-16,43.47999954223633,999.811858143124,-1.019894355145766,0.0,999.811858143124,0.0,sell,,43.47999954223633,2732.219970703125
2018-02-20,43.7400016784668,999.811858143124,0.0,0.0,999.811858143124,0.0,hold,,,2716.260009765625
2018-02-21,42.88999938964844,999.7618675502168,-0.04999059290719288,23.30990631330041,0.0,999.7618675502168,buy,42.88999938964844,,2701.330078125
2018-02-22,42.38999938964844,988.0081037021273,-11.753763848089534,0.0,988.0081037021273,0.0,sell,,42.38999938964844,2703.9599609375
2018-02-23,43.900001525878906,987.9587032969422,-0.049400405185110685,22.50475327921216,0.0,987.9587032969422,buy,43.900001525878906,,2747.300048828125
2018-02-26,44.40999984741211,999.4360896958592,11.47738639891702,22.50475327921216,0.0,999.4360896958592,hold,,,2779.60009765625
2018-02-27,43.619998931884766,981.6573140015646,-17.77877569429461,22.50475327921216,0.0,981.6573140015646,hold,,,2744.280029296875
2018-02-28,43.349998474121094,975.5810203143188,-6.076293687245766,22.50475327921216,0.0,975.5810203143188,hold,,,2713.830078125
2018-03-01,42.720001220703125,961.4030875595662,-14.177932754752646,22.50475327921216,0.0,961.4030875595662,hold,,,2677.669921875
2018-03-02,43.0099983215332,967.8326078253573,6.429520265791098,0.0,967.8326078253573,0.0,sell,,43.0099983215332,2691.25
2018-03-05,43.4900016784668,967.8326078253573,0.0,0.0,967.8326078253573,0.0,hold,,,2720.93994140625
2018-03-06,43.540000915527344,967.8326078253573,0.0,0.0,967.8326078253573,0.0,hold,,,2728.1201171875
2018-03-07,44.20000076293945,967.8326078253573,0.0,0.0,967.8326078253573,0.0,hold,,,2726.800048828125
2018-03-08,43.79999923706055,967.7842161949661,-0.04839163039116556,22.095530434988994,1.1368683772161603e-13,967.784216194966,buy,43.79999923706055,,2738.969970703125
2018-03-09,44.59000015258789,985.2397054676698,17.45548927270363,22.095530434988994,1.1368683772161603e-13,985.2397054676696,hold,,,2786.570068359375
2018-03-12,45.220001220703125,999.1599132422855,13.920207774615733,22.095530434988994,1.1368683772161603e-13,999.1599132422854,hold,,,2783.02001953125
2018-03-13,44.9900016784668,994.0779513567692,-5.081961885516307,22.095530434988994,1.1368683772161603e-13,994.0779513567691,hold,,,2765.31005859375
2018-03-14,45.150001525878906,997.6132328548571,3.5352814980878975,22.095530434988994,1.1368683772161603e-13,997.613232854857,hold,,,2749.47998046875
2018-03-15,45.310001373291016,1001.0483995015096,3.435166646652533,0.0,1001.0483995015096,0.0,sell,,45.310001373291016,2747.330078125
