Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,benchmark
2018-01-02,59.7599983215332,1000.0,0.0,0.0,1000.0,0.0,hold,,,2695.81005859375
2018-01-03,60.119998931884766,1000.0,0.0,0.0,1000.0,0.0,hold,,,2713.06005859375
2018-01-04,58.650001525878906,1000.0,0.0,0.0,1000.0,0.0,hold,,,2723.989990234375
2018-01-05,58.349998474121094,999.9500000000002,-0.04999999999984084,17.137104132804556,0.0,999.9500000000002,buy,58.349998474121094,,2743.14990234375
2018-01-08,58.45000076293945,1001.5635832620354,1.613583262035263,0.0,1001.5635832620354,0.0,sell,,58.45000076293945,2747.7099609375
2018-01-09,57.689998626708984,1001.5635832620354,0.0,0.0,1001.5635832620354,0.0,hold,,,2751.2900390625
2018-01-10,56.84000015258789,1001.5135050828723,-0.05007817916316526,17.619871611440768,0.0,1001.5135050828723,buy,56.84000015258789,,2748.22998046875
2018-01-11,56.22999954223633,990.6662961083127,-10.847208974559521,0.0,990.6662961083127,0.0,sell,,56.22999954223633,2767.56005859375
2018-01-12,54.83000183105469,990.6167627935073,-0.049533314805444206,18.06705689789783,0.0,990.6167627935073,buy,54.83000183105469,,2786.239990234375
2018-01-16,54.52000045776367,985.0159503438321,-5.600812449675232,18.06705689789783,0.0,985.0159503438321,hold,,,2776.419921875
2018-01-17,54.97999954223633,993.3267799759805,8.310829632148398,18.06705689789783,0.0,993.3267799759805,hold,,,2802.56005859375
2018-01-18,54.380001068115234,982.4865734053828,-10.840206570597616,18.06705689789783,0.0,982.4865734053828,hold,,,2798.030029296875
2018-01-19,54.470001220703125,984.1126112830077,1.6260378776248672,18.06705689789783,0.0,984.1126112830077,hold,,,2810.300048828125
2018-01-22,54.4900016784668,984.4739606914079,0.36134940840020136,18.06705689789783,0.0,984.4739606914079,hold,,,2832.969970703125
2018-01-23,55.95000076293945,1010.8518472214541,26.377886530046226,18.06705689789783,0.0,1010.8518472214541,hold,,,2839.1298828125
2018-01-24,55.88999938964844,1009.7677989962534,-1.0840482252007178,18.06705689789783,0.0,1009.7677989962534,hold,,,2837.5400390625
