RANK,SYMBOL,INDUSTRIES,RETURN,SCORE
1,WY,Real Estate,109.7868039822789,10.869924215428446
2,STM,Technology,186.0937533183964,6.632308983703314
3,IFF,Basic Materials,16.981856499086277,5.518894369242522
4,WPC,Real Estate,24.87960451841327,5.401321260400557
5,CNC,Healthcares,66.99413519906595,5.07865424835251
6,LVS,Consumer Cyclical,45.43096915555375,4.969561801318701
7,NWL,Consumer Defensive,32.86388810087321,4.900274785287771
8,COP,Energy,22.326266378795413,4.534028152070444
9,CAT,Industrials,58.03667899958066,4.501567771331917
10,NFLX,Communication Services,213.25065463173712,4.223527089411676
11,MPW,Real Estate,82.17729323599869,4.192968574204363
12,CI,Healthcares,39.273444472148164,4.183411308555693
13,VMC,Basic Materials,48.79398129970225,3.7930763481793606
14,JCI,Industrials,54.73896425926787,3.732347747269753
15,TOT,Energy,9.760834983945257,3.5238901793805075
16,BRK-A,Financial Services,23.70965520327734,3.3773146421037175
17,LUV,Industrials,7.602173058603466,3.361906091786188
18,PKX,Basic Materials,8.939935019443487,3.311148252114707
19,PTR,Energy,-28.438243304538318,2.959737587674465
20,OMC,Communication Services,12.73150668132364,2.7902984625885194
21,ZBH,Healthcares,44.44113752588771,2.7094320700505548
22,MCD,Consumer Cyclical,37.29300748814451,2.6702948215895357
23,BAC-PL,Financial Services,21.108637034757727,2.478639328814842
24,EQNR,Energy,0.3691477524324682,2.3483175899189663
25,XOM,Energy,-33.84573852267531,2.332853986578441
26,CVX,Energy,-10.510881732961389,2.199123336045599
27,DAL,Industrials,-3.145393000200204,1.8444758119853617
28,MU,Technology,56.71574176163665,1.7945506266843414
29,VTR,Real Estate,7.273856715612624,1.7747138240119023
30,SNP,Energy,-22.616000246144075,1.7646565091819504
31,DIS,Communication Services,30.862771214093733,1.7208163345402272
32,SPG,Real Estate,-27.3004071890939,1.712667042842845
33,JNJ,Healthcares,23.099784378020786,1.6927248937329178
34,VALE,Basic Materials,44.275652308594886,1.6556942044167888
35,MT,Basic Materials,-7.373150566456547,1.6114626729594195
36,C,Financial Services,2.9296575513749303,1.598623651262438
37,VZ,Communication Services,13.447865193473172,1.5906458975067572
38,TD,Financial Services,8.124593704134849,1.5409727481868007
39,PCAR,Industrials,23.42759702041515,1.3815765605121497
40,ENB,Energy,-8.691047682720205,1.1827044858989049
41,GM,Consumer Cyclical,12.150977172298076,1.0812374663893791
42,BG,Consumer Defensive,5.940697355143152,0.9240771608743619
43,BTI,Consumer Defensive,-28.02455682262589,0.8936302454568512
44,DISCA,Communication Services,30.98506047109365,0.8312448782683074
45,UL,Consumer Defensive,12.114038341225818,0.7054139550915582
46,GE,Industrials,-24.534252416724144,0.7024457359080505
47,V,Financial Services,96.34033336046261,0.6687895766651142
48,EA,Communication Services,25.60773651377117,0.6466158382604028
49,GSK,Healthcares,3.7381576289189296,0.5920456056713266
50,GOOG,Communication Services,63.744535270384674,0.49855419154233305
51,NLY,Real Estate,-22.685887841661177,0.4396590688934354
52,INTC,Technology,7.6415859784074875,0.23930545236664236
53,RDS-B,Energy,-43.332751540093035,0.004924369470861167
54,K,Consumer Defensive,-5.4228387827283315,-0.10513253906226067
55,HST,Real Estate,-28.36118686589514,-0.5022366664436806
56,SAP,Technology,9.75856326253686,-0.5486213105772813
57,TM,Consumer Cyclical,13.051533821208295,-0.5829675501427861
58,ANTM,Healthcares,28.47942616576013,-0.6193479773313662
59,CAH,Healthcares,-20.13015079984018,-0.6392469204541786
60,RIO,Basic Materials,23.71465779642799,-0.6572713573348075
61,SNY,Healthcares,5.912334130913519,-0.686501098481421
62,RELX,Communication Services,0.4468598673678571,-0.7774183293933807
63,TXN,Technology,39.71854269209009,-0.8860765859616898
64,NKE,Consumer Cyclical,75.33925901795101,-0.9373362707667909
65,HPQ,Technology,2.604939734259369,-1.0249142974249603
66,DEO,Consumer Defensive,0.614078880299121,-1.1684743612228794
67,IBM,Technology,-24.28229756178116,-1.2303314195828667
68,LIN,Basic Materials,47.116952741411616,-1.2503300610097912
69,WFC-PL,Financial Services,8.067449985710095,-1.2676447524780112
70,PFE,Healthcares,-2.4575077717331513,-1.2885645570450712
71,ARE,Real Estate,18.68001546504877,-1.4851575112150173
72,ABB,Industrials,-7.079720329669283,-1.502596730047163
73,BP,Energy,-49.43305452289395,-1.5346156940122102
74,GIS,Consumer Defensive,-8.727246563483698,-1.5937973480324987
75,KR,Consumer Defensive,-1.681125337186836,-1.6229604837869709
76,O,Real Estate,-6.963294388595523,-1.6505341709966803
77,CMI,Industrials,7.2407739773618,-1.858723841176256
78,GS,Financial Services,-11.183493485710768,-1.9177460755578701
79,CSCO,Technology,-3.06157899312916,-1.9777927476930879
80,BBL,Basic Materials,-0.16424810894842493,-2.309114005965323
81,MA,Financial Services,57.55435674274009,-2.8321782381951754
82,TU,Communication Services,-11.695907711481981,-3.071598409596661
83,FORD,Consumer Cyclical,-13.406046154527896,-3.211477759695218
84,AVB,Real Estate,-28.15895542255056,-3.237105426854048
85,JPM,Financial Services,-17.776462579470195,-3.7020754141127323
86,DE,Industrials,15.617183465349308,-3.8433816856110194
87,WPP,Communication Services,-60.8868499345542,-3.934009842029419
88,FMS,Healthcares,-37.625308113246696,-4.0176516390441535
89,CPB,Consumer Defensive,-25.996388763167943,-4.442897261276072
90,AMZN,Consumer Cyclical,76.41090879605132,-4.5078281219008804
91,CCEP,Consumer Defensive,-19.902186177357724,-5.271868817708852
92,EBAY,Consumer Cyclical,-12.92515173268664,-5.336586193434436
93,HD,Consumer Cyclical,-10.70743318929451,-5.617307698121097
94,GD,Industrials,-41.47731871508913,-6.191232474423742
95,BHP,Basic Materials,-20.13199359995152,-6.406524311912502
96,MS,Financial Services,-33.77858999298816,-6.421790430284466
97,SCCO,Basic Materials,-22.240230385878192,-6.846476460398789
98,SBUX,Consumer Cyclical,0.6307321166578049,-7.532188913298877
99,AAPL,Technology,32.709383950930984,-9.151798303259087
100,TSM,Technology,-12.050434277777095,-13.677717239284803
