Date,High,Low,Open,Close,Volume,Adj Close
2015-12-31,200000,197800,199220,197800,3,197800
2016-01-04,196760,193300,195000,196295,8,196295
2016-01-05,197314,195000,196300,197000,5,197000
2016-01-06,197880,194701,195041,197415,6,197415
2016-01-07,196200,194000,194299,195580,11,195580
2016-01-08,196000,193275,195650,193900,4,193900
2016-01-11,194810,191461,194140,193060,3,193060
2016-01-12,194740,191700,193900,194000,3,194000
2016-01-13,194339,189540,194100,190500,5,190500
2016-01-14,194000,189661,190150,192250,3,192250
2016-01-15,191200,187655,188520,190000,6,190000
2016-01-19,192938,191000,191005,191700,3,191700
2016-01-20,189959,187100,188620,188470,5,188470
2016-01-21,190750,187500,188501,189455,2,189455
2016-01-22,192260,189990,191901,191396,2,191396
2016-01-25,190000,186900,190000,187001,2,187001
2016-01-26,190500,187510,187510,189640,4,189640
2016-01-27,191580,187996,189395,189091,2,189091
2016-01-28,190900,187500,189840,188300,2,188300
2016-01-29,194650,190020,190020,194360,5,194360
2016-02-01,195190,191900,194000,194759,5,194759
2016-02-02,194000,189800,193100,189902,4,189902
2016-02-03,190620,186921,190501,189861,4,189861
2016-02-04,192200,189502,189502,192200,2,192200
2016-02-05,191880,189520,191385,190820,3,190820
2016-02-08,192440,188500,189120,191255,4,191255
2016-02-09,193000,189365,189725,192635,6,192635
2016-02-10,194700,190471,192861,190520,3,190520
2016-02-11,190200,187405,187865,190000,6,190000
2016-02-12,193999,190300,190300,193999,6,193999
2016-02-16,195540,193106,195540,193465,3,193465
2016-02-17,196070,194063,194741,195903,4,195903
2016-02-18,199001,196025,196450,196025,4,196025
2016-02-19,197660,195726,196075,197310,1,197310
2016-02-22,199800,197631,199000,198650,2,198650
2016-02-23,198300,196502,197880,196502,1,196502
2016-02-24,197400,194201,195755,196511,3,196511
2016-02-25,198899,196100,197690,198899,4,198899
2016-02-26,200000,198000,199000,198191,4,198191
2016-02-29,203192,200000,200100,202555,9,202555
2016-03-01,205606,202600,203899,205500,7,205500
2016-03-02,206009,204580,206000,205500,4,205500
2016-03-03,206395,204999,205750,206000,4,206000
2016-03-04,207945,205700,206200,207945,11,207945
2016-03-07,208750,206621,207500,208500,7,208500
2016-03-08,208700,207280,208150,207989,6,207989
2016-03-09,209425,208250,208336,209250,5,209250
2016-03-10,210001,207930,209865,209120,7,209120
2016-03-11,211600,209490,209990,211600,6,211600
2016-03-14,212250,209850,212000,210300,2,210300
2016-03-15,211200,209173,209720,211070,2,211070
2016-03-16,211000,210140,210200,210200,4,210200
2016-03-17,214000,209925,210240,213600,4,213600
2016-03-18,214560,212481,214250,213330,3,213330
2016-03-21,214000,212860,213330,213300,2,213300
2016-03-22,214538,212790,213200,213400,2,213400
2016-03-23,213340,211370,212900,211370,3,211370
2016-03-24,210980,209525,210200,210530,2,210530
2016-03-28,212619,210790,211120,212125,2,212125
2016-03-29,213000,211000,212435,212800,1,212800
2016-03-30,215130,213588,214345,214035,3,214035
2016-03-31,214623,212400,214125,213450,2,213450
2016-04-01,215950,209641,211850,215740,3,215740
2016-04-04,215600,214360,215560,215060,2,215060
2016-04-05,213884,211900,213501,212340,2,212340
2016-04-06,212990,211000,212299,212990,2,212990
2016-04-07,211911,210670,211302,211401,2,211401
2016-04-08,213144,211250,212300,211705,1,211705
2016-04-11,213180,211660,212340,211660,1,211660
2016-04-12,213720,211652,212250,213700,2,213700
2016-04-13,216178,214294,214480,216130,3,216130
2016-04-14,216250,215310,216250,215600,2,215600
2016-04-15,216080,214470,216080,215110,2,215110
2016-04-18,216650,214350,214350,216650,2,216650
2016-04-19,219499,216840,216945,219000,3,219000
2016-04-20,219600,218060,218400,218928,2,218928
2016-04-21,219495,217045,219120,217460,3,217460
2016-04-22,219500,217400,217400,219038,2,219038
2016-04-25,219393,218330,218700,219278,1,219278
2016-04-26,220680,219540,219600,220340,4,220340
2016-04-27,221985,219980,220330,221430,2,221430
2016-04-28,221030,218661,219870,219120,2,219120
2016-04-29,219750,216860,218679,219000,2,219000
2016-05-02,220640,218730,219180,220253,2,220253
2016-05-03,219800,216300,219800,217354,3,217354
2016-05-04,216550,215103,215755,216515,2,216515
2016-05-05,217200,215230,216515,215880,2,215880
2016-05-06,217245,215135,215390,217000,2,217000
2016-05-09,216580,212950,216580,214430,2,214430
2016-05-10,217280,214700,214700,216975,3,216975
2016-05-11,217205,214211,217100,214468,2,214468
2016-05-12,215570,213435,214900,214860,2,214860
2016-05-13,215200,211750,214550,212140,3,212140
2016-05-16,213150,211905,211905,212530,3,212530
2016-05-17,212780,209865,212780,210695,3,210695
2016-05-18,212700,209940,210155,212200,2,212200
2016-05-19,212070,209600,211250,211180,3,211180
2016-05-20,213680,211810,211810,212833,3,212833
2016-05-23,213050,211650,213050,212210,2,212210
2016-05-24,216090,213000,213080,215650,3,215650
2016-05-25,217300,215565,215650,216185,3,216185
2016-05-26,215970,214360,215750,214600,2,214600
2016-05-27,215380,214290,215380,214303,2,214303
2016-05-31,216070,211695,215900,211695,2,211695
2016-06-01,213090,210703,211100,212360,2,212360
2016-06-02,213060,211570,212148,212355,2,212355
2016-06-03,212240,210210,211700,211615,2,211615
2016-06-06,213710,212205,212205,212880,3,212880
2016-06-07,213662,212180,213200,212210,2,212210
2016-06-08,214000,212620,212620,213500,1,213500
2016-06-09,213650,211810,213287,213210,1,213210
2016-06-10,213460,211800,211800,212622,1,212622
2016-06-13,213925,211450,212300,211450,2,211450
2016-06-14,212250,210880,211240,212070,5,212070
2016-06-15,213210,210050,212405,210050,3,210050
2016-06-16,213000,208610,210100,213000,3,213000
2016-06-17,212350,210651,212350,211200,3,211200
2016-06-20,214396,212500,213200,212630,2,212630
2016-06-21,215420,212830,213140,215420,3,215420
2016-06-22,216940,215420,215420,216266,2,216266
2016-06-23,218850,216983,217021,218850,4,218850
2016-06-24,212730,209500,210505,209852,9,209852
2016-06-27,208860,205074,208860,208000,4,208000
2016-06-28,210500,207650,209505,210400,3,210400
2016-06-29,213080,210000,212100,212645,4,212645
2016-06-30,217030,213220,213400,216975,6,216975
2016-07-01,217210,215600,216421,216298,2,216298
2016-07-05,215270,212650,214710,212960,2,212960
2016-07-06,213950,211500,212010,213620,2,213620
2016-07-07,214450,211900,214036,212501,3,212501
2016-07-08,215550,214035,214590,214720,2,214720
2016-07-11,216405,215200,216405,215824,2,215824
2016-07-12,217500,216070,216140,217050,2,217050
2016-07-13,218950,216690,216975,218950,3,218950
2016-07-14,219940,218280,219250,218591,3,218591
2016-07-15,219400,217660,219280,218990,1,218990
2016-07-18,220000,219000,219000,219900,4,219900
2016-07-19,220360,218900,219060,220265,5,220265
2016-07-20,220270,218590,220003,219187,2,219187
2016-07-21,219044,216315,218900,216315,3,216315
2016-07-22,217158,215920,216760,216805,2,216805
2016-07-25,217600,215430,217600,216005,1,216005
2016-07-26,217190,215901,216640,216400,1,216400
2016-07-27,217100,215670,216220,216300,1,216300
2016-07-28,217011,215250,216000,216660,1,216660
2016-07-29,216750,215710,215800,216000,1,216000
2016-08-01,216790,215430,216540,215960,1,215960
2016-08-02,215630,214520,215350,214900,2,214900
2016-08-03,215735,214620,215735,215300,2,215300
2016-08-04,215620,214400,215610,214830,1,214830
2016-08-05,218150,215800,215970,218010,6,218010
2016-08-08,218500,216460,218000,218300,4,218300
2016-08-09,221140,218310,218500,220605,8,220605
2016-08-10,221040,219260,220740,220000,4,220000
2016-08-11,222030,220000,220495,221890,6,221890
2016-08-12,221750,220630,220630,221750,3,221750
2016-08-15,221995,220750,221523,221995,3,221995
2016-08-16,221995,220805,221605,220805,5,220805
2016-08-17,223960,220920,220920,223890,4,223890
2016-08-18,224000,222855,223850,223200,3,223200
2016-08-19,223220,221900,223000,223040,3,223040
2016-08-22,223050,221970,222750,222446,1,222446
2016-08-23,223870,222851,223020,223500,2,223500
2016-08-24,223201,222270,223000,222824,1,222824
2016-08-25,223060,222250,222700,222999,4,222999
2016-08-26,223630,220890,222930,222040,5,222040
2016-08-29,224450,222800,222800,223400,4,223400
2016-08-30,225330,224040,224040,224850,2,224850
2016-08-31,226145,223040,225280,225760,2,225760
2016-09-01,226440,223240,225680,225350,2,225350
2016-09-02,226490,225040,225970,226050,1,226050
2016-09-06,226340,224000,226340,225849,2,225849
2016-09-07,225660,224080,225510,224230,2,224230
2016-09-08,225100,224055,224500,224740,3,224740
2016-09-09,224211,219870,224100,220110,3,220110
2016-09-12,224000,219000,219640,223520,3,223520
2016-09-13,221900,218000,221900,219150,5,219150
2016-09-14,220310,218080,219040,218610,3,218610
2016-09-15,220564,218434,218700,220339,2,220339
2016-09-16,218530,216810,218380,218400,7,218400
2016-09-19,219210,217360,218379,218000,3,218000
2016-09-20,218970,217251,218860,217870,2,217870
2016-09-21,219680,217500,218939,219440,5,219440
2016-09-22,220500,219250,219900,220000,3,220000
2016-09-23,219530,217432,219440,217750,2,217750
2016-09-26,217350,216080,217000,216160,2,216160
2016-09-27,218030,216120,216160,217960,3,217960
2016-09-28,217930,216070,217700,217695,3,217695
2016-09-29,218200,215208,217790,215300,3,215300
2016-09-30,218049,216220,216620,216220,3,216220
2016-10-03,216380,214820,216000,215700,3,215700
2016-10-04,216210,214270,215960,214520,2,214520
2016-10-05,216400,215010,215459,216300,1,216300
2016-10-06,215970,214945,215970,215860,2,215860
2016-10-07,217370,215780,215890,216640,3,216640
2016-10-10,218470,217500,217530,217730,1,217730
2016-10-11,217599,215373,217599,215920,2,215920
2016-10-12,217800,216300,216351,217230,1,217230
2016-10-13,216100,213030,216100,214660,6,214660
2016-10-14,217280,215620,215620,216370,2,216370
2016-10-17,216900,215100,216900,216225,1,216225
2016-10-18,217480,216200,216600,216300,2,216300
2016-10-19,218500,216700,216700,217350,2,217350
2016-10-20,218000,216340,217014,216975,2,216975
2016-10-21,215940,214259,215400,215600,2,215600
2016-10-24,217260,215500,216440,215500,2,215500
2016-10-25,216190,214880,215347,215250,3,215250
2016-10-26,216660,214710,214900,215840,5,215840
2016-10-27,217110,215860,216400,216820,4,216820
2016-10-28,217810,214470,217010,216200,3,216200
2016-10-31,217000,215700,215900,215700,3,215700
2016-11-01,217090,214835,216798,215370,7,215370
2016-11-02,215700,214640,214640,214900,6,214900
2016-11-03,216630,214860,214860,215001,3,215001
2016-11-04,215680,213680,214960,214545,5,214545
2016-11-07,220720,216600,216850,220303,9,220303
2016-11-08,222150,219650,220425,221485,6,221485
2016-11-09,227368,218500,218930,227135,11,227135
2016-11-10,234910,227499,227499,233750,14,233750
2016-11-11,235870,232771,233310,234860,4,234860
2016-11-14,237153,234930,236150,236650,9,236650
2016-11-15,236370,234000,236300,236000,7,236000
2016-11-16,236320,234130,235101,235470,4,235470
2016-11-17,237893,234470,234910,237550,4,237550
2016-11-18,237686,236000,237240,236391,5,236391
2016-11-21,238050,236160,236340,237500,4,237500
2016-11-22,238590,236740,238590,237801,3,237801
2016-11-23,238250,236070,238250,237070,3,237070
2016-11-25,237635,236510,237150,237085,2,237085
2016-11-28,237660,235370,236659,235400,2,235400
2016-11-29,236900,235320,235795,236391,2,236391
2016-11-30,237999,236330,237230,237000,3,237000
2016-12-01,240200,236340,236361,239821,5,239821
2016-12-02,240000,238173,240000,239070,3,239070
2016-12-05,241040,239000,240250,240000,3,240000
2016-12-06,242210,239950,240430,241836,3,241836
2016-12-07,246890,242410,242600,246380,8,246380
2016-12-08,248820,245270,247160,246120,5,246120
2016-12-09,247680,244600,246000,247190,3,247190
2016-12-12,249969,246441,246670,248889,9,248889
2016-12-13,250420,248110,249750,249711,3,249711
2016-12-14,250786,247020,249360,247120,3,247120
2016-12-15,250500,247190,248061,248271,3,248271
2016-12-16,248900,246405,248540,246405,2,246405
2016-12-19,248330,246700,247899,248330,2,248330
2016-12-20,249585,248120,248300,249041,3,249041
2016-12-21,249929,248480,249100,248631,3,248631
2016-12-22,249100,247420,248190,249000,2,249000
2016-12-23,249000,247200,249000,248000,2,248000
2016-12-27,248625,247150,248000,247300,2,247300
2016-12-28,248200,245330,248000,245330,2,245330
2016-12-29,246720,244500,245870,244500,1,244500
2016-12-30,245580,243930,244850,244121,2,244121
2017-01-03,246730,243800,246382,245850,4,245850
2017-01-04,246600,244550,246600,246600,3,246600
2017-01-05,245665,243360,245665,244852,2,244852
2017-01-06,245650,244190,245575,245394,2,245394
