Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,1189.010009765625,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,1204.199951171875,999.9550566409239,0.3732217314278243,550.5214658792552,449.43359076166865,buy,1204.199951171875,
2018-01-04,1209.5899658203125,1001.9666749620684,0.37235733327570864,551.5669809321613,450.3996940299071,sell,,1209.5899658203125
2018-01-05,1229.1400146484375,1009.2460863262552,0.36922208649382815,555.4204455247046,453.8256408015506,sell,,1229.1400146484375
2018-01-08,1246.8699951171875,1015.7922094432893,0.3663787245822465,558.9655709123822,456.8266385309071,sell,,1246.8699951171875
2018-01-09,1252.699951171875,1017.9281227462802,0.36544377290413776,560.136726273201,457.79139647307915,sell,,1252.699951171875
2018-01-10,1254.3299560546875,1018.5237814861428,0.3651823685665724,560.4645971700874,458.05918431605545,sell,,1254.3299560546875
2018-01-11,1276.6800537109375,1026.6854142862799,0.36159807717336295,565.0403616988192,461.6450525874607,sell,,1276.6800537109375
2018-01-12,1305.199951171875,1036.9978558868202,0.35702433326509564,571.009713542046,465.9881423447741,sell,,1305.199951171875
2018-01-16,1304.8599853515625,1036.8764727023395,0.35707885367849485,570.938564922066,465.9379077802735,buy,1304.8599853515625,
2018-01-17,1295.0,1033.355475664023,0.3586601022786724,568.8906432131423,464.46483245088075,buy,1295.0,
2018-01-18,1293.3199462890625,1032.7528725822172,0.35892953296075975,568.542148291849,464.2107242903681,buy,1293.3199462890625,
2018-01-19,1294.5799560546875,1033.2051142192522,0.35872746484330675,568.8037285467947,464.40138567245754,sell,,1294.5799560546875
2018-01-22,1327.31005859375,1044.945952578896,0.35347852917269157,575.7703453110581,469.1756072678378,sell,,1327.31005859375
2018-01-23,1362.5400390625,1057.3986093509895,0.34782868738142925,583.4680960592389,473.9305132917507,sell,,1362.5400390625
2018-01-24,1357.510009765625,1055.6489113572875,0.34863535458233685,582.3729277535772,473.27598360371024,buy,1357.510009765625,
2018-01-25,1377.949951171875,1062.7747717339182,0.34535739547956584,586.8895654960046,475.8852062379137,sell,,1377.949951171875
2018-01-26,1402.050048828125,1071.0976477493616,0.34149245609838835,592.3081330021798,478.7895147471817,sell,,1402.050048828125
2018-01-29,1417.6800537109375,1076.4349988286153,0.3389858678570784,595.8614954777437,480.57350335087165,sell,,1417.6800537109375
2018-01-30,1437.8199462890625,1083.261905596327,0.33575602766853907,600.5051919277192,482.7567136686078,sell,,1437.8199462890625
2018-01-31,1450.8900146484375,1087.6501077730895,0.33365997716130263,603.5461786219298,484.1039291511597,sell,,1450.8900146484375
2018-02-01,1390.0,1067.3321895482813,0.3434249257889771,589.9715427016031,477.36064684667815,buy,1390.0,
2018-02-02,1429.949951171875,1081.0515404956745,0.3370181409799432,599.1324662573686,481.9190742383059,sell,,1429.949951171875
2018-02-05,1390.0,1067.5867916764012,0.3434249257889771,590.226144829723,477.36064684667815,buy,1390.0,
2018-02-06,1442.8399658203125,1085.7327416885225,0.33495096573653577,602.4521017337386,483.2806399547839,sell,,1442.8399658203125
2018-02-07,1416.780029296875,1077.0033486766883,0.3391302050233234,596.530446868289,480.4729018083994,buy,1416.780029296875,
2018-02-08,1350.5,1054.5243532590046,0.3497595518031136,582.1740785488997,472.3502747101049,buy,1350.5,
2018-02-09,1339.5999755859375,1050.711731437871,0.35150759175774754,579.8321701009207,470.8795613369503,buy,1339.5999755859375,
2018-02-12,1386.22998046875,1067.1020138418548,0.34402952487243177,590.1979722972704,476.90404154458446,sell,,1386.22998046875
2018-02-13,1414.510009765625,1076.8308581245592,0.33949424868851974,596.6128450967877,480.2180130277716,sell,,1414.510009765625
2018-02-14,1451.050048828125,1089.2355660800927,0.3336343124352824,605.1154807301382,484.1200853499545,sell,,1451.050048828125
