Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,67.98999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,69.44999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,70.47000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,69.94000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,68.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,69.62999725341797,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,69.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,70.44000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,69.73999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,70.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,70.44999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,69.63999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,77.55999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,82.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,80.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,80.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,80.0,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,81.80000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,80.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,79.94999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,79.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,79.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,78.5999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,80.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,82.55000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,81.33999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,79.95999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,80.75,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,79.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,79.51000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,75.05999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,77.19000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,79.0999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,76.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,75.0999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,75.58999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,76.62000274658203,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,75.97000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,74.83000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,75.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,75.9800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,75.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,77.98999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,77.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,77.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,77.01000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,74.95999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,75.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,75.87000274658203,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,74.23999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,73.73999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,73.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,72.6500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,73.98999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,73.0199966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,72.05000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,72.5199966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,73.19000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,72.61000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,73.05999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,73.94000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,72.58000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,74.12000274658203,1000.0,0.0,1000.0,0.0,hold,,
2018-04-04,75.63999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-04-05,75.13999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-04-06,75.58999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-04-09,74.91000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-04-10,74.0999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-11,74.48999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-04-12,75.05000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-04-13,75.13999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-04-16,75.05999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-04-17,74.80000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-04-18,74.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-04-19,75.69999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-04-20,73.7300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-04-23,73.44000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-04-24,72.72000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-04-25,72.55000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-04-26,71.97000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-04-27,72.69000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-04-30,72.2300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-05-01,71.63999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-05-02,73.29000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-05-03,70.26999664306639,1000.0,0.0,1000.0,0.0,hold,,
2018-05-04,70.48999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-05-07,69.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-05-08,69.51999664306639,1000.0,0.0,1000.0,0.0,hold,,
2018-05-09,69.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-05-10,70.75,1000.0,0.0,1000.0,0.0,hold,,
2018-05-11,71.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-05-14,71.04000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-05-15,71.04000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-05-16,70.58999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-05-17,70.69000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-05-18,69.66000366210939,1000.0,0.0,1000.0,0.0,hold,,
2018-05-21,69.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-05-22,69.97000122070311,1000.0,0.0,1000.0,0.0,hold,,
2018-05-23,69.83999633789061,1000.0,0.0,1000.0,0.0,hold,,
2018-05-24,70.09999847412111,1000.0,0.0,1000.0,0.0,hold,,
2018-05-25,69.94000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-05-29,69.66000366210939,1000.0,0.0,1000.0,0.0,hold,,
2018-05-30,70.34999847412111,1000.0,0.0,1000.0,0.0,hold,,
