Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,111.8000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,112.27999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,112.2300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,111.62000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,110.0199966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,109.94000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,109.47000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,110.98999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,112.47000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,110.69000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,111.97000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,110.41999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,110.58999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,111.0999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,110.41000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,110.5,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,110.5500030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,112.19000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,111.54000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,110.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,108.66999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,110.48999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,108.6999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,104.6999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,106.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,104.76000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,101.3499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,103.08999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,103.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,104.12000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,104.5999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,105.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,106.52999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,105.9800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,105.0500030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,105.23999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,107.25,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,109.80999755859376,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,104.87000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,103.16000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,102.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,102.98999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,103.41000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,104.94000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,103.58999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,104.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,104.7300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,105.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,103.7300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,103.9000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,103.23999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,102.87000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,101.4800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,101.3499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,101.81999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,100.5999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,98.54000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,100.6500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,99.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,98.54000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,100.44000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,98.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,99.41999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-04-04,100.9499969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-04-05,102.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-04-06,100.3499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-09,99.6999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-04-10,101.37000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-04-11,100.8000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-04-12,100.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-04-13,100.3499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-16,100.23999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-04-17,102.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-04-18,101.20999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-04-19,100.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-04-20,100.23999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-04-23,100.1500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-24,99.45999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-04-25,101.1500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-26,99.83999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-04-27,99.2300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-04-30,100.33000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-05-01,100.05999755859376,1000.0,0.0,1000.0,0.0,hold,,
2018-05-02,99.62000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-05-03,98.76000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-05-04,101.1500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-05-07,102.4800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-05-08,101.79000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-05-09,99.97000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-05-10,101.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-05-11,102.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-05-14,102.44000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-05-15,102.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-05-16,105.04000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-05-17,104.33999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-05-18,103.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-05-21,104.05999755859376,1000.0,0.0,1000.0,0.0,hold,,
2018-05-22,104.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-05-23,102.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-05-24,102.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-05-25,102.1999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-05-29,99.69000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-05-30,99.9800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-05-31,99.47000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-06-01,99.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-06-04,100.23999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-06-05,99.94000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-06-06,101.91000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-06-07,102.47000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-06-08,103.9800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-06-11,104.3499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-06-12,104.33000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-06-13,106.30999755859376,1000.0,0.0,1000.0,0.0,hold,,
2018-06-14,108.75,1000.0,0.0,1000.0,0.0,hold,,
2018-06-15,108.8499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-06-18,107.05999755859376,1000.0,0.0,1000.0,0.0,hold,,
2018-06-19,106.0999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-06-20,107.1500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-06-21,105.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-06-22,106.33999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-06-25,104.4499969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-06-26,104.26000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-06-27,103.95999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-06-28,104.7699966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-06-29,104.80999755859376,1000.0,0.0,1000.0,0.0,hold,,
2018-07-02,105.33000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-07-03,104.04000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-07-05,105.33999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-07-06,104.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-07-09,106.0199966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-07-10,106.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-07-11,108.04000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-07-12,108.25,1000.0,0.0,1000.0,0.0,hold,,
2018-07-13,110.0,1000.0,0.0,1000.0,0.0,hold,,
2018-07-16,110.1999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-07-17,110.3000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-07-18,110.69000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-07-19,112.12999725341795,1000.0,0.0,1000.0,0.0,hold,,
2018-07-20,111.4800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-07-23,111.08999633789062,1000.0,0.0,1000.0,0.0,hold,,
