Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,38.060001373291016,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,39.22000122070313,999.955230515083,11.414962652633491,552.2603813445168,447.6948491705662,buy,39.22000122070313,
2018-01-04,38.56999969482422,992.5340600438352,11.78502466881292,537.985662164225,454.5483978796102,buy,38.56999969482422,
2018-01-05,39.68999862670898,1005.7320096822244,11.147381453604087,563.2924550972771,442.43955458494736,sell,,39.68999862670898
2018-01-08,39.79999923706055,1006.9581038200456,11.084755373468926,565.7848484129795,441.17325540706605,sell,,39.79999923706055
2018-01-09,39.52999877929688,1003.9646071479019,11.238473341491055,559.7077696775999,444.25683747030195,buy,39.52999877929688,
2018-01-10,37.70000076293945,983.3942954012464,12.280336673460734,520.4255934426234,462.96870195862306,buy,37.70000076293945,
2018-01-11,37.810001373291016,984.745021536041,12.217710593325577,522.7933672239287,461.9516543121123,sell,,37.810001373291016
2018-01-12,38.02000045776367,987.3105022958091,12.09815289768678,527.3387235876628,459.9717787081463,sell,,38.02000045776367
2018-01-16,37.68000030517578,983.1963990907889,12.291723430921845,520.0442564625174,463.1521426282714,buy,37.68000030517578,
2018-01-17,37.9900016784668,987.0065149889012,12.115231947977488,526.748832950222,460.2576820386793,sell,,37.9900016784668
2018-01-18,38.7400016784668,996.092111863184,11.688238316294427,543.2897398716179,452.802371991566,sell,,38.7400016784668
2018-01-19,38.43000030517578,992.4680636770057,11.864729799238784,536.5064938714311,455.96156980557464,buy,38.43000030517578,
2018-01-22,39.58000183105469,1006.1112253505498,11.21000536193732,562.4191925989379,443.692032751612,sell,,39.58000183105469
2018-01-23,39.77000045776367,1008.2408958768053,11.101834423759634,566.7209357618682,441.51996011493713,sell,,39.77000045776367
2018-01-24,39.81999969482422,1008.795922452543,11.073368616007816,567.8543875424357,440.9415349101073,sell,,39.81999969482422
2018-01-25,40.02000045776367,1011.0103767793807,10.959503213198612,572.4110531703099,438.5993236090709,sell,,40.02000045776367
2018-01-26,40.88999938964844,1020.5441202034729,10.464191208550798,592.6633480726662,427.88077213080663,sell,,40.88999938964844
2018-01-29,40.79999923706055,1019.6021323415619,10.515430531224844,590.572574690225,429.0295576513368,buy,40.79999923706055,
2018-01-30,40.400001525878906,1015.395064173267,10.743159165041323,581.3714175128375,434.0236466604294,buy,40.400001525878906,
2018-01-31,40.58000183105469,1017.3286281723456,10.640680519693237,585.529793199526,431.7988349728195,sell,,40.58000183105469
2018-02-01,46.18999862670898,1077.0154354552312,7.446769979017542,733.0491403509933,343.96629510423793,sell,,46.18999862670898
2018-02-02,44.29999923706055,1062.9362779555506,8.52279358337055,685.3765287146107,377.5597492409399,buy,44.29999923706055,
2018-02-05,42.36999893188477,1046.4826281354183,9.62159070264578,638.8158403412841,407.6667877941341,buy,42.36999893188477,
2018-02-06,42.790000915527344,1050.5232037242893,9.382473139566272,649.0471694923377,401.47603423195153,sell,,42.790000915527344
2018-02-07,42.33000183105469,1046.2061660942115,9.64436204576609,637.9603030375786,408.24586305663297,buy,42.33000183105469,
2018-02-08,41.02000045776367,1033.568979231142,10.39017837095453,607.3638576983411,426.205121532801,buy,41.02000045776367,
2018-02-09,41.65999984741211,1040.2179280692844,10.025810819406622,622.5426508626218,417.67527720666254,sell,,41.65999984741211
2018-02-12,42.31999969482422,1046.8341665841633,9.650056510397604,638.4437780091002,408.39038857506307,sell,,42.31999969482422
2018-02-13,42.150001525878906,1045.1932667018405,9.746840691114176,634.3639166988793,410.8293500029611,buy,42.150001525878906,
2018-02-14,42.43999862670898,1048.0194718969085,9.581738137432854,641.3705185027732,406.64895339413533,sell,,42.43999862670898
