Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,173.22000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,172.49000549316406,999.9626134796752,2.1674600924202814,626.097410231887,373.8652032477882,buy,172.49000549316406,
2018-01-04,173.6999969482422,1002.5848231168478,2.1215701804143112,634.0680892534003,368.5167338634475,sell,,173.6999969482422
2018-01-05,174.0500030517578,1003.3272701097214,2.1082959137040174,636.3783598955288,366.9489102141927,sell,,174.0500030517578
2018-01-08,173.92999267578125,1003.0741735603631,2.112847405014352,635.5866398811734,367.4875336791897,buy,173.92999267578125,
2018-01-09,173.5399932861328,1002.2499076782078,2.1276384496934186,633.0195454030938,369.2303622751139,buy,173.5399932861328,
2018-01-10,173.50999450683594,1002.1860613812114,2.1287761778454994,632.8221184569555,369.3639429242558,buy,173.50999450683594,
2018-01-11,173.38999938964844,1001.9305397260114,2.1333270904538244,632.0329568143023,369.8975829117091,buy,173.38999938964844,
2018-01-12,173.57000732421875,1002.3144962816596,2.126500142839327,633.2178509140854,369.09664536757424,sell,,173.57000732421875
2018-01-16,173.67999267578125,1002.5483439240379,2.122328858749702,633.9422832807905,368.6060606432474,sell,,173.67999267578125
2018-01-17,174.97999572753906,1005.3069465594028,2.0730251835854787,642.5690087925349,362.73793776686796,sell,,174.97999572753906
2018-01-18,174.57000732421875,1004.4567588329182,2.088574327897925,639.8543231146022,364.60243571831603,buy,174.57000732421875,
2018-01-19,176.1199951171875,1007.6935058891332,2.029789777700362,650.2069401516284,357.48656573750486,sell,,176.1199951171875
2018-01-22,176.2100067138672,1007.8761804309868,2.026376014542108,650.8084493037024,357.0677311272843,sell,,176.2100067138672
2018-01-23,176.80999755859375,1009.0917863208576,2.0036208727984732,654.8315846930121,354.2602016278455,sell,,176.80999755859375
2018-01-24,176.1199951171875,1007.7088221402339,2.029789777700362,650.222256402729,357.48656573750486,buy,176.1199951171875,
2018-01-25,175.66000366210938,1006.774829738335,2.047235328500281,647.1574644367761,359.617365301559,buy,175.66000366210938,
2018-01-26,178.36000061035156,1012.3014456781209,1.9448357438988992,665.4205412092797,346.8809044688412,sell,,178.36000061035156
2018-01-29,177.77000427246094,1011.1536019316261,1.967211835825843,661.4423454720302,349.71125645959586,buy,177.77000427246094,
2018-01-30,172.47999572753906,1000.7435740807591,2.167839720938982,626.8345882752141,373.9089858055451,buy,172.47999572753906,
2018-01-31,171.13999938964844,997.8378070523352,2.218660174071977,618.1363062158198,379.70150083651544,buy,171.13999938964844,
2018-02-01,171.89999389648438,999.5237288599567,2.189836763049236,623.0908026574959,376.43292620246075,sell,,171.89999389648438
2018-02-02,169.3800048828125,994.003745465966,2.2854094000361203,606.9010901286223,387.10265533734366,buy,169.3800048828125,
2018-02-05,163.85000610351562,981.3619978521408,2.4951391103659084,572.5334393895662,408.8285584625746,buy,163.85000610351562,
2018-02-06,165.17999267578125,984.6800827741102,2.4446982857516133,580.8648378391638,403.81524493494646,sell,,165.17999267578125
2018-02-07,165.7100067138672,985.9756406358251,2.4245970714268212,584.1956436512639,401.77999698456125,sell,,165.7100067138672
2018-02-08,158.97000122070312,969.6297794613317,2.6802172724645903,543.5556363858863,426.07414307544553,buy,158.97000122070312,
2018-02-09,160.8000030517578,974.5340239668969,2.610812961677585,554.7152917615725,419.81873220532447,sell,,160.8000030517578
2018-02-12,163.89999389648438,982.6265567619066,2.4932432825804467,573.9839979645208,408.6425587973859,sell,,163.89999389648438
2018-02-13,162.39999389648438,978.8857679652187,2.550132004992548,564.7443459191994,414.1414220460193,buy,162.39999389648438,
2018-02-14,159.99000549316406,972.7385170852142,2.6415327791877976,550.1196732325855,422.6188438526287,buy,159.99000549316406,
2018-02-15,160.77999877929688,974.8250693882762,2.6115716400129756,554.9365842949437,419.8884850933326,sell,,160.77999877929688
2018-02-16,157.7899932861328,967.0146665256473,2.7249700350204886,537.0416629948513,429.973003530796,buy,157.7899932861328,
2018-02-20,157.16000366210938,965.2975881774576,2.748862904916205,533.2862839741902,432.0113042032674,buy,157.16000366210938,
2018-02-21,158.63999938964844,969.3654483088162,2.6927328608394934,542.1903089087527,427.17513940006353,sell,,158.63999938964844
2018-02-22,160.66000366210938,974.8041647816881,2.6161225526213006,554.497905897023,420.30625888466506,sell,,160.66000366210938
2018-02-23,163.05999755859375,981.0821008403266,2.525100828242741,569.3391659518621,411.74293488846445,sell,,163.05999755859375
2018-02-26,163.5800018310547,982.3950027565553,2.50537924243665,572.5650616912817,409.8299410652736,sell,,163.5800018310547
2018-02-27,160.66000366210938,975.0775207540646,2.6161225526213006,554.7712618693996,420.30625888466506,buy,160.66000366210938,
2018-02-28,157.74000549316406,967.4367008256382,2.7268658628059512,537.3008646475059,430.1358361781323,buy,157.74000549316406,
2018-03-01,155.6999969482422,961.8726665295612,2.8042348493595357,525.2533090421272,436.6193574874341,buy,155.6999969482422,
2018-03-02,148.27000427246094,941.0330440590355,3.086023376597182,483.46834482605715,457.56469923297846,buy,148.27000427246094,
2018-03-05,151.02999877929688,949.5496611728461,2.9813483356916386,499.2766256726792,450.27303550016694,sell,,151.02999877929688
2018-03-06,151.1999969482422,950.0564361891704,2.974901016595841,500.2514115585567,449.8050246306138,sell,,151.1999969482422
2018-03-07,152.3800048828125,953.566502022006,2.930148254039942,507.0704967640351,446.49600525797086,sell,,152.3800048828125
2018-03-08,154.44000244140625,959.601996974277,2.8520211678529774,519.1358408481208,440.46615612615614,sell,,154.44000244140625
2018-03-09,157.24000549316406,967.5868300632842,2.7458287702766517,535.8326991416956,431.7541309215886,sell,,157.24000549316406
2018-03-12,157.74000549316406,968.9595948879661,2.7268658628059512,538.8237587098338,430.1358361781323,sell,,157.74000549316406
2018-03-13,158.22000122070312,970.2683348380273,2.7086616336706415,541.7038878521867,428.5644469858406,sell,,158.22000122070312
2018-03-14,158.24000549316406,970.3225136406885,2.70790295533525,541.8239351134833,428.49857852720515,sell,,158.24000549316406
2018-03-15,161.61000061035156,979.4471006108029,2.580093144167371,562.4782460071501,416.96885460365274,sell,,161.61000061035156
2018-03-16,162.36000061035156,981.3819395576032,2.55164878296132,567.0962415986005,414.28569795900273,sell,,162.36000061035156
2018-03-19,159.00999450683594,972.8318803114591,2.6787004944958186,546.8917293962204,425.9401509152388,buy,159.00999450683594,
2018-03-20,159.3800048828125,973.8229154600137,2.664667549450133,549.1281884175795,424.69472704243424,sell,,159.3800048828125
2018-03-21,158.66000366210938,971.9039183245916,2.6919741825041026,544.7952846701868,427.1086336544048,buy,158.66000366210938,
2018-03-22,157.0399932861328,967.5419273599989,2.75341439622654,535.1457490626416,432.39617829735727,buy,157.0399932861328,
2018-03-23,154.97999572753906,961.8686896124269,2.8315414824135052,523.0364027656323,438.83228684679466,buy,154.97999572753906,
2018-03-26,158.00999450683594,970.4473489603757,2.7166263094372196,541.1932407290747,429.2541082313011,sell,,158.00999450683594
2018-03-27,157.47999572753906,969.0072237877671,2.736726945060002,538.0274761722769,430.9797476154901,buy,157.47999572753906,
2018-03-28,158.41000366210938,971.5521221950173,2.7014556362394533,543.6145249652994,427.9375972297178,sell,,158.41000366210938
2018-03-29,156.3800048828125,966.0669665915079,2.778444994274337,531.5737248202612,434.49324177124674,buy,156.3800048828125,
2018-04-02,157.72000122070312,969.7896719387696,2.727624541141342,539.5887259803374,430.20094595843227,sell,,157.72000122070312
2018-04-03,160.39999389648438,977.0988705712724,2.625983634875351,555.8911115649983,421.20775900627416,sell,,160.39999389648438
2018-04-04,161.72999572753906,980.5910257195792,2.575542231559046,564.0485916134382,416.54243410614095,sell,,161.72999572753906
2018-04-05,163.9499969482422,986.3080424261991,2.4913468760929742,577.8517296937433,408.45631273245584,sell,,163.9499969482422
2018-04-06,161.25,979.5797622704337,2.593746460694356,561.3381454834688,418.24161678696487,buy,161.25,
2018-04-09,161.22999572753906,979.5278640273689,2.5945051390297467,561.2158115465247,418.3120524808442,buy,161.22999572753906,
2018-04-10,162.77000427246094,983.5229487734314,2.5360990599468627,570.7220939504964,412.800854822935,sell,,162.77000427246094
2018-04-11,163.33999633789062,984.9683285653321,2.5144816463553097,574.2529056579625,410.7154229073695,sell,,163.33999633789062
2018-04-12,161.6199951171875,980.6423627773726,2.579714094350681,563.7089834446757,416.93337933269686,buy,161.6199951171875,
2018-04-13,161.72999572753906,980.9260991665161,2.575542231559046,564.3836650603752,416.54243410614095,sell,,161.72999572753906
2018-04-16,161.6300048828125,980.6685072292692,2.5793344658319803,563.7706649224397,416.89784230682955,buy,161.6300048828125,
2018-04-17,162.5500030517578,983.0412066327953,2.5444427855301326,569.442024079849,413.5991825529462,sell,,162.5500030517578
2018-04-18,161.80999755859375,981.1578508696645,2.572508096919493,564.9003219876587,416.2575288820058,buy,161.80999755859375,
2018-04-19,159.52999877929688,975.2911560801072,2.6589789086897273,551.1042540226588,424.1869020574483,buy,159.52999877929688,
2018-04-20,158.77000427246094,973.2698890864012,2.6878023197124685,546.5275033021221,426.74238578427907,buy,158.77000427246094,
2018-04-23,158.99000549316406,973.8611425492977,2.6794585941291995,547.8540059499907,426.0071365993071,sell,,158.99000549316406
2018-04-24,157.32000732421875,969.3854552006858,2.7427946356370985,537.8889830334296,431.49647216725623,buy,157.32000732421875,
2018-04-25,155.94000244140625,965.5995690551358,2.795132445440875,529.7266086890319,435.8729603661039,buy,155.94000244140625,
2018-04-26,158.89999389648438,973.8722453030863,2.6828723572874535,547.5638441050633,426.30840119802303,sell,,158.89999389648438
2018-04-27,158.3000030517578,972.262186237243,2.7056274990310882,543.9613448837019,428.3008413535411,buy,158.3000030517578,
2018-04-30,167.44000244140625,996.9887178407614,2.35898557361476,602.0001676354639,394.9885502052975,sell,,167.44000244140625
2018-05-01,163.44000244140625,987.5502961081877,2.5106888333803656,577.2033070508893,410.34698905729834,buy,163.44000244140625,
2018-05-02,160.67999267578125,980.6190884818329,2.6153644529879196,560.3823473312355,420.23674115059754,buy,160.67999267578125,
2018-05-03,160.0800018310547,979.0495294901037,2.6381195947315543,556.7393399349353,422.31018955516845,buy,160.0800018310547,
2018-05-04,165.02999877929688,992.1066643570225,2.45038692651202,587.7193128659388,404.3873514910837,sell,,165.02999877929688
2018-05-07,165.0,992.0331369679077,2.4515246546641007,587.531568948331,404.5015680195766,buy,165.0,
2018-05-08,164.77000427246094,991.4691530462042,2.4602474300640607,586.0941734832379,405.3749795629663,buy,164.77000427246094,
2018-05-09,164.24000549316406,990.1648947786515,2.480348065686842,582.7925148452857,407.3723799333658,buy,164.24000549316406,
2018-05-10,165.07000732421875,992.2233284070476,2.4488695698412384,587.9884105772979,404.23491782974963,sell,,165.07000732421875
2018-05-11,165.38999938964844,993.0068468803494,2.436733609985035,589.9954766121886,403.0113702681608,sell,,165.38999938964844
2018-05-14,164.72000122070312,991.3738212661967,2.4621438365515322,585.8094855038817,405.56433576231507,buy,164.72000122070312,
2018-05-15,163.05999755859375,987.28562690419,2.525100828242741,575.5426920157256,411.74293488846445,buy,163.05999755859375,
2018-05-16,162.8699951171875,986.8057342179503,2.5323068256739294,574.3689338852168,412.43680033273347,buy,162.8699951171875,
2018-05-17,161.30999755859375,982.8543873749363,2.5914710043901934,564.8242059835877,418.0301813913486,buy,161.30999755859375,
2018-05-18,160.97999572753906,981.9989957224261,2.6039865927650974,562.8092451445317,419.18975057789436,buy,160.97999572753906,
2018-05-21,161.47999572753906,983.3008359122978,2.585023685294397,565.8712222553713,417.4296136569265,sell,,161.47999572753906
2018-05-22,159.4499969482422,978.0520133914064,2.6620130433292806,553.5940417563717,424.4579716350347,buy,159.4499969482422,
