Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,201.07000732421875,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,205.0500030517578,999.9534621054581,2.2695876054262403,534.5745166865759,465.37894541888227,buy,205.0500030517578,
2018-01-04,205.6300048828125,1001.2697885681984,2.2658426124702506,535.3445611022561,465.92522746594227,sell,,205.6300048828125
2018-01-05,209.9900054931641,1011.1485681603211,2.2376906813906796,541.2558896830902,469.8926784772309,sell,,209.9900054931641
2018-01-08,212.0500030517578,1015.7580644757033,2.2243895572679158,544.0762520687435,471.68181240695975,sell,,212.0500030517578
2018-01-09,209.30999755859372,1009.6628545618931,2.2420814001585017,540.3728021685488,469.29005239334435,buy,209.30999755859372,
2018-01-10,212.5200042724609,1016.8597306688284,2.2213548232953713,544.7773941314446,472.0823365373839,sell,,212.5200042724609
2018-01-11,217.2400054931641,1027.3441971116665,2.190878417226701,551.3977577184834,475.94643939318314,sell,,217.2400054931641
2018-01-12,221.22999572753903,1036.0854956256273,2.1651155928317687,557.096982273827,478.98851335180035,sell,,221.22999572753903
2018-01-16,221.52999877929688,1036.735015454831,2.1631785139201978,557.5260819066883,479.2089335481426,sell,,221.52999877929688
2018-01-17,217.5,1028.016842724229,2.189199668049434,551.8659149234771,476.15092780075184,buy,217.5,
2018-01-18,220.3300018310547,1034.212080489541,2.170926731042554,555.8917898638495,478.32029062569154,sell,,220.3300018310547
2018-01-19,220.4600067138672,1034.4943023118353,2.1700873071919573,556.0768399986184,478.41746231321684,sell,,220.4600067138672
2018-01-22,227.5800018310547,1049.9447902179586,2.1241144668785745,566.5388159563628,483.40597426159576,sell,,227.5800018310547
2018-01-23,250.2899932861328,1098.181576542631,1.9774791400983225,603.2383358439542,494.94324069867685,sell,,250.2899932861328
2018-01-24,261.29998779296875,1119.9526822212008,1.9063891026779138,621.8132329628132,498.1394492583875,sell,,261.29998779296875
2018-01-25,269.70001220703125,1135.9656658294239,1.8521512872496422,636.4404410489267,499.5252247804971,sell,,269.70001220703125
2018-01-26,274.60000610351557,1145.0407614344033,1.8205126929483857,645.127964839249,499.91279659515425,sell,,274.60000610351557
2018-01-29,284.5899963378906,1163.226747598736,1.756008684417746,663.4842425309854,499.74250506775047,sell,,284.5899963378906
2018-01-30,278.79998779296875,1153.0584000089411,1.7933939822821017,653.0601796407077,499.99822036823355,buy,278.79998779296875,
2018-01-31,270.29998779296875,1137.8130676628168,1.8482773264743533,638.2237288787783,499.5893387840386,buy,270.29998779296875,
2018-02-01,265.07000732421875,1128.1457182223855,1.882046599202019,629.2716123873854,498.8741058350002,buy,265.07000732421875,
2018-02-02,267.42999267578125,1132.5871168711515,1.8668084946916101,633.3465348086879,499.24058206246355,sell,,267.42999267578125
2018-02-05,254.25999450683597,1107.9990902664404,1.9518453820466155,611.7228941490747,496.2761961173656,buy,254.25999450683597,
2018-02-06,265.72000122070307,1130.3662683421833,1.8778496769968882,631.3840498782732,498.98221846391,sell,,265.72000122070307
2018-02-07,264.5599975585937,1128.1877576849104,1.8853396629088672,629.4023010686207,498.78545661628976,buy,264.5599975585937,
2018-02-08,250.1000061035156,1100.9234271806445,1.9787058615025221,606.0490791418017,494.87434803884287,buy,250.1000061035156,
2018-02-09,249.47000122070312,1099.6767313454475,1.9827737173644275,605.0341696541658,494.6425616912818,buy,249.47000122070312,
2018-02-12,257.95001220703125,1116.4899680587687,1.9280194395154016,619.1573301003773,497.3326379583914,sell,,257.95001220703125
2018-02-13,258.26998901367193,1117.1068628822727,1.9259533927845314,619.6909012869676,497.4159615953051,sell,,258.26998901367193
2018-02-14,266.0,1131.9938399429761,1.876041762952469,632.9667309976194,499.02710894535676,sell,,266.0
2018-02-15,280.26998901367193,1158.7636440943652,1.783902384286939,658.7893424488017,499.97430164556357,sell,,280.26998901367193
2018-02-16,278.51998901367193,1155.641500207866,1.7952018963265204,655.6418877656807,499.9996124421855,buy,278.51998901367193,
2018-02-20,278.54998779296875,1155.695351375618,1.7950081982877562,655.6958396542847,499.9995117213333,sell,,278.54998779296875
2018-02-21,281.04000854492193,1160.1647331150762,1.778930472878898,660.2140978163687,499.9506352987075,sell,,281.04000854492193
2018-02-22,278.1400146484375,1155.0053247879998,1.7976553391349195,655.0054424281714,499.9998823598284,buy,278.1400146484375,
2018-02-23,285.92999267578125,1169.0083012834095,1.7473565102731803,669.3866670990204,499.6216341843891,sell,,285.92999267578125
2018-02-26,294.1600036621094,1183.3882829759505,1.6942164484298088,685.017566301432,498.3707166745185,sell,,294.1600036621094
2018-02-27,290.6099853515625,1177.3731174262077,1.7171384339388134,678.3555422926441,499.0175751335635,buy,290.6099853515625,
