Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,48.9000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,48.9900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,48.7400016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,49.11999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,49.349998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,49.06000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,49.459999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,50.099998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,49.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,49.34000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,49.83000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,49.52000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,50.34000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,50.09000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,49.15999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,49.9900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,50.04999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,50.63000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,49.75,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,48.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,48.54999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,49.1500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,47.4000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,46.849998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,48.02000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,47.22000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,45.47000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,46.5,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,46.86999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,48.29999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,51.040000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,50.81000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,50.5,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,50.47000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,49.84000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,50.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,52.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,53.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,53.41999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,52.72999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,53.099998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,52.95000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,53.2599983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,54.75,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,54.81000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,53.959999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,54.56000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,54.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,54.209999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,54.70000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,54.5,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,54.65999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,54.43999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,55.11999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,55.849998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,54.31000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,53.459999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,54.0099983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,53.38000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,52.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,54.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,54.22999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,54.84000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-04,55.5,1000.0,0.0,1000.0,0.0,hold,,
2018-04-05,56.09000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-06,54.72000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-04-09,54.36999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-04-10,56.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-04-11,55.86999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-04-12,56.09000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-13,54.9000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-16,55.81999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-04-17,56.599998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-04-18,57.34000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-19,57.08000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-04-20,56.15999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-23,55.36999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-04-24,54.6500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-25,53.02000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-04-26,53.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-04-27,53.27000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-04-30,52.81000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-05-01,51.75,1000.0,0.0,1000.0,0.0,hold,,
2018-05-02,51.7400016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-05-03,51.81000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-05-04,52.959999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-05-07,52.08000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-05-08,51.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-05-09,51.61000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-05-10,52.33000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-05-11,51.77000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-05-14,51.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-05-15,51.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-05-16,52.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-05-17,51.9900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-05-18,51.349998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-05-21,51.6500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-05-22,51.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-05-23,51.1500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-05-24,51.349998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-05-25,50.04999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-05-29,48.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-05-30,49.34000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-05-31,48.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-06-01,49.2599983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-06-04,49.63000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-06-05,51.27000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-06-06,52.59000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-06-07,51.59000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-06-08,51.459999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-06-11,51.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-06-12,51.13999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-06-13,50.5099983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-06-14,50.27000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-06-15,48.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-06-18,48.599998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-06-19,47.2599983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-06-20,47.040000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-06-21,46.66999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-06-22,46.72000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-06-25,46.56000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-06-26,46.959999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-06-27,46.0099983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-06-28,45.9000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-06-29,46.86999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-07-02,45.43999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-07-03,44.599998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-07-05,45.40999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-07-06,45.790000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-07-09,46.4900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-07-10,46.31000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-07-11,44.52000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-07-12,44.790000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-07-13,45.09000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-07-16,44.72000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-07-17,45.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-07-18,45.61999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-07-19,43.58000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-07-20,43.77000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-07-23,44.43999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-07-24,46.5,1000.0,0.0,1000.0,0.0,hold,,
2018-07-25,47.4900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-07-26,47.68999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-07-27,47.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-07-30,48.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-07-31,49.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-08-01,47.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-08-02,46.88000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-08-03,47.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-08-06,46.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-08-07,45.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-08-08,45.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-08-09,45.68999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-08-10,45.31000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-08-13,44.540000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-08-14,43.97999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-08-15,42.22999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-08-16,42.90999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-08-17,43.63000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-08-20,43.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-08-21,43.9900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-08-22,44.38000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-08-23,43.27999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-08-24,44.36999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-08-27,45.38000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-08-28,45.70000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-08-29,45.36999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-08-30,43.709999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-08-31,43.63999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-09-04,42.349998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-09-05,42.209999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-09-06,41.45000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-09-07,40.43999862670898,1000.0,0.0,1000.0,0.0,hold,,
