Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,128.3699951171875,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,130.1300048828125,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,132.16000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,133.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,134.77000427246094,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,133.72000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,136.39999389648438,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,136.91000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,137.19999694824222,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,137.97000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,140.72000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,138.6300048828125,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,139.85000610351562,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,139.39999389648438,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,139.27999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,139.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,138.17999267578122,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,139.55999755859378,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,139.52999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,139.6199951171875,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,137.91999816894528,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,138.80000305175778,999.9811993525672,1.3545134740225127,811.9747250245954,188.0064743279718,buy,138.80000305175778,
2018-02-02,136.6199951171875,997.0283492317158,1.3545134740225127,811.9747250245954,185.05362420712035,hold,,
2018-02-05,131.92999267578122,990.6681413417904,1.9257550612646774,736.6032902137929,254.0648511279975,buy,131.92999267578122,
2018-02-06,138.75999450683594,1003.8171117431414,1.3578401858400575,815.4032150148139,188.41389672832747,sell,,138.75999450683594
2018-02-07,136.8800048828125,1001.26438628268,1.3578401858400575,815.4032150148139,185.8611712678661,hold,,
2018-02-08,134.42999267578122,997.9328212374908,1.7178799795764057,766.9982281651634,230.9345930723274,buy,134.42999267578122,
2018-02-09,136.57000732421878,1001.6078944790635,1.539937691633181,791.2985926538794,210.3093018251841,sell,,136.57000732421878
2018-02-12,138.75999450683594,1004.979074893324,1.3578401858400575,816.5651781649965,188.41389672832747,sell,,138.75999450683594
2018-02-13,135.03999328613278,999.9279077444792,1.3578401858400575,816.5651781649965,183.36272957948265,hold,,
2018-02-14,135.47000122070312,1000.5080838396074,1.631403235083548,779.5018855913801,221.00619824822726,buy,135.47000122070312,
2018-02-15,135.27999877929688,1000.1978995170872,1.6472019442948653,777.3644225036223,222.83347701346483,buy,135.27999877929688,
2018-02-16,136.19999694824222,1001.7128013391855,1.5707040664858365,787.7829122772229,213.92988906196257,sell,,136.19999694824222
2018-02-20,135.85000610351562,1001.1630692961405,1.5707040664858365,787.7829122772229,213.38015701891769,hold,,
2018-02-21,134.80000305175778,999.513825232922,1.5707040664858365,787.7829122772229,211.73091295569913,hold,,
2018-02-22,135.22999572753906,1000.1881257712375,1.6513596996823932,776.8747606385573,223.31336513268022,buy,135.22999572753906,
2018-02-23,137.02999877929688,1003.1605782702156,1.6513596996823932,776.8747606385573,226.28581763165838,hold,,
2018-02-26,138.42999267578122,1005.4724717706713,1.6513596996823932,776.8747606385573,228.59771113211397,hold,,
2018-02-27,136.02999877929688,1001.5092185705332,1.6513596996823932,776.8747606385573,224.634457931976,hold,,
