Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,54.849998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,54.77999877929688,999.9738021205255,4.782380441436661,737.995007376492,261.97879474403356,buy,54.77999877929688,
2018-01-04,55.11000061035156,1001.5515637152258,4.625346230168621,746.6487301475458,254.90283356767998,sell,,55.11000061035156
2018-01-05,55.540000915527344,1003.5398957778094,4.420726884413817,758.0127205701697,245.52717520763974,sell,,55.540000915527344
2018-01-08,55.63000106811523,1003.9376427476876,4.377899537273127,760.3950868130825,243.5425559346052,sell,,55.63000106811523
2018-01-09,55.06999969482422,1001.4845454812221,4.644381010065931,745.7184846742439,255.76606080697823,buy,55.06999969482422,
2018-01-10,54.09000015258789,996.9305317777422,5.1107222260109495,720.4915657929756,276.4389659847666,buy,54.09000015258789,
2018-01-11,54.02000045776367,996.5726028411998,5.144032183202988,718.6919819498233,277.88062089137645,buy,54.02000045776367,
2018-01-12,54.52000045776367,999.1439703375161,4.9061028802561495,731.6632390601151,267.48073127740093,sell,,54.52000045776367
2018-01-16,55.02999877929688,1001.6454068182018,4.663415789963242,745.0176415891708,256.627765229031,sell,,55.02999877929688
2018-01-17,55.72999954223633,1004.9088732420722,4.330314402786367,763.5804535570486,241.32841968502362,sell,,55.72999954223633
2018-01-18,55.86999893188477,1005.5149285127209,4.26369448840229,767.302321999802,238.21260651291894,sell,,55.86999893188477
2018-01-19,57.08000183105469,1010.6723678993143,3.6879041956759906,800.1667896573745,210.50557824193982,sell,,57.08000183105469
2018-01-22,57.02999877929688,1010.4878257355796,3.7116985781758878,798.8096603530907,211.67816538248886,buy,57.02999877929688,
2018-01-23,57.349998474121094,1011.6751315004466,3.559423969510437,807.542172280273,204.1329592201736,sell,,57.349998474121094
2018-01-24,57.65999984741211,1012.7781325281251,3.411907148191048,816.047566884045,196.73056564408012,sell,,57.65999984741211
2018-01-25,56.72000122070313,1009.5684073722072,3.859213584238752,790.673808163231,218.89459920897613,buy,56.72000122070313,
2018-01-26,57.040000915527344,1010.8029202542341,3.7069389755733013,799.359117693729,211.4438025605051,sell,,57.040000915527344
2018-01-29,55.95000076293945,1006.7594541572785,4.225624928607669,770.3357361777834,236.42371797949505,buy,55.95000076293945,
2018-01-30,56.41999816894531,1008.7448559893305,4.001972618212079,782.9535681976357,225.79128779169477,sell,,56.41999816894531
2018-01-31,56.47000122070313,1008.9448996498519,3.9781782357121713,784.2971698230109,224.64772982684096,sell,,56.47000122070313
2018-02-01,57.43999862670898,1012.8023965567597,3.5165966223697502,810.8090913971519,201.99330515960787,sell,,57.43999862670898
2018-02-02,56.75,1010.3740863770078,3.844938406944035,792.1738317829338,218.20025459407398,buy,56.75,
