Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,12.770000457763672,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,12.850000381469727,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,12.829999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,13.09000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,13.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,13.239999771118164,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,13.149999618530273,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,13.449999809265135,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,13.529999732971193,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,13.170000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,13.350000381469727,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,13.350000381469727,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,13.359999656677244,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,13.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,12.699999809265135,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,13.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,12.949999809265135,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,13.109999656677244,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,13.050000190734865,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,12.989999771118164,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,13.09000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,13.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,12.539999961853027,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,12.390000343322756,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,13.0600004196167,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,12.710000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,12.359999656677244,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,12.90999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,13.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,13.270000457763672,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,14.0,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,14.130000114440918,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,14.119999885559082,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,13.979999542236328,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,13.65999984741211,999.9664065167811,24.592594139228737,664.0315743274487,335.9348321893325,buy,13.65999984741211,
2018-02-22,13.979999542236328,1007.8345464234507,22.471402625577483,693.6843480044693,314.1501984189814,sell,,13.979999542236328
2018-02-23,14.199999809265135,1012.7772255927517,21.013080299117576,714.3914893532092,298.38573623954255,sell,,14.199999809265135
2018-02-26,14.649999618530273,1022.2309227253497,18.030153152633147,758.0891859172317,264.141736808118,sell,,14.649999618530273
2018-02-27,14.489999771118164,1019.3445641688841,19.090748909458767,742.7196168403522,276.6249473285319,buy,14.489999771118164,
2018-02-28,13.729999542236328,1004.8286736793436,24.128585076029864,673.5432116306433,331.2854620487003,buy,13.729999542236328,
2018-03-01,13.579999923706055,1001.2080448534448,25.122892017641547,660.0391731705971,341.1688716828477,buy,13.579999923706055,
2018-03-02,13.390000343322756,996.4330195006103,26.382347898459628,643.1733720825755,353.2596474180348,buy,13.390000343322756,
2018-03-05,13.420000076293945,997.2243494575732,26.18348777446718,645.841941526582,351.3824079309912,sell,,13.420000076293945
2018-03-06,13.529999732971193,1000.1040308479985,25.454329772061882,655.7069558290406,344.39707501895793,sell,,13.529999732971193
2018-03-07,13.140000343322756,990.1734608193376,28.03953034891201,621.734022408025,368.4394384113126,buy,13.140000343322756,
2018-03-08,12.68000030517578,977.2714093832824,31.088746310610404,583.06609667721,394.20531270607233,buy,12.68000030517578,
2018-03-09,12.890000343322756,983.7991501288303,29.696712799364406,601.0085119494659,382.79063817936446,sell,,12.890000343322756
2018-03-12,13.0,987.0653043885015,28.967554796959135,610.4870920280329,376.57821236046874,sell,,13.0
2018-03-13,12.899999618530273,984.1676827491794,29.630430305799834,601.9351431074737,382.2325396417057,buy,12.899999618530273,
2018-03-14,13.039999961853027,988.3153480928539,28.702405857752723,614.0359768026683,374.2793712901856,sell,,13.039999961853027
2018-03-15,12.850000381469727,982.8602846230349,29.961861738570818,597.8503498528567,385.00993477017823,buy,12.850000381469727,
2018-03-16,12.800000190734865,981.3617615810027,30.293299492991153,593.6075222927276,387.75423928827513,buy,12.800000190734865,
2018-03-19,12.470000267028807,971.3622472714824,32.48077982185637,566.3269142196295,405.03533305185283,buy,12.470000267028807,
2018-03-20,12.550000190734865,973.9603744172204,31.950481943443535,572.9818199329331,400.9785544842872,sell,,12.550000190734865
2018-03-21,12.989999771118164,988.0166787088169,29.033843612173072,610.8670568320082,377.1496218768088,sell,,12.989999771118164
2018-03-22,12.579999923706055,976.109388293075,31.75162181945109,576.6739882268367,399.4354000662382,buy,12.579999923706055,
2018-03-23,12.510000228881836,973.8862039801907,32.21563088264996,570.8686542646669,403.0175497155237,buy,12.510000228881836,
2018-03-26,12.6899995803833,979.6842395828002,31.022463817045804,586.0091867620328,393.6750528207674,sell,,12.6899995803833
2018-03-27,12.229999542236328,965.4101758525644,34.07167977874417,548.7135477553005,416.69662809726395,buy,12.229999542236328,
2018-03-28,12.449999809265135,972.9050466963738,32.61335745228426,566.8687526359391,406.0362940604347,sell,,12.449999809265135
2018-03-29,12.720000267028807,981.7095298502654,30.82359737140399,589.6333630552183,392.0761667950472,sell,,12.720000267028807
2018-04-02,12.90999984741211,987.5651874379746,29.564141490585882,605.8921253056409,381.67306213233377,sell,,12.90999984741211
2018-04-03,12.779999732971193,983.7207443627353,30.425877123419042,594.8780428500256,388.8427015127097,buy,12.779999732971193,
2018-04-04,12.649999618530273,979.7642867591828,31.287612756252216,583.9759973278693,395.78828943131344,buy,12.649999618530273,
2018-04-05,12.949999809265135,989.1492889221332,29.2989925513795,609.7273409701081,379.4219479520251,sell,,12.949999809265135
2018-04-06,12.65999984741211,980.6501485283911,31.22132394103828,585.3881921988425,395.26195632954864,buy,12.65999984741211,
2018-04-09,12.5,975.653415717125,32.2819196978639,572.1294194938262,403.52399622329875,buy,12.5,
