Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,226.0,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,229.1499938964844,999.9570558940449,1.874060968754602,570.5159963422882,429.44105955175667,buy,229.1499938964844,
2018-01-04,230.2100067138672,1001.9433646766868,1.8549597317600188,574.9130723742595,427.0302923024272,sell,,230.2100067138672
2018-01-05,234.33999633789062,1009.6034571232924,1.7805380744932506,592.3521712670691,417.2512858562232,sell,,234.33999633789062
2018-01-08,231.82000732421875,1005.1154680484983,1.8259478153799131,581.8242321134857,423.2912359350127,buy,231.82000732421875,
2018-01-09,234.66000366210938,1010.3005527068249,1.7747716010698475,593.8326423003667,416.46791040645815,sell,,234.66000366210938
2018-01-10,233.88999938964844,1008.9336464611239,1.7886469371543985,590.587015421785,418.34663103933883,buy,233.88999938964844,
2018-01-11,235.0,1010.9188106294762,1.7686449292779214,595.2872522491647,415.6315583803115,sell,,235.0
2018-01-12,239.82000732421875,1019.4426506564077,1.6817892793218672,616.1159333716449,403.32671728476276,sell,,239.82000732421875
2018-01-16,241.75,1022.6880712672431,1.6470111644789451,624.5231222544581,398.164949012785,sell,,241.75
2018-01-17,249.1499938964844,1034.8742826673993,1.5136646286094857,657.7447496880214,377.1295329793777,sell,,249.1499938964844
2018-01-18,249.6499938964844,1035.6310025155237,1.504654720105858,659.9939608247798,375.6370416907439,sell,,249.6499938964844
2018-01-19,250.05999755859372,1036.2478240864266,1.497266529142344,661.8413594645278,374.40646462189864,sell,,250.05999755859372
2018-01-22,250.5,1036.9065257069224,1.4893377656654563,663.8274154077257,373.07911029919677,sell,,250.5
2018-01-23,250.5,1036.9065257069224,1.4893377656654563,663.8274154077257,373.07911029919677,hold,,
2018-01-24,252.9900054931641,1040.6144173485704,1.444468322331578,675.1783685472029,365.4360488013674,sell,,252.9900054931641
2018-01-25,251.3500061035156,1038.2447473797536,1.4740208112250546,667.7496074816271,370.49513989812647,buy,251.3500061035156,
2018-01-26,258.19000244140625,1048.3254531638433,1.3507653288859656,699.5713496010089,348.75410356283436,sell,,258.19000244140625
2018-01-29,257.01998901367193,1046.7444977050889,1.3718487567497704,694.1519453168435,352.59255238824545,buy,257.01998901367193,
2018-01-30,243.44000244140625,1028.108852816384,1.6165576297429887,634.5740594850768,393.53479333130707,buy,243.44000244140625,
2018-01-31,247.8500061035156,1035.2368930830514,1.5370901707504503,654.2690848808985,380.9678082021529,sell,,247.8500061035156
2018-02-01,243.92999267578125,1029.2097559032275,1.6077280953842088,637.0366533715096,392.1731025317178,buy,243.92999267578125,
2018-02-02,239.17999267578125,1021.571000209795,1.6933222261686733,616.5622025570341,405.0087976527609,buy,239.17999267578125,
2018-02-05,230.4499969482422,1006.7846791336757,1.8506351516530524,580.30581408292,426.47886505075564,buy,230.4499969482422,
2018-02-06,234.8300018310547,1014.8895434141757,1.771708265173884,598.8392882592977,416.0502551548779,sell,,234.8300018310547
2018-02-07,238.44000244140625,1021.2846357882265,1.7066567147792675,614.3494045496157,406.9352312386109,sell,,238.44000244140625
2018-02-08,230.57000732421875,1007.8499859275371,1.8484725866389828,581.6476480875692,426.20233783996787,buy,230.57000732421875,
2018-02-09,231.7100067138672,1009.9570055520154,1.8279300062491348,586.4073315315491,423.54967402046634,sell,,231.7100067138672
2018-02-12,232.7700042724609,1011.8943845893689,1.8088290442151376,590.85324023926,421.04114435010894,sell,,232.7700042724609
2018-02-13,233.4499969482422,1013.1242320640247,1.7965757006312852,593.713640234365,419.4105918296596,sell,,233.4499969482422
2018-02-14,235.0200042724609,1015.9445366221069,1.7682844559488125,600.3623162300908,415.5822203920161,sell,,235.0200042724609
2018-02-15,232.05999755859372,1010.7091649807714,1.8216232352729476,587.9832814506536,422.7258835301178,buy,232.05999755859372,
2018-02-16,235.0200042724609,1016.1005552033085,1.7682844559488125,600.5183348112924,415.5822203920161,sell,,235.0200042724609
2018-02-20,232.22000122070312,1011.1481816516593,1.8187399985612451,588.8003769656253,422.34780468603395,buy,232.22000122070312,
2018-02-21,232.02999877929688,1010.8025371690044,1.8221638077863176,588.0058710726662,422.79666609633824,buy,232.02999877929688,
2018-02-22,233.67999267578125,1013.8087489346983,1.7924312197085808,594.9534346413556,418.8553142933428,sell,,233.67999267578125
2018-02-23,235.2400054931641,1016.6046339684199,1.7643200742103682,601.5659700194732,415.0386639489467,sell,,235.2400054931641
2018-02-26,238.22000122070312,1021.8616606430514,1.7106210965177109,614.3575009424419,407.5041597006096,sell,,238.22000122070312
2018-02-27,237.2100067138672,1020.1335110120667,1.7288210127092283,610.0398669802361,410.0936440318307,buy,237.2100067138672,
2018-02-28,235.3800048828125,1016.9689891971218,1.7617973108277765,602.2771295719539,414.691859625168,buy,235.3800048828125,
2018-03-01,232.0399932861328,1011.0831691828243,1.8219837086020565,588.3100816713599,422.77308751146455,buy,232.0399932861328,
2018-03-02,233.0800018310547,1012.9778294036175,1.8032429449365823,592.6779604959625,420.2998689076551,sell,,233.0800018310547
2018-03-05,232.0399932861328,1011.1020064716458,1.8219837086020565,588.3289189601813,422.77308751146455,buy,232.0399932861328,
2018-03-06,232.75,1012.3954782449116,1.8091895175442465,591.3066180364882,421.0888602084234,sell,,232.75
2018-03-07,231.8600006103516,1010.7849288301384,1.8252271436822802,587.5877621819345,423.1971666482038,buy,231.8600006103516,
2018-03-08,228.7899932861328,1005.1802024422309,1.880548113875638,574.929612094374,430.2505903478569,buy,228.7899932861328,
2018-03-09,232.8000030517578,1012.7203776413539,1.8082884717017667,591.7508159107242,420.9695617306297,sell,,232.8000030517578
