Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,177.24000549316406,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,177.7899932861328,999.965628669292,1.9332545140886541,656.2523215890842,343.71330708020776,buy,177.7899932861328,
2018-01-04,174.61000061035156,993.8157585183283,2.0555244719006422,634.9006292251645,358.9151292931637,buy,174.61000061035156,
2018-01-05,174.25999450683594,993.0960778942189,2.068982122868433,632.555264528424,360.54081336579486,buy,174.25999450683594,
2018-01-08,174.38999938964844,993.365012086857,2.0639834662180894,633.4269366728399,359.9380754140171,sell,,174.38999938964844
2018-01-09,173.07000732421875,990.6396918994999,2.1147368454259823,624.64217057283,365.99752132667,buy,173.07000732421875,
2018-01-10,170.9600067138672,986.1762088831582,2.19586586423656,610.7709659905241,375.4052428926341,buy,170.9600067138672,
2018-01-11,169.77000427246094,983.5623463558113,2.2416211734908993,603.0023101550224,380.5600362007889,buy,169.77000427246094,
2018-01-12,168.22999572753906,980.109234454553,2.300834133713029,593.0399179702341,387.0693164843189,buy,168.22999572753906,
2018-01-16,169.02999877929688,981.9496488155993,2.2700742077129297,598.2390082569694,383.71064055862985,sell,,169.02999877929688
2018-01-17,169.91000366210938,983.9470377491823,2.236238230443141,603.9877918252391,379.9592459239431,sell,,169.91000366210938
2018-01-18,167.7899932861328,979.2048217759498,2.3177521223479234,590.3092087282716,388.8956130476781,buy,167.7899932861328,
2018-01-19,168.6999969482422,981.3136895593692,2.2827626991891004,596.2116291726069,385.10206038676233,sell,,168.6999969482422
2018-01-22,170.10000610351562,984.5091204132382,2.2289326820147286,605.3676575982074,379.14146281503076,sell,,170.10000610351562
2018-01-23,172.69000244140625,990.2811880326137,2.1293479422828074,622.5640866811923,367.7171013514214,sell,,172.69000244140625
2018-01-24,171.8000030517578,988.3854817594926,2.1635682059500105,616.6844573745946,371.701024384898,buy,171.8000030517578,
2018-01-25,170.17999267578125,984.8794187823686,2.2258572174418294,606.0830538207832,378.79636496158537,buy,170.17999267578125,
2018-01-26,170.08999633789062,984.6790409272493,2.229317555108934,605.4944261427754,379.18461478447387,buy,170.08999633789062,
2018-01-29,168.25,980.5759144645269,2.300064974221409,593.5899825517748,386.9859319127521,buy,168.25,
2018-01-30,166.8699951171875,977.4009281428091,2.353125831904162,584.7348320628339,392.66609607997526,buy,166.8699951171875,
2018-01-31,170.39999389648438,985.7063030577774,2.2173982231243823,607.8616593713074,377.84464368647,sell,,170.39999389648438
2018-02-01,164.11000061035156,971.7549141419972,2.4592469605728757,568.1678939413773,403.58702020061986,buy,164.11000061035156,
2018-02-02,163.9600067138672,971.3859475484657,2.4650141900180484,567.2222044033285,404.1637431451371,buy,163.9600067138672,
2018-02-05,159.02000427246094,959.2057509753041,2.6549561023696144,537.0146202332918,422.1911307420123,buy,159.02000427246094,
2018-02-06,160.25,962.4709567025271,2.607663060828825,544.5929512047079,417.87800549781923,sell,,160.25
2018-02-07,158.27999877929688,957.332658380634,2.683409136591645,532.6026635165543,424.72999486407963,buy,158.27999877929688,
2018-02-08,154.94000244140625,948.3680919199212,2.811831196943011,512.7029594007488,435.6651325191724,buy,154.94000244140625,
2018-02-09,159.61000061035156,961.4979054799477,2.6322708842895466,541.3611480318825,420.13675744806517,sell,,159.61000061035156
2018-02-12,158.75,959.2336259771157,2.665337702067716,536.1112657738659,423.1223602032499,buy,158.75,
2018-02-13,159.39999389648438,960.9658800284215,2.640345592209579,540.0948087456052,420.87107128281633,sell,,159.39999389648438
2018-02-14,158.9199981689453,959.6982321266208,2.6588013131309234,537.1615323122651,422.53669981435576,buy,158.9199981689453,
2018-02-15,161.10000610351562,965.493764909254,2.574980529448071,550.6643858987359,414.82937901051815,sell,,161.10000610351562
2018-02-16,162.57000732421875,969.2785299982725,2.5184593340982158,559.8525776081784,409.42595239009404,sell,,162.57000732421875
2018-02-20,160.4199981689453,963.8624932233597,2.6011266718920325,546.589757281245,417.27273594211465,buy,160.4199981689453,
2018-02-21,156.02000427246094,952.4149122167003,2.7703053848473953,520.1918542367881,432.22305797991214,buy,156.02000427246094,
2018-02-22,157.1199951171875,955.4618905124518,2.7280109999569495,526.836815519582,428.6250749928697,sell,,157.1199951171875
2018-02-23,160.00999450683594,963.3449516234697,2.616891214637892,544.6162027442733,418.72874887919636,sell,,160.00999450683594
2018-02-26,160.14999389648438,963.7112716923805,2.611508271590134,545.4782379366021,418.2330337557784,sell,,160.14999389648438
2018-02-27,156.0800018310547,953.0800112487992,2.767998493069326,521.0508013821822,432.02920986661707,buy,156.0800018310547,
2018-02-28,156.02000427246094,952.9139021048974,2.7703053848473953,520.6908441249852,432.22305797991214,buy,156.02000427246094,
