Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,42.38000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,42.86999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,43.040000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,43.099998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,43.08000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,42.86999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,42.900001525878906,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,43.27000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,43.90999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,42.459999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,42.88000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,42.900001525878906,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,42.400001525878906,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,43.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,43.2400016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,43.93999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,43.7400016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,43.810001373291016,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,43.349998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,42.810001373291016,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,42.790000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,43.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,41.15999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,39.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,40.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,40.0,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,39.54999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,39.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,39.86999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,39.68999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,40.36999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,39.84000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,39.61999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,39.52000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,38.84000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,39.25,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,40.099998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,40.290000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,39.5,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,38.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,38.93999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,38.70000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,39.15999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,39.54999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,39.310001373291016,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,39.459999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,39.65999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,39.849998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,39.54999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,38.86999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,39.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,39.47999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,38.75,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,39.040000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,40.13000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,39.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,39.11999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,40.41999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,39.97000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,39.599998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,40.540000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,39.90999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,40.709999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-04-04,41.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-04-05,41.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-04-06,41.7599983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-04-09,41.65999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-10,42.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-04-11,43.060001373291016,1000.0,0.0,1000.0,0.0,hold,,
2018-04-12,43.060001373291016,1000.0,0.0,1000.0,0.0,hold,,
2018-04-13,42.959999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-04-16,42.72000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-04-17,42.650001525878906,1000.0,0.0,1000.0,0.0,hold,,
2018-04-18,43.52999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-04-19,43.66999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-04-20,43.5,1000.0,0.0,1000.0,0.0,hold,,
2018-04-23,43.90999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-24,44.2400016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-04-25,44.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-04-26,44.849998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-04-27,44.22000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-04-30,44.59000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-05-01,44.79999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-05-02,44.70000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-05-03,44.72999954223633,1000.0,0.0,1000.0,0.0,hold,,
