Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,74.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,74.58999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,75.51000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,75.41000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,74.52999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,75.30999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,75.6500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,75.55999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,76.83999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,77.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,77.47000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,77.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,78.30000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,78.58999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,78.55000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,79.44999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,79.44000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,80.08000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,79.95999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,78.62000274658203,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,78.4800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,79.19999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,77.0199966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,73.2699966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,74.81999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,74.98999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,71.87000274658203,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,73.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,74.76000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,75.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,76.70999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,77.08000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,76.81999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,76.45999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,77.0,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,76.2699966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,77.08000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,77.6500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,76.37999725341797,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,75.48999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,73.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,73.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,74.41999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,74.05999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,73.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,74.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,76.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,76.0199966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,74.91000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,73.47000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,73.33999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,73.47000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,72.69999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,72.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,73.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,70.30999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,67.90000152587889,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,69.77999877929689,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,68.27999877929689,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,68.26000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,67.5,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,67.70999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,68.48000335693361,1000.0,0.0,1000.0,0.0,hold,,
2018-04-04,69.30999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-04-05,70.22000122070311,1000.0,0.0,1000.0,0.0,hold,,
2018-04-06,68.59999847412111,1000.0,0.0,1000.0,0.0,hold,,
2018-04-09,69.44000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-04-10,70.51000213623047,999.9760386246539,3.398294514258602,760.3622851647397,239.6137534599143,buy,70.51000213623047,
2018-04-11,69.88999938964844,997.8677949829123,3.5831148344797903,747.4439013880794,250.4238935948328,buy,69.88999938964844,
2018-04-12,72.12999725341797,1005.8915563739959,2.91538049820635,795.6051690457035,210.28638732829234,sell,,72.12999725341797
2018-04-13,71.01000213623047,1002.626344451261,2.91538049820635,795.6051690457035,207.02117540555756,hold,,
2018-04-16,70.06999969482422,999.8815768280041,3.5294574688860116,752.5724930602662,247.3090837677379,buy,70.06999969482422,
2018-04-17,69.73999786376953,998.716163352829,3.627829684856568,745.7113288808122,253.00483447201674,buy,69.73999786376953,
2018-04-18,68.98000335693361,995.9574699696595,3.8543809846598442,730.0822567089224,265.8752132607371,buy,68.98000335693361,
2018-04-19,70.27999877929689,1000.9667858485694,3.466857588075225,757.3160387906464,243.65074705792298,sell,,70.27999877929689
2018-04-20,70.0,999.9960699559122,3.466857588075225,757.3160387906464,242.68003116526575,hold,,
2018-04-23,69.48000335693361,998.1916587208844,3.705332999598429,740.7451094702287,257.4465492506557,buy,69.48000335693361,
2018-04-24,69.12000274658203,996.8569948200218,3.8126477307859936,733.3267731963441,263.5302216236776,buy,69.12000274658203,
2018-04-25,69.36000061035156,997.7717740216845,3.7411053347582097,738.2887057194656,259.4830683022189,sell,,69.36000061035156
2018-04-26,69.18000030517578,997.0980027180765,3.7947627003519884,734.5763179496563,262.52168476842024,buy,69.18000030517578,
2018-04-27,68.98999786376953,996.3769885404522,3.7947627003519884,734.5763179496563,261.80067059079596,hold,,
2018-04-30,68.26999664306639,993.6429028144773,4.066031124823816,716.0549715721519,277.5879312423254,buy,68.26999664306639,
2018-05-01,68.25,993.5615551581071,4.07199204353789,715.6480981866462,277.91345697146096,buy,68.25,
2018-05-02,67.98999786376953,992.5023015675906,4.149497632571521,710.3779663933361,282.12433517425444,buy,67.98999786376953,
2018-05-03,67.94000244140625,992.2947444269209,4.164401066502602,709.3653258017393,282.9294186251816,buy,67.94000244140625,
2018-05-04,67.94000244140625,992.2947444269209,4.164401066502602,709.3653258017393,282.9294186251816,hold,,
2018-05-07,68.5,994.6262271115895,3.997468051007182,720.7996656175976,273.82656149399196,sell,,68.5
2018-05-08,71.0,1004.6172516373726,3.2522281257001104,773.7090547126649,230.90819692470785,sell,,71.0
2018-05-09,71.94999694824219,1007.7068584317752,3.2522281257001104,773.7090547126649,233.99780371911035,hold,,
2018-05-10,72.56999969482422,1009.7232488022206,3.2522281257001104,773.7090547126649,236.01419408955576,hold,,
2018-05-11,72.86000061035156,1010.6663979361774,3.2522281257001104,773.7090547126649,236.95734322351257,hold,,
2018-05-14,72.62000274658203,1009.8858701335182,3.2522281257001104,773.7090547126649,236.17681542085336,hold,,
2018-05-15,72.68000030517578,1010.0809958810502,3.2522281257001104,773.7090547126649,236.3719411683853,hold,,
2018-05-16,71.94999694824219,1007.7068584317752,3.2522281257001104,773.7090547126649,233.99780371911035,hold,,
2018-05-17,71.55999755859375,1006.4384914477547,3.2522281257001104,773.7090547126649,232.72943673508982,hold,,
2018-05-18,69.95999908447266,1001.2349314091408,3.2522281257001104,773.7090547126649,227.52587669647596,hold,,
2018-05-21,70.43000030517578,1002.7622858896074,3.4221427376984543,761.7407718291502,241.02151406045724,buy,70.43000030517578,
2018-05-22,71.08000183105469,1004.9859952577519,3.2283799022602615,775.5127458937524,229.47324936399954,sell,,71.08000183105469
2018-05-23,70.23999786376953,1002.2741433319496,3.2283799022602615,775.5127458937524,226.76139743819726,hold,,
2018-05-24,69.30999755859375,999.2717490376242,3.2283799022602615,775.5127458937524,223.75900314387187,hold,,
2018-05-25,68.44000244140625,996.4630742862315,3.2283799022602615,775.5127458937524,220.95032839247918,hold,,
2018-05-29,65.70999908447266,987.6495863156041,3.2283799022602615,775.5127458937524,212.1368404218517,hold,,
2018-05-30,66.68000030517578,990.7723728613303,4.54000262565906,688.0449963968854,302.72737646444494,buy,66.68000030517578,
2018-05-31,66.69000244140625,990.8177726439451,4.53702102915614,688.2438291328106,302.5739435111345,sell,,66.69000244140625
2018-06-01,67.27999877929689,993.4940067908053,4.361145498443712,700.0761429791763,293.41786381162905,sell,,67.27999877929689
2018-06-04,67.33999633789061,993.7556046544898,4.343260468009717,701.2804606442104,292.4751440102794,sell,,67.33999633789061
2018-06-05,66.76000213623047,991.2353845268027,4.516154402219211,689.7369069871015,301.4984775397012,buy,66.76000213623047,
2018-06-06,68.23000335693361,997.8726420866628,4.077952962251967,719.6338977827937,278.23874430386905,sell,,68.23000335693361
2018-06-07,68.44999694824219,998.7695411592036,4.01237375923003,724.1225695847011,274.6469715745026,sell,,68.44999694824219
2018-06-08,68.47000122070311,998.8497853621068,4.00641056622419,724.5308490020986,274.31893636000814,sell,,68.47000122070311
2018-06-11,68.11000061035156,997.4067441923065,4.113725297411744,717.220911674774,280.1858325175325,buy,68.11000061035156,
2018-06-12,67.61000061035156,995.3488738301646,4.262773282473159,707.142769600364,288.2061042298006,buy,67.61000061035156,
2018-06-13,67.29000091552734,993.9841457971812,4.358163901940795,700.7232928455669,293.2608529516143,buy,67.29000091552734,
2018-06-14,66.16000366210939,989.057203974016,4.695011529434552,678.4352239929802,310.6219799810358,buy,66.16000366210939,
2018-06-15,66.33999633789061,989.9020936880946,4.641356438132544,681.9945245795367,307.90756910855794,sell,,66.33999633789061
2018-06-18,66.75,991.8046589141675,4.519135998722135,690.152330999465,301.6523279147025,sell,,66.75
2018-06-19,66.77999877929689,991.9401976185479,4.510193483505127,690.7494822956828,301.1907153228652,sell,,66.77999877929689
2018-06-20,67.37999725341797,994.6457042570048,4.3313363562897855,702.8002724665697,291.84543179043516,sell,,67.37999725341797
2018-06-21,67.62999725341797,995.7282863432068,4.256812363759078,707.8400778738647,287.8882084693421,sell,,67.62999725341797
2018-06-22,67.19999694824219,993.896994349027,4.384993721883568,699.2254296203901,294.6715647286369,buy,67.19999694824219,
2018-06-25,65.75,987.535924867761,4.817231968844965,670.8029229162045,316.73300195155645,buy,65.75,
2018-06-26,66.30999755859375,990.2330095431014,4.6502989533495445,681.871697299762,308.36131224333934,sell,,66.30999755859375
2018-06-27,65.45999908447266,986.2786038957606,4.903680073095597,665.2837108003761,320.99489309538455,buy,65.45999908447266,
2018-06-28,66.87999725341797,993.2404051197811,4.480384341351201,693.592312675956,299.6480924438252,sell,,66.87999725341797
2018-06-29,66.91999816894531,993.419584697273,4.468460229631276,694.390234312343,299.02935038492996,sell,,66.91999816894531
2018-07-02,67.16000366210939,994.4917994513537,4.396915559311722,699.1949343859926,295.29686506536103,sell,,67.16000366210939
2018-07-03,66.05999755859375,989.6529993433523,4.724822945880252,677.5312070737151,312.1217922696372,buy,66.05999755859375,
2018-07-05,66.55999755859375,992.0149147846164,4.575774960818837,687.4513445638402,304.56357022077617,sell,,66.55999755859375
2018-07-06,67.13999938964844,994.6682922278187,4.402878752317573,699.0590154845208,295.6092767432979,sell,,67.13999938964844
2018-07-09,68.94000244140625,1002.5916378490525,3.8663050963797723,736.0485550654096,266.54308278364294,sell,,68.94000244140625
2018-07-10,68.23000335693361,999.8451206968712,4.077952962251967,721.606376393002,278.23874430386905,buy,68.23000335693361,
2018-07-11,67.91000366210939,998.5395291957111,4.1733435817196,715.1277512778925,283.4117779178187,buy,67.91000366210939,
