Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,55.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,56.34000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,56.9900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,56.88000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,57.459999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,57.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,57.6500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,59.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,60.04999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,58.84000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,59.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,59.7599983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,59.75,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,60.66999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,60.47000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,60.4900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,59.47999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,60.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,59.65999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,58.459999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,58.81000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,59.349998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,57.72000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,55.93999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,55.93999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,55.63000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,53.2400016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,52.02000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,53.40999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,53.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,55.5099983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,54.540000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,54.6500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,54.84000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,53.75,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,54.90999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,57.04999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,56.59000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,55.83000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,54.31000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,53.88000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,54.06000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,53.9900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,54.06000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,54.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,53.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,55.06000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,54.7400016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,53.959999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,53.959999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,54.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,54.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,53.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,54.70000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,57.040000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,56.5,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,57.7400016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,59.08000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,59.13999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,58.72999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,59.290000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,58.09000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,60.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-04-04,59.56000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-04-05,60.459999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-04-06,59.2599983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-04-09,60.61999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-04-10,62.34000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-11,63.22999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-04-12,63.2400016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-04-13,64.90000152587889,1000.0,0.0,1000.0,0.0,hold,,
2018-04-16,65.73000335693361,1000.0,0.0,1000.0,0.0,hold,,
2018-04-17,66.51000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-04-18,66.41999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-04-19,66.30999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-04-20,65.79000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-04-23,65.48000335693361,1000.0,0.0,1000.0,0.0,hold,,
2018-04-24,65.30999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-04-25,65.05999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-04-26,66.97000122070311,1000.0,0.0,1000.0,0.0,hold,,
2018-04-27,64.94999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-04-30,65.5,1000.0,0.0,1000.0,0.0,hold,,
2018-05-01,65.70999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-05-02,65.44999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-05-03,65.98999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-05-04,66.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-05-07,66.76999664306639,1000.0,0.0,1000.0,0.0,hold,,
2018-05-08,67.73999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-05-09,68.69999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-05-10,69.33999633789061,1000.0,0.0,1000.0,0.0,hold,,
2018-05-11,69.44000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-05-14,69.58999633789061,1000.0,0.0,1000.0,0.0,hold,,
2018-05-15,70.08999633789061,1000.0,0.0,1000.0,0.0,hold,,
2018-05-16,69.84999847412111,1000.0,0.0,1000.0,0.0,hold,,
2018-05-17,70.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-05-18,69.55000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-05-21,70.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-05-22,70.12999725341797,1000.0,0.0,1000.0,0.0,hold,,
2018-05-23,69.12000274658203,1000.0,0.0,1000.0,0.0,hold,,
2018-05-24,68.44999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-05-25,65.47000122070311,1000.0,0.0,1000.0,0.0,hold,,
2018-05-29,65.70999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-05-30,68.05000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-05-31,67.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-06-01,68.29000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-06-04,67.90000152587889,1000.0,0.0,1000.0,0.0,hold,,
2018-06-05,67.55999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-06-06,67.87999725341797,1000.0,0.0,1000.0,0.0,hold,,
2018-06-07,69.48000335693361,1000.0,0.0,1000.0,0.0,hold,,
2018-06-08,69.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-06-11,70.48999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-06-12,69.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-06-13,69.62000274658203,1000.0,0.0,1000.0,0.0,hold,,
2018-06-14,68.12999725341797,1000.0,0.0,1000.0,0.0,hold,,
2018-06-15,65.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-06-18,66.59999847412111,1000.0,0.0,1000.0,0.0,hold,,
2018-06-19,66.26000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-06-20,67.47000122070311,1000.0,0.0,1000.0,0.0,hold,,
2018-06-21,65.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-06-22,67.77999877929689,1000.0,0.0,1000.0,0.0,hold,,
2018-06-25,66.13999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-06-26,67.33999633789061,1000.0,0.0,1000.0,0.0,hold,,
2018-06-27,68.73999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-06-28,68.41000366210939,1000.0,0.0,1000.0,0.0,hold,,
2018-06-29,69.62000274658203,1000.0,0.0,1000.0,0.0,hold,,
2018-07-02,68.58999633789061,1000.0,0.0,1000.0,0.0,hold,,
2018-07-03,69.55999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-07-05,68.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-07-06,69.65000152587889,1000.0,0.0,1000.0,0.0,hold,,
2018-07-09,71.0,1000.0,0.0,1000.0,0.0,hold,,
2018-07-10,71.73999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-07-11,70.05000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-07-12,71.44999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-07-13,72.0,1000.0,0.0,1000.0,0.0,hold,,
2018-07-16,70.58000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-07-17,70.27999877929689,1000.0,0.0,1000.0,0.0,hold,,
2018-07-18,70.34999847412111,1000.0,0.0,1000.0,0.0,hold,,
2018-07-19,69.69000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-07-20,70.01000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-07-23,69.98000335693361,1000.0,0.0,1000.0,0.0,hold,,
2018-07-24,70.8499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-07-25,71.51000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-07-26,71.80000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-07-27,71.44999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-07-30,72.2699966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-07-31,72.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-08-01,71.80999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-08-02,71.55999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-08-03,71.29000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-08-06,71.7300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-08-07,72.9000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-08-08,71.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-08-09,71.75,1000.0,0.0,1000.0,0.0,hold,,
2018-08-10,71.94000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-08-13,71.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-08-14,72.1500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-08-15,67.81999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-08-16,69.41000366210939,1000.0,0.0,1000.0,0.0,hold,,
2018-08-17,69.76999664306639,1000.0,0.0,1000.0,0.0,hold,,
2018-08-20,70.5199966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-08-21,70.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-08-22,72.0,1000.0,0.0,1000.0,0.0,hold,,
2018-08-23,72.05000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-08-24,72.61000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-08-27,72.83999633789062,1000.0,0.0,1000.0,0.0,hold,,
