Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,38.86000061035156,1000.0,0,1000,0.0,hold,,
2018-01-03,39.16999816894531,1000.0,0,1000,0.0,hold,,
2018-01-04,38.9900016784668,1000.0,0,1000,0.0,hold,,
2018-01-05,39.52999877929688,1000.0,0,1000,0.0,hold,,
2018-01-08,39.93999862670898,1000.0,0,1000,0.0,hold,,
2018-01-09,39.68999862670898,1000.0,0,1000,0.0,hold,,
2018-01-10,39.90999984741211,1000.0,0,1000,0.0,hold,,
2018-01-11,40.099998474121094,1000.0,0,1000,0.0,hold,,
2018-01-12,40.86999893188477,1000.0,0,1000,0.0,hold,,
2018-01-16,40.540000915527344,1000.0,0,1000,0.0,hold,,
2018-01-17,41.20000076293945,1000.0,0,1000,0.0,hold,,
2018-01-18,41.29999923706055,1000.0,0,1000,0.0,hold,,
2018-01-19,41.290000915527344,1000.0,0,1000,0.0,hold,,
2018-01-22,41.65999984741211,1000.0,0,1000,0.0,hold,,
2018-01-23,42.099998474121094,1000.0,0,1000,0.0,hold,,
2018-01-24,42.16999816894531,1000.0,0,1000,0.0,hold,,
2018-01-25,41.900001525878906,1000.0,0,1000,0.0,hold,,
2018-01-26,42.560001373291016,1000.0,0,1000,0.0,hold,,
2018-01-29,42.849998474121094,1000.0,0,1000,0.0,hold,,
2018-01-30,42.25,1000.0,0,1000,0.0,hold,,
2018-01-31,41.540000915527344,1000.0,0,1000,0.0,hold,,
2018-02-01,41.70000076293945,1000.0,0,1000,0.0,hold,,
2018-02-02,40.93000030517578,1000.0,0,1000,0.0,hold,,
2018-02-05,38.77999877929688,1000.0,0,1000,0.0,hold,,
2018-02-06,40.16999816894531,1000.0,0,1000,0.0,hold,,
2018-02-07,40.34000015258789,1000.0,0,1000,0.0,hold,,
2018-02-08,38.77000045776367,1000.0,0,1000,0.0,hold,,
2018-02-09,39.52999877929688,1000.0,0,1000,0.0,hold,,
2018-02-12,40.599998474121094,1000.0,0,1000,0.0,hold,,
2018-02-13,41.22999954223633,1000.0,0,1000,0.0,hold,,
2018-02-14,42.09000015258789,1000.0,0,1000,0.0,hold,,
2018-02-15,44.08000183105469,1000.0,0,1000,0.0,hold,,
2018-02-16,44.33000183105469,1000.0,0,1000,0.0,hold,,
2018-02-20,44.060001373291016,1000.0,0,1000,0.0,hold,,
2018-02-21,43.310001373291016,1000.0,0,1000,0.0,hold,,
2018-02-22,42.93999862670898,1000.0,0,1000,0.0,hold,,
2018-02-23,44.0,1000.0,0,1000,0.0,hold,,
2018-02-26,45.36000061035156,1000.0,0,1000,0.0,hold,,
2018-02-27,45.040000915527344,1000.0,0,1000,0.0,hold,,
2018-02-28,44.77999877929688,1000.0,0,1000,0.0,hold,,
2018-03-01,43.79999923706055,1000.0,0,1000,0.0,hold,,
2018-03-02,44.060001373291016,1000.0,0,1000,0.0,hold,,
2018-03-05,44.52000045776367,1000.0,0,1000,0.0,hold,,
2018-03-06,44.290000915527344,1000.0,0,1000,0.0,hold,,
2018-03-07,44.20000076293945,1000.0,0,1000,0.0,hold,,
2018-03-08,44.34000015258789,1000.0,0,1000,0.0,hold,,
2018-03-09,45.36999893188477,1000.0,0,1000,0.0,hold,,
2018-03-12,45.54999923706055,1000.0,0,1000,0.0,hold,,
2018-03-13,45.15999984741211,1000.0,0,1000,0.0,hold,,
2018-03-14,45.27999877929688,1000.0,0,1000,0.0,hold,,
2018-03-15,45.33000183105469,1000.0,0,1000,0.0,hold,,
2018-03-16,45.0099983215332,1000.0,0,1000,0.0,hold,,
2018-03-19,44.27000045776367,1000.0,0,1000,0.0,hold,,
2018-03-20,44.36999893188477,1000.0,0,1000,0.0,hold,,
2018-03-21,44.310001373291016,1000.0,0,1000,0.0,hold,,
2018-03-22,43.06999969482422,1000.0,0,1000,0.0,hold,,
2018-03-23,42.41999816894531,1000.0,0,1000,0.0,hold,,
2018-03-26,44.060001373291016,1000.0,0,1000,0.0,hold,,
2018-03-27,42.68000030517578,1000.0,0,1000,0.0,hold,,
2018-03-28,41.65999984741211,1000.0,0,1000,0.0,hold,,
2018-03-29,42.88999938964844,1000.0,0,1000,0.0,hold,,
2018-04-02,41.0099983215332,1000.0,0,1000,0.0,hold,,
2018-04-03,41.38000106811523,1000.0,0,1000,0.0,hold,,
2018-04-04,41.20000076293945,1000.0,0,1000,0.0,hold,,
2018-04-05,41.81999969482422,1000.0,0,1000,0.0,hold,,
2018-04-06,40.72999954223633,1000.0,0,1000,0.0,hold,,
2018-04-09,41.16999816894531,1000.0,0,1000,0.0,hold,,
2018-04-10,42.5099983215332,1000.0,0,1000,0.0,hold,,
2018-04-11,42.43000030517578,1000.0,0,1000,0.0,hold,,
2018-04-12,43.34000015258789,1000.0,0,1000,0.0,hold,,
2018-04-13,43.0,1000.0,0,1000,0.0,hold,,
2018-04-16,43.29999923706055,1000.0,0,1000,0.0,hold,,
2018-04-17,44.59000015258789,1000.0,0,1000,0.0,hold,,
2018-04-18,44.63000106811523,1000.0,0,1000,0.0,hold,,
2018-04-19,44.560001373291016,1000.0,0,1000,0.0,hold,,
2018-04-20,44.09000015258789,1000.0,0,1000,0.0,hold,,
2018-04-23,44.25,1000.0,0,1000,0.0,hold,,
2018-04-24,43.7400016784668,1000.0,0,1000,0.0,hold,,
2018-04-25,43.709999084472656,1000.0,0,1000,0.0,hold,,
2018-04-26,44.209999084472656,1000.0,0,1000,0.0,hold,,
2018-04-27,44.709999084472656,1000.0,0,1000,0.0,hold,,
2018-04-30,44.290000915527344,1000.0,0,1000,0.0,hold,,
2018-05-01,44.83000183105469,1000.0,0,1000,0.0,hold,,
2018-05-02,43.86000061035156,1000.0,0,1000,0.0,hold,,
2018-05-03,44.43999862670898,1000.0,0,1000,0.0,hold,,
2018-05-04,45.29999923706055,1000.0,0,1000,0.0,hold,,
2018-05-07,45.72999954223633,1000.0,0,1000,0.0,hold,,
2018-05-08,45.709999084472656,1000.0,0,1000,0.0,hold,,
2018-05-09,46.040000915527344,1000.0,0,1000,0.0,hold,,
2018-05-10,46.29999923706055,1000.0,0,1000,0.0,hold,,
2018-05-11,45.93000030517578,1000.0,0,1000,0.0,hold,,
2018-05-14,45.70000076293945,1000.0,0,1000,0.0,hold,,
2018-05-15,45.47999954223633,1000.0,0,1000,0.0,hold,,
2018-05-16,45.15999984741211,1000.0,0,1000,0.0,hold,,
2018-05-17,43.459999084472656,1000.0,0,1000,0.0,hold,,
2018-05-18,43.209999084472656,1000.0,0,1000,0.0,hold,,
2018-05-21,43.75,1000.0,0,1000,0.0,hold,,
2018-05-22,43.650001525878906,1000.0,0,1000,0.0,hold,,
2018-05-23,43.68000030517578,1000.0,0,1000,0.0,hold,,
2018-05-24,43.56999969482422,1000.0,0,1000,0.0,hold,,
2018-05-25,43.2599983215332,1000.0,0,1000,0.0,hold,,
2018-05-29,42.97000122070313,1000.0,0,1000,0.0,hold,,
2018-05-30,42.849998474121094,1000.0,0,1000,0.0,hold,,
2018-05-31,42.709999084472656,1000.0,0,1000,0.0,hold,,
2018-06-01,43.65999984741211,1000.0,0,1000,0.0,hold,,
2018-06-04,43.58000183105469,1000.0,0,1000,0.0,hold,,
2018-06-05,43.66999816894531,1000.0,0,1000,0.0,hold,,
2018-06-06,44.2599983215332,1000.0,0,1000,0.0,hold,,
2018-06-07,43.650001525878906,1000.0,0,1000,0.0,hold,,
2018-06-08,43.47999954223633,1000.0,0,1000,0.0,hold,,
2018-06-11,43.68999862670898,1000.0,0,1000,0.0,hold,,
2018-06-12,43.93999862670898,1000.0,0,1000,0.0,hold,,
2018-06-13,44.0099983215332,1000.0,0,1000,0.0,hold,,
2018-06-14,44.68999862670898,1000.0,0,1000,0.0,hold,,
2018-06-15,44.25,1000.0,0,1000,0.0,hold,,
2018-06-18,44.209999084472656,1000.0,0,1000,0.0,hold,,
2018-06-19,43.81999969482422,1000.0,0,1000,0.0,hold,,
2018-06-20,43.7400016784668,1000.0,0,1000,0.0,hold,,
2018-06-21,43.15999984741211,1000.0,0,1000,0.0,hold,,
2018-06-22,43.20000076293945,1000.0,0,1000,0.0,hold,,
2018-06-25,42.290000915527344,1000.0,0,1000,0.0,hold,,
2018-06-26,42.54999923706055,1000.0,0,1000,0.0,hold,,
2018-06-27,42.33000183105469,1000.0,0,1000,0.0,hold,,
2018-06-28,42.93999862670898,1000.0,0,1000,0.0,hold,,
