Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,145.1300048828125,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,145.55999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,144.72000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,144.92999267578125,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,144.9499969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,144.3800048828125,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,143.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,143.99000549316406,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,144.72000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,143.13999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,145.08999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,145.14999389648438,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,145.24000549316406,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,145.30999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,146.1199951171875,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,144.67999267578125,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,144.92999267578125,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,145.02000427246094,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,141.85000610351562,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,142.52999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,143.9600067138672,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,143.39999389648438,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,141.67999267578125,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,135.1300048828125,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,137.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,135.8800048828125,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,134.72999572753906,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,135.22000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,136.63999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,137.07000732421878,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,138.53999328613278,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,140.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,140.5,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,139.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,138.10000610351562,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,136.72999572753906,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,139.08000183105472,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,139.41000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,137.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,135.63999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,133.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,132.78999328613278,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,133.92999267578122,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,133.42999267578122,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,132.92999267578122,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,135.75999450683594,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,136.27000427246094,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,136.6300048828125,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,135.21000671386722,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,135.72000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,135.69999694824222,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,135.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,135.19999694824222,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,135.22999572753906,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,133.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,132.94999694824222,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,132.08000183105472,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,134.64999389648438,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,133.02000427246094,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,135.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,135.41999816894528,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,133.66999816894528,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,134.6300048828125,1000.0,0.0,1000.0,0.0,hold,,
2018-04-04,137.80000305175778,1000.0,0.0,1000.0,0.0,hold,,
2018-04-05,139.69000244140622,1000.0,0.0,1000.0,0.0,hold,,
2018-04-06,139.16999816894528,1000.0,0.0,1000.0,0.0,hold,,
2018-04-09,140.9199981689453,1000.0,0.0,1000.0,0.0,hold,,
2018-04-10,142.92999267578125,1000.0,0.0,1000.0,0.0,hold,,
2018-04-11,141.3699951171875,1000.0,0.0,1000.0,0.0,hold,,
2018-04-12,141.4499969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-04-13,142.0,1000.0,0.0,1000.0,0.0,hold,,
2018-04-16,141.08999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-04-17,139.77000427246094,1000.0,0.0,1000.0,0.0,hold,,
2018-04-18,139.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-04-19,139.28999328613278,1000.0,0.0,1000.0,0.0,hold,,
2018-04-20,137.78999328613278,1000.0,0.0,1000.0,0.0,hold,,
2018-04-23,137.25,1000.0,0.0,1000.0,0.0,hold,,
2018-04-24,137.24000549316406,1000.0,0.0,1000.0,0.0,hold,,
2018-04-25,137.61000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-04-26,139.14999389648438,1000.0,0.0,1000.0,0.0,hold,,
2018-04-27,140.85000610351562,1000.0,0.0,1000.0,0.0,hold,,
2018-04-30,141.9600067138672,1000.0,0.0,1000.0,0.0,hold,,
2018-05-01,141.80999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-05-02,140.47999572753906,1000.0,0.0,1000.0,0.0,hold,,
2018-05-03,141.50999450683594,1000.0,0.0,1000.0,0.0,hold,,
2018-05-04,143.5500030517578,1000.0,0.0,1000.0,0.0,hold,,
