Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,109.4499969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,109.75,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,107.19000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,112.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,113.22000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,112.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,112.25,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,112.0,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,113.12999725341795,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,111.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,113.13999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,115.27999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,116.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,117.98999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,117.66999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,114.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,114.5,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,115.1999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,117.6500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,118.6999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,126.95999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,128.17999267578122,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,124.52999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,121.63999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,123.12999725341795,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,123.0500030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,116.54000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,120.63999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,122.22000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,122.27999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,123.7699966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,126.4800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,126.0199966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,126.33999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,124.9000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,124.61000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,127.0999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,128.57000732421878,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,125.8000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,123.6999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,122.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,125.08999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,126.0999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,124.5500030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,127.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,128.82000732421878,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,128.49000549316406,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,128.1199951171875,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,126.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,127.97000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,129.1199951171875,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,128.52000427246094,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,125.44000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,126.8499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,126.0,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,122.9800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,121.44000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,126.44000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,119.9800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,119.33000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,121.23999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,118.72000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,119.51000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-04-04,120.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-04-05,121.2300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-04-06,118.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-04-09,118.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-04-10,120.70999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-04-11,118.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-04-12,121.08999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-04-13,120.52999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-04-16,122.19000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-04-17,124.30999755859376,1000.0,0.0,1000.0,0.0,hold,,
2018-04-18,124.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-04-19,123.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-04-20,120.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-04-23,119.5999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-24,118.58999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-04-25,116.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-04-26,119.5999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-27,117.47000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-04-30,117.9800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-05-01,119.83000183105469,1000.0,0.0,1000.0,0.0,hold,,
