Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,22.0,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,22.40999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,22.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,22.63999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,22.76000022888184,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,22.739999771118164,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,22.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,23.20000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,23.520000457763672,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,23.229999542236328,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,23.46999931335449,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,23.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,23.190000534057614,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,23.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,23.60000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,24.21999931335449,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,24.26000022888184,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,24.1200008392334,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,23.739999771118164,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,23.20000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,23.440000534057614,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,23.82999992370605,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,22.709999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,21.96999931335449,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,22.479999542236328,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,22.59000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,21.709999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,21.51000022888184,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,21.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,22.1299991607666,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,22.350000381469727,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,22.459999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,22.53000068664551,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,22.459999084472656,1000.0,0.0,1000.0,0.0,hold,,
