Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,1.25,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,1.2400000095367432,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,1.25,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,1.2200000286102295,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,1.2400000095367432,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,1.2200000286102295,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,1.25,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,1.2300000190734863,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,1.2200000286102295,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,1.3200000524520874,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,1.25,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,1.2400000095367432,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,2.9500000476837163,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,2.490000009536743,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,2.9200000762939453,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,2.8299999237060547,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,2.970000028610229,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,2.740000009536743,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,2.490000009536743,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,2.5199999809265137,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,2.4300000667572017,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,2.4100000858306885,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,2.1199998855590816,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,1.9700000286102293,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,2.049999952316284,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,2.0299999713897705,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,1.919999957084656,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,1.8899999856948853,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,2.039999961853028,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,1.9600000381469729,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,1.9900000095367432,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,1.7599999904632568,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,1.7200000286102295,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,1.6799999475479126,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,1.6299999952316284,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,1.6699999570846558,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,1.7100000381469729,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,1.7000000476837158,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,1.5900000333786009,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,1.5700000524520874,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,1.559999942779541,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,1.559999942779541,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,1.5700000524520874,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,1.5700000524520874,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,1.6000000238418581,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,1.6599999666213991,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,1.6200000047683716,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,1.6000000238418581,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,1.559999942779541,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,1.5199999809265137,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,1.5,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,1.5499999523162842,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,1.4700000286102295,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,1.5199999809265137,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,1.5399999618530271,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,1.5199999809265137,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,1.4900000095367432,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,1.4700000286102295,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,1.5199999809265137,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,1.4199999570846558,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,1.4199999570846558,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,1.3799999952316284,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,1.3600000143051147,1000.0,0.0,1000.0,0.0,hold,,
2018-04-04,1.3899999856948853,1000.0,0.0,1000.0,0.0,hold,,
2018-04-05,1.3700000047683716,1000.0,0.0,1000.0,0.0,hold,,
2018-04-06,1.5499999523162842,1000.0,0.0,1000.0,0.0,hold,,
2018-04-09,1.5499999523162842,1000.0,0.0,1000.0,0.0,hold,,
2018-04-10,1.5700000524520874,1000.0,0.0,1000.0,0.0,hold,,
2018-04-11,1.5299999713897705,1000.0,0.0,1000.0,0.0,hold,,
2018-04-12,1.5800000429153442,1000.0,0.0,1000.0,0.0,hold,,
2018-04-13,1.5499999523162842,1000.0,0.0,1000.0,0.0,hold,,
2018-04-16,1.5700000524520874,1000.0,0.0,1000.0,0.0,hold,,
2018-04-17,1.5499999523162842,1000.0,0.0,1000.0,0.0,hold,,
2018-04-18,1.5499999523162842,1000.0,0.0,1000.0,0.0,hold,,
2018-04-19,1.5399999618530271,1000.0,0.0,1000.0,0.0,hold,,
2018-04-20,1.4800000190734863,1000.0,0.0,1000.0,0.0,hold,,
2018-04-23,1.440000057220459,1000.0,0.0,1000.0,0.0,hold,,
2018-04-24,1.440000057220459,1000.0,0.0,1000.0,0.0,hold,,
2018-04-25,1.3899999856948853,1000.0,0.0,1000.0,0.0,hold,,
2018-04-26,1.4500000476837158,1000.0,0.0,1000.0,0.0,hold,,
2018-04-27,1.4199999570846558,1000.0,0.0,1000.0,0.0,hold,,
2018-04-30,1.399999976158142,1000.0,0.0,1000.0,0.0,hold,,
2018-05-01,1.4299999475479126,1000.0,0.0,1000.0,0.0,hold,,
2018-05-02,1.4099999666213991,1000.0,0.0,1000.0,0.0,hold,,
2018-05-03,1.4500000476837158,1000.0,0.0,1000.0,0.0,hold,,
2018-05-04,1.4299999475479126,1000.0,0.0,1000.0,0.0,hold,,
2018-05-07,1.5,1000.0,0.0,1000.0,0.0,hold,,
2018-05-08,1.4600000381469729,1000.0,0.0,1000.0,0.0,hold,,
2018-05-09,1.4600000381469729,1000.0,0.0,1000.0,0.0,hold,,
2018-05-10,1.440000057220459,1000.0,0.0,1000.0,0.0,hold,,
2018-05-11,1.440000057220459,1000.0,0.0,1000.0,0.0,hold,,
2018-05-14,1.4299999475479126,1000.0,0.0,1000.0,0.0,hold,,
2018-05-15,1.440000057220459,1000.0,0.0,1000.0,0.0,hold,,
2018-05-16,1.5800000429153442,1000.0,0.0,1000.0,0.0,hold,,
2018-05-17,1.5900000333786009,1000.0,0.0,1000.0,0.0,hold,,
2018-05-18,1.5900000333786009,1000.0,0.0,1000.0,0.0,hold,,
2018-05-21,1.6599999666213991,1000.0,0.0,1000.0,0.0,hold,,
2018-05-22,1.559999942779541,1000.0,0.0,1000.0,0.0,hold,,
2018-05-23,1.5299999713897705,1000.0,0.0,1000.0,0.0,hold,,
