Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,200.4900054931641,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,201.7400054931641,999.9784742564325,1.067004212421085,784.7210385813736,215.2574356750589,buy,201.7400054931641,
2018-01-04,205.2100067138672,1003.680980176029,1.067004212421085,784.7210385813736,218.95994159465542,hold,,
2018-01-05,204.6999969482422,1003.1367976077313,1.067004212421085,784.7210385813736,218.41575902635765,hold,,
2018-01-08,204.6999969482422,1003.1367976077313,1.067004212421085,784.7210385813736,218.41575902635765,hold,,
2018-01-09,205.8800048828125,1004.3942591092167,0.9104144170923671,816.9581344728573,187.43612463635944,sell,,205.8800048828125
2018-01-10,204.75,1003.3646112529213,0.9531553010071079,808.206063371716,195.15854788120535,buy,204.75,
2018-01-11,205.50999450683597,1004.08870866891,0.9244095517748834,814.1133067615871,189.97540190732298,sell,,205.50999450683597
2018-01-12,210.58999633789062,1008.7826877033299,0.7322654541251685,854.5749084007468,154.20777930258305,sell,,210.58999633789062
2018-01-16,206.3300018310547,1005.6599163279559,0.8933939000845665,821.3259512876542,184.3339650403017,buy,206.3300018310547,
2018-01-17,208.5200042724609,1007.6155875246776,0.8105600632181522,838.5975996793424,169.01798784533528,sell,,208.5200042724609
2018-01-18,207.8000030517578,1007.0314173867523,0.8377931212877332,832.9380042264197,174.09341316033266,buy,207.8000030517578,
2018-01-19,209.1000061035156,1008.1200369201113,0.7886222899319462,843.2191112819729,164.90092563813838,sell,,209.1000061035156
2018-01-22,208.1999969482422,1007.409560892786,0.8226639010903014,836.1309391963562,171.27862169642975,buy,208.1999969482422,
2018-01-23,207.47999572753903,1006.8166768482953,0.8498969591598842,830.4800593929541,176.33661745534118,buy,207.47999572753903,
2018-01-24,219.2700042724609,1016.8320801860174,0.4039560661275434,928.2566318403444,88.57544834567295,sell,,219.2700042724609
2018-01-25,226.52999877929688,1019.7616887578248,0.12935673725913688,990.4585072244187,29.303181533406104,sell,,226.52999877929688
2018-01-26,226.2400054931641,1019.7239280189348,0.14032533533086067,987.9767233828508,31.74720463608401,buy,226.2400054931641,
2018-01-29,225.5,1019.6194553324002,0.16831502755314354,981.6644166191663,37.95503871323387,buy,225.5,
2018-01-30,224.27999877929688,1019.4130758561416,0.21445989944089305,971.31400987133,48.099065984811624,buy,224.27999877929688,
2018-01-31,222.47999572753903,1019.0255326800076,0.2825425446148486,956.1654685612481,62.86006411875953,buy,222.47999572753903,
2018-02-01,225.2100067138672,1019.7957141838193,0.17928362562486733,979.4192476531565,40.376466530662825,sell,,225.2100067138672
2018-02-02,221.72000122070312,1019.1670865380343,0.31128829384707046,950.1482456462712,69.01884089176306,buy,221.72000122070312,
2018-02-05,211.22000122070312,1015.8901708906308,0.7084363840285954,866.2542369913203,149.63593389931043,buy,211.22000122070312,
2018-02-06,212.4600067138672,1016.7686358983835,0.7084363840285954,866.2542369913203,150.51439890706317,hold,,
2018-02-07,214.9499969482422,1018.5326355762907,0.7084363840285954,866.2542369913203,152.27839858497032,hold,,
2018-02-08,206.0500030517578,1012.2235268140248,0.90398446965132,825.9575240836286,186.26600273039614,buy,206.0500030517578,
2018-02-09,212.1000061035156,1017.6902088394579,0.6751514070229394,874.4905912890953,143.1996175503626,sell,,212.1000061035156
2018-02-12,209.52999877929688,1015.953028000192,0.7723584070768439,854.1207719082013,161.83225609199079,buy,209.52999877929688,
2018-02-13,211.80999755859372,1017.7130909238335,0.6861205822374199,872.3858920752247,145.32719884860882,sell,,211.80999755859372
2018-02-14,218.25,1022.1290510353663,0.44253632791657616,925.5454974675736,96.58355356779275,sell,,218.25
2018-02-15,225.3999938964844,1025.2901352348001,0.1720976211738776,986.4993324726086,38.7908027621915,sell,,225.3999938964844
2018-02-16,224.19000244140625,1025.0808725498064,0.21786388741390184,976.2379670985895,48.84290545121691,buy,224.19000244140625,
2018-02-20,221.8300018310547,1024.5647335039923,0.30712767172136424,956.4346015236746,68.13013198031778,buy,221.8300018310547,
2018-02-21,220.75,1024.2321333015304,0.34797725882573793,947.4161534157488,76.81597988578164,buy,220.75,
2018-02-22,220.13999938964844,1024.0193590446547,0.3710496947696118,942.3364794645432,81.68287958011157,buy,220.13999938964844,
2018-02-23,221.0,1024.3381025704389,0.3385213519166541,949.5248837968584,74.81321877358056,sell,,221.0
2018-02-26,226.77999877929688,1026.294755571283,0.3385213519166541,949.5248837968584,76.76987177442474,hold,,
2018-02-27,223.88999938964844,1025.31520539715,0.2292110911333527,973.997134343203,51.31807105394699,sell,,223.88999938964844
2018-02-28,222.4499969482422,1024.9839292675838,0.2836772072725182,961.8799353755262,63.103993892057545,buy,222.4499969482422,
2018-03-01,219.1499938964844,1024.045058229578,0.40849529390097494,934.5233170644368,89.52174116514126,buy,219.1499938964844,
2018-03-02,223.33999633789062,1025.7548847499993,0.25001420176188915,969.9167138440782,55.83817090592097,sell,,223.33999633789062
2018-03-05,224.63999938964844,1026.0793516884962,0.20084337040610123,980.9618970830546,45.117454605441516,sell,,224.63999938964844
2018-03-06,224.80999755859372,1026.1134224178866,0.19441342296505582,982.4073412757544,43.70608114213205,sell,,224.80999755859372
2018-03-07,226.27999877929688,1026.3985813197583,0.1388126441682207,994.9880563668223,31.41052495293595,sell,,226.27999877929688
2018-03-08,226.6499938964844,1026.4497827269854,0.1248180866284585,998.1597641544744,28.29001857251098,sell,,226.6499938964844
2018-03-09,229.9499969482422,1026.860247697842,0.0,1026.860247697842,0.0,sell,,229.9499969482422
2018-03-12,224.63999938964844,1026.8557359523813,0.20084337040610123,981.7382813469399,45.117454605441516,buy,224.63999938964844,
2018-03-13,223.3500061035156,1026.5955595786022,0.24963559611416386,970.839447662849,55.75611191575325,buy,223.3500061035156,
2018-03-14,221.69000244140625,1026.179771641852,0.31242295650474006,956.9187256515648,69.26104599028719,buy,221.69000244140625,
2018-03-15,222.6000061035156,1026.4636945857983,0.2780033168414153,964.5801545601017,61.88354002569663,sell,,222.6000061035156
2018-03-16,222.7400054931641,1026.5025559068883,0.27270803205803595,965.7595673482514,60.742988558636895,sell,,222.7400054931641
2018-03-19,223.8999938964844,1026.8184028812984,0.22883306262838055,975.5826815554902,51.235721325808235,sell,,223.8999938964844
2018-03-20,225.3800048828125,1027.1564474963266,0.1728536781838219,988.1986846632448,38.95776283308188,sell,,225.3800048828125
2018-03-21,223.75,1026.873315677763,0.2345063759167303,974.4025140663947,52.4708016113684,buy,223.75,
2018-03-22,218.3699951171875,1025.6072265908317,0.4379976772858978,929.9616759405708,95.64555065026096,buy,218.3699951171875,
2018-03-23,218.80999755859372,1025.7997645610244,0.4213551887830711,933.6030367320998,92.19672782892458,sell,,218.80999755859372
2018-03-26,223.47000122070312,1027.76131186231,0.2450969454834837,972.9894971559253,54.77181470638471,sell,,223.47000122070312
2018-03-27,221.07000732421875,1027.171073893493,0.33587342095358785,952.9195342632729,74.25153963022008,buy,221.07000732421875,
2018-03-28,217.27999877929688,1025.8949960086106,0.47922529289524185,921.7689249533244,104.12607105528633,buy,217.27999877929688,
2018-03-29,220.8999938964844,1027.6282769326845,0.3423039455373882,952.0133374527329,75.61493947995157,sell,,220.8999938964844
2018-04-02,218.8800048828125,1026.9351544076258,0.41870725782000306,935.2885077715146,91.6466466361113,buy,218.8800048828125,
2018-04-03,220.32000732421875,1027.5374938823659,0.3642411416808393,947.2878828794616,80.24961100290432,sell,,220.32000732421875
2018-04-04,218.5399932861328,1026.887668181713,0.43156772984485237,932.5728593989074,94.31480878280561,buy,218.5399932861328,
2018-04-05,221.22000122070312,1028.0431518947266,0.3302001076652381,954.9962836739463,73.04686822078028,sell,,221.22000122070312
2018-04-06,215.7400054931641,1026.229185000815,0.5374734255123865,910.2746652283431,115.954519772472,buy,215.7400054931641,
2018-04-09,214.9600067138672,1025.8093222017578,0.5669758088973076,903.9321985145923,121.87712368716552,buy,214.9600067138672,
2018-04-10,214.4499969482422,1025.5197453193075,0.5862662283632023,899.7949544359614,125.72479088334619,buy,214.4499969482422,
2018-04-11,216.32000732421875,1026.615304227494,0.5155356522261823,915.0946281620304,111.52067606546363,sell,,216.32000732421875
2018-04-12,218.22000122070312,1027.5940347048163,0.44367099057424575,930.7761506001137,96.81788410470247,sell,,218.22000122070312
2018-04-13,218.41000366210938,1027.678254795141,0.4364844089805011,932.345693431256,95.33256136388489,sell,,218.41000366210938
2018-04-16,218.3999938964844,1027.6738774197609,0.4368630146282264,932.2629976913565,95.41087972840442,buy,218.3999938964844,
2018-04-17,221.41000366210938,1028.9875789892483,0.3230135260714935,957.4691529988481,71.51842599040023,sell,,221.41000366210938
2018-04-18,225.4900054931641,1030.303734880894,0.16869305605811213,992.2651367436916,38.03859813720234,sell,,225.4900054931641
2018-04-19,224.97999572753903,1030.2172657790625,0.1879834755240104,987.9247442588226,42.2925215202398,buy,224.97999572753903,
2018-04-20,223.1100006103516,1029.8641595407087,0.25871347451827376,972.1425960830304,57.721563457678236,buy,223.1100006103516,
2018-04-23,225.9600067138672,1030.6002766251697,0.15091590489761586,996.499317741275,34.10095888389462,sell,,225.9600067138672
2018-04-24,222.0200042724609,1030.0023589342,0.2999410901276196,963.4094368225792,66.59292211162068,buy,222.0200042724609,
2018-04-25,214.52999877929688,1027.7497209042708,0.5832402688951657,902.6271867301542,125.12253417411667,buy,214.52999877929688,
2018-04-26,211.75,1026.1283136687055,0.5832402688951657,902.6271867301542,123.50112693855134,hold,,
2018-04-27,203.7100067138672,1021.4307289630419,0.9924916198060849,819.2502544288875,202.18047453415448,buy,203.7100067138672,
2018-04-30,201.30999755859372,1019.0487399889752,0.9924916198060849,819.2502544288875,199.79848556008767,hold,,
2018-05-01,197.3000030517578,1015.0688540454721,0.9924916198060849,819.2502544288875,195.8185996165846,hold,,
2018-05-02,195.67999267578125,1013.4550640472019,1.2962158806971953,759.8115500061433,253.64351404105852,buy,195.67999267578125,
2018-05-03,195.0,1012.5731452061959,1.3219356704613805,754.7956894662268,257.7774557399692,buy,195.0,
2018-05-04,195.07000732421875,1012.6656645586786,1.3192877394983142,755.3121955519905,257.35346900668816,sell,,195.07000732421875
2018-05-07,196.4499969482422,1014.4862679502876,1.3192877394983142,755.3121955519905,259.17407239829714,hold,,
2018-05-08,199.6199951171875,1018.6666899682548,1.1471906954671915,789.6644889406111,229.0022010276437,sell,,199.6199951171875
2018-05-09,201.0500030517578,1020.306638044729,1.093102607832999,800.5383554040201,219.7682826407089,sell,,201.0500030517578
2018-05-10,201.6699981689453,1020.9843563241703,1.093102607832999,800.5383554040201,220.44600092015025,hold,,
2018-05-11,203.9199981689453,1023.4438371917946,1.093102607832999,800.5383554040201,222.9054817877745,hold,,
2018-05-14,203.07000732421875,1022.5147099827898,1.093102607832999,800.5383554040201,221.97635457876973,hold,,
2018-05-15,201.6499938964844,1020.9624896017756,1.093102607832999,800.5383554040201,220.42413419775545,hold,,
2018-05-16,200.5,1019.7054282745364,1.093102607832999,800.5383554040201,219.1670728705163,hold,,
2018-05-17,201.75999450683597,1021.082731555814,1.093102607832999,800.5383554040201,220.54437615179395,hold,,
2018-05-18,202.5200042724609,1021.9135002125972,1.093102607832999,800.5383554040201,221.37514480857712,hold,,
2018-05-21,205.7700042724609,1025.4660836880544,1.093102607832999,800.5383554040201,224.92772828403437,hold,,
2018-05-22,204.3699951171875,1023.935730029435,1.093102607832999,800.5383554040201,223.39737462541495,hold,,
2018-05-23,205.55999755859372,1025.2365248014637,1.093102607832999,800.5383554040201,224.6981693974437,hold,,
2018-05-24,208.72999572753903,1028.7016580667637,1.093102607832999,800.5383554040201,228.16330266274366,hold,,
2018-05-25,208.1199951171875,1028.0348648088088,1.093102607832999,800.5383554040201,227.4965094047887,hold,,
2018-05-29,201.80999755859372,1021.13739002209,1.093102607832999,800.5383554040201,220.59903461806996,hold,,
2018-05-30,204.0399932861328,1023.5750041673195,1.093102607832999,800.5383554040201,223.0366487632994,hold,,
2018-05-31,201.7100067138672,1021.0280897689601,1.093102607832999,800.5383554040201,220.48973436493998,hold,,
2018-06-01,203.47000122070312,1022.9519443541542,1.093102607832999,800.5383554040201,222.41358895013408,hold,,
2018-06-04,202.6000061035156,1022.0009504227545,1.093102607832999,800.5383554040201,221.46259501873442,hold,,
2018-06-05,201.1000061035156,1020.361296511005,1.093102607832999,800.5383554040201,219.82294110698493,hold,,
2018-06-06,201.50999450683597,1020.8094559038558,1.093102607832999,800.5383554040201,220.2711004998357,hold,,
2018-06-07,202.8500061035156,1022.2742260747127,1.093102607832999,800.5383554040201,221.73587067069266,hold,,
2018-06-08,202.5800018310547,1021.9790837003598,1.093102607832999,800.5383554040201,221.4407282963396,hold,,
2018-06-11,201.6999969482422,1021.0171480680516,1.093102607832999,800.5383554040201,220.4787926640315,hold,,
2018-06-12,198.5,1017.5192230588704,1.093102607832999,800.5383554040201,216.9808676548503,hold,,
2018-06-13,199.82000732421875,1018.9621265073325,1.093102607832999,800.5383554040201,218.42377110331248,hold,,
2018-06-14,195.82000732421875,1014.5897160760005,1.093102607832999,800.5383554040201,214.0513606719805,hold,,
2018-06-15,195.8000030517578,1014.5678493536057,1.093102607832999,800.5383554040201,214.02949394958563,hold,,
2018-06-18,195.97000122070312,1014.7536747954067,1.093102607832999,800.5383554040201,214.2153193913866,hold,,
2018-06-19,190.69000244140625,1008.9820943604022,1.093102607832999,800.5383554040201,208.44373895638213,hold,,
2018-06-20,191.3999938964844,1009.7581878714873,1.093102607832999,800.5383554040201,209.2198324674672,hold,,
2018-06-21,188.42999267578125,1006.5116717918695,1.093102607832999,800.5383554040201,205.9733163878494,hold,,
2018-06-22,189.3800048828125,1007.5501326128485,1.093102607832999,800.5383554040201,207.01177720882845,hold,,
2018-06-25,189.1000061035156,1007.244065217009,1.093102607832999,800.5383554040201,206.70570981298894,hold,,
2018-06-26,188.8000030517578,1006.9161310987747,1.093102607832999,800.5383554040201,206.37777569475463,hold,,
2018-06-27,185.88999938964844,1003.7351985069195,1.093102607832999,800.5383554040201,203.19684310289932,hold,,
2018-06-28,187.44000244140625,1005.429510884945,1.093102607832999,800.5383554040201,204.89115548092488,hold,,
2018-06-29,186.41000366210938,1004.3036165332308,1.093102607832999,800.5383554040201,203.76526112921067,hold,,
2018-07-02,187.3699951171875,1005.352985696274,1.093102607832999,800.5383554040201,204.81463029225395,hold,,
2018-07-03,189.69000244140625,1007.8889917525692,1.093102607832999,800.5383554040201,207.35063634854913,hold,,
2018-07-05,188.6999969482422,1006.8068141662226,1.093102607832999,800.5383554040201,206.2684587622025,hold,,
2018-07-06,188.83999633789062,1006.9598478641424,1.093102607832999,800.5383554040201,206.42149246012224,hold,,
2018-07-09,191.5399932861328,1009.911221569407,1.093102607832999,800.5383554040201,209.3728661653869,hold,,
2018-07-10,192.8000030517578,1011.2885415301067,1.093102607832999,800.5383554040201,210.75018612608665,hold,,
2018-07-11,191.50999450683597,1009.8784298255258,1.093102607832999,800.5383554040201,209.34007442150573,hold,,
2018-07-12,193.63999938964844,1012.2067437176252,1.093102607832999,800.5383554040201,211.66838831360505,hold,,
2018-07-13,192.7400054931641,1011.2229580423443,1.093102607832999,800.5383554040201,210.68460263832424,hold,,
2018-07-16,191.5,1009.8675048040394,1.093102607832999,800.5383554040201,209.32914940001933,hold,,
2018-07-17,192.32000732421875,1010.763856948585,1.093102607832999,800.5383554040201,210.225501544565,hold,,
2018-07-18,195.42999267578125,1014.1633900467004,1.093102607832999,800.5383554040201,213.6250346426804,hold,,
2018-07-19,194.3500061035156,1012.9828539081323,1.093102607832999,800.5383554040201,212.44449850411218,hold,,
2018-07-20,195.27999877929688,1013.9994313272944,1.093102607832999,800.5383554040201,213.46107592327428,hold,,
2018-07-23,193.22999572753903,1011.7585676453523,1.093102607832999,800.5383554040201,211.22021224133218,hold,,
2018-07-24,196.75,1015.6062934951626,1.093102607832999,800.5383554040201,215.06793809114257,hold,,
2018-07-25,203.4499969482422,1022.9300776317593,1.093102607832999,800.5383554040201,222.39172222773922,hold,,
2018-07-26,200.47999572753903,1019.6835615521416,1.093102607832999,800.5383554040201,219.14520614812142,hold,,
2018-07-27,198.6499938964844,1017.6831817782765,1.093102607832999,800.5383554040201,217.14482637425644,hold,,
2018-07-30,196.25999450683597,1015.0706672127326,1.093102607832999,800.5383554040201,214.53231180871248,hold,,
2018-07-31,199.75999450683597,1018.8965263401481,1.093102607832999,800.5383554040201,218.35817093612795,hold,,
2018-08-01,196.00999450683597,1014.7973915607743,1.093102607832999,800.5383554040201,214.2590361567542,hold,,
2018-08-02,194.94000244140625,1013.6277804436925,1.093102607832999,800.5383554040201,213.08942503967236,hold,,
2018-08-03,194.08999633789062,1012.6986365552656,1.093102607832999,800.5383554040201,212.16028115124547,hold,,
2018-08-06,193.5200042724609,1012.0755767421002,1.093102607832999,800.5383554040201,211.53722133808014,hold,,
2018-08-07,196.27999877929688,1015.0925339351273,1.093102607832999,800.5383554040201,214.55417853110728,hold,,
2018-08-08,195.1300048828125,1013.8354726078883,1.093102607832999,800.5383554040201,213.2971172038682,hold,,
2018-08-09,192.57000732421875,1011.0309560292345,1.4138468085891533,738.7664657438979,272.2644902853366,buy,192.57000732421875,
2018-08-10,191.80999755859372,1009.9564186476089,1.4138468085891533,738.7664657438979,271.189952903711,hold,,
2018-08-13,191.83999633789062,1009.9988323259795,1.4138468085891533,738.7664657438979,271.2323665820815,hold,,
2018-08-14,193.6300048828125,1012.5296301945646,1.4138468085891533,738.7664657438979,273.76316445066664,hold,,
2018-08-15,192.30999755859372,1010.6633420519036,1.4138468085891533,738.7664657438979,271.89687630800563,hold,,
2018-08-16,192.44000244140625,1010.8471490405691,1.4138468085891533,738.7664657438979,272.0806832966711,hold,,
2018-08-17,193.67999267578125,1012.6003052761218,1.4138468085891533,738.7664657438979,273.8338395322239,hold,,
2018-08-20,194.9199981689453,1014.3534830852649,1.4138468085891533,738.7664657438979,275.58701734136696,hold,,
2018-08-21,194.9600067138672,1014.4100490388189,1.4138468085891533,738.7664657438979,275.64358329492103,hold,,
2018-08-22,192.47999572753903,1010.9036934205328,1.4138468085891533,738.7664657438979,272.13722767663495,hold,,
2018-08-23,191.58999633789062,1009.6453706238322,1.4138468085891533,738.7664657438979,270.8789048799342,hold,,
2018-08-24,192.58999633789062,1011.0592174324213,1.4138468085891533,738.7664657438979,272.29275168852337,hold,,
2018-08-27,195.2899932861328,1014.8765995008939,1.4138468085891533,738.7664657438979,276.11013375699605,hold,,
2018-08-28,195.6199951171875,1015.3431715365592,1.4138468085891533,738.7664657438979,276.5767057926613,hold,,
2018-08-29,194.7100067138672,1014.0565873366717,1.4138468085891533,738.7664657438979,275.29012159277374,hold,,
2018-08-30,192.50999450683597,1010.9461070989034,1.4138468085891533,738.7664657438979,272.17964135500546,hold,,
2018-08-31,193.3999938964844,1012.2044298956041,1.4138468085891533,738.7664657438979,273.4379641517062,hold,,
2018-09-04,192.6100006103516,1011.0875004091984,1.4138468085891533,738.7664657438979,272.3210346653005,hold,,
2018-09-05,193.97999572753903,1013.0244636334166,1.4138468085891533,738.7664657438979,274.25799788951866,hold,,
2018-09-06,195.2400054931641,1014.8059244193367,1.4138468085891533,738.7664657438979,276.0394586754388,hold,,
2018-09-07,194.7100067138672,1014.0565873366717,1.4138468085891533,738.7664657438979,275.29012159277374,hold,,
2018-09-10,195.69000244140625,1015.4421511684839,1.4138468085891533,738.7664657438979,276.6756854245859,hold,,
2018-09-11,196.05999755859372,1015.9652675841128,1.4138468085891533,738.7664657438979,277.1988018402149,hold,,
2018-09-12,196.1999969482422,1016.1632052743718,1.4138468085891533,738.7664657438979,277.39673953047384,hold,,
2018-09-13,198.57000732421875,1019.5140368807695,1.4138468085891533,738.7664657438979,280.7475711368715,hold,,
2018-09-14,200.50999450683597,1022.2568815676166,1.4138468085891533,738.7664657438979,283.4904158237187,hold,,
2018-09-17,202.42999267578125,1024.971464851277,1.4138468085891533,738.7664657438979,286.204999107379,hold,,
2018-09-18,204.6100006103516,1028.049003181197,0.9584505857904837,831.9404282376142,196.1085749435827,sell,,204.6100006103516
2018-09-19,204.00999450683597,1027.4734639912108,0.9811449932293872,827.310079312074,200.1633846791369,buy,204.00999450683597,
2018-09-20,202.8600006103516,1026.3442708584846,1.0246419341540713,818.4854074705979,207.85886338788674,buy,202.8600006103516,
2018-09-21,204.66000366210938,1028.1879327772003,0.9565592889801167,832.418505191505,195.7694275856954,sell,,204.66000366210938
2018-09-24,202.8300018310547,1026.436023592187,1.0257765968117418,818.3777545826084,208.05826900957865,buy,202.8300018310547,
2018-09-25,203.47999572753903,1027.1025219901933,1.001191469705227,823.3800860121252,203.72243597806815,sell,,203.47999572753903
2018-09-26,201.8600006103516,1025.4793598190745,1.0624655617904066,811.0100608675855,214.46929895148904,buy,201.8600006103516,
2018-09-27,202.0800018310547,1025.7131035396235,1.0624655617904066,811.0100608675855,214.70304267203792,hold,,
2018-09-28,204.72000122070312,1028.5169046888436,0.9542899636647775,833.1546621624856,195.362242526358,sell,,204.72000122070312
2018-10-01,205.5,1029.260946558608,0.9247875802798564,839.2170988110976,190.04384774751048,sell,,205.5
2018-10-02,204.97999572753903,1028.7796499019057,0.9444560282507233,835.1850572662239,193.59459263568175,buy,204.97999572753903,
2018-10-03,205.72000122070312,1029.4782646488873,0.9164663360284422,840.9428088823828,188.53545576650444,sell,,205.72000122070312
2018-10-04,205.91000366210938,1029.6523215007471,0.9092797544346976,842.4225239352166,187.22979756553048,sell,,205.91000366210938
2018-10-05,206.32000732421875,1030.0249695512102,0.8937719285895378,845.6219386984357,184.40303085277455,sell,,206.32000732421875
2018-10-08,207.16000366210938,1030.7754056067704,0.8620002198892776,852.2034368977685,178.57196870900182,sell,,207.16000366210938
2018-10-09,204.16000366210938,1028.1870883255156,0.9754711027982843,829.0349044059359,199.15218391957958,buy,204.16000366210938,
2018-10-10,197.82000732421875,1021.9978613494286,1.2152727634983913,781.5925943732533,240.40526697617534,buy,197.82000732421875,
2018-10-11,192.94000244140625,1016.0673243296075,1.2152727634983913,781.5925943732533,234.47472995635414,hold,,
2018-10-12,191.8500061035156,1014.742681467856,1.2152727634983913,781.5925943732533,233.15008709460264,hold,,
2018-10-15,192.6300048828125,1015.6905927398975,1.2152727634983913,781.5925943732533,234.09799836664416,hold,,
2018-10-16,194.7100067138672,1018.218362313205,1.2152727634983913,781.5925943732533,236.62576793995171,hold,,
2018-10-17,193.83999633789062,1017.1610623993197,1.2152727634983913,781.5925943732533,235.5684680260664,hold,,
2018-10-18,191.22000122070312,1013.9770536929029,1.2152727634983913,781.5925943732533,232.38445931964964,hold,,
