Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,36.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,36.790000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,36.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,37.5099983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,37.400001525878906,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,36.95000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,36.400001525878906,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,36.84000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,37.5,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,37.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,38.150001525878906,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,38.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,38.20000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,38.560001373291016,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,38.68999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,38.650001525878906,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,38.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,39.040000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,38.47000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,38.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,37.5099983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,37.59000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,37.099998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,35.4900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,35.9900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,36.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,36.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,36.4900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,36.27000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,36.459999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,36.81999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,37.310001373291016,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,37.70000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,37.33000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,37.20000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,36.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,36.84000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,37.0,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,36.5099983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,36.310001373291016,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,35.970001220703125,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,36.22000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,36.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,36.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,37.2599983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,37.52000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,37.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,37.650001525878906,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,37.13000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,37.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,36.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,37.27999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,36.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,36.7599983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,36.7599983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,36.150001525878906,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,37.41999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,37.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,38.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,39.38000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,39.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,38.849998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,39.27999877929688,1000.0,0.0,1000.0,0.0,hold,,
