Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,21.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,21.3700008392334,999.9690785238539,14.469571797724043,690.7543170631432,309.21476146071075,buy,21.3700008392334,
2018-01-04,21.530000686645508,1002.2837142913062,14.011130286928491,700.6240695930561,301.6596446982501,sell,,21.530000686645508
2018-01-05,21.75,1005.365467821915,13.380774575848086,714.3336207972192,291.0318470246959,sell,,21.75
2018-01-08,21.84000015258789,1006.5694579770395,13.122900542893852,719.9653081178421,286.60414985919743,sell,,21.84000015258789
2018-01-09,21.809999465942386,1006.1755744715817,13.20886037556322,718.0903367348403,288.08523773674136,buy,21.809999465942386,
2018-01-10,22.049999237060547,1009.3449397908264,12.521198109369905,733.252531032136,276.0924087586904,sell,,22.049999237060547
2018-01-11,22.40999984741211,1013.8514229611245,11.489701977552969,756.3672033973519,257.4842195637726,sell,,22.40999984741211
2018-01-12,22.920000076293945,1019.7094989675727,10.028417612496952,789.858166524035,229.85133244353767,sell,,22.920000076293945
2018-01-16,22.8799991607666,1019.3080908469957,10.143030722722784,787.2355564234686,232.07253442352717,buy,22.8799991607666,
2018-01-17,23.459999084472656,1025.1890985401874,8.48117887982545,826.2206497842336,198.9684487559539,sell,,23.459999084472656
2018-01-18,23.290000915527344,1023.746179229041,8.968268203123557,814.8752045675985,208.8709746614424,buy,23.290000915527344,
2018-01-19,23.70000076293945,1027.421775736718,7.793511148578233,842.7155555694368,184.70622016728123,sell,,23.70000076293945
2018-01-22,23.85000038146973,1028.5902869135398,7.363722915339125,852.9654925736644,175.6247943398755,sell,,23.85000038146973
2018-01-23,23.809999465942386,1028.2954583614273,7.478336025564957,850.236281586588,178.05917677483933,buy,23.809999465942386,
2018-01-24,23.65999984741211,1027.172693931398,7.908124258804065,840.0664751747779,187.1062187566202,buy,23.65999984741211,
2018-01-25,23.31999969482422,1024.4816586666575,8.882313835508072,817.3461027332764,207.13555593338117,buy,23.31999969482422,
2018-01-26,23.90999984741211,1029.7202041860824,7.191808715054279,857.7640589065174,171.95614527956488,sell,,23.90999984741211
2018-01-29,23.809999465942386,1029.0003383496087,7.478336025564957,850.9411615747692,178.05917677483933,buy,23.809999465942386,
2018-01-30,23.440000534057614,1026.230877030412,8.538479969884477,826.0889019762797,200.1419750541324,buy,23.440000534057614,
2018-01-31,23.31999969482422,1025.2054504476841,8.882313835508072,818.0698945143031,207.13555593338117,buy,23.31999969482422,
2018-02-01,23.29999923706055,1025.0276665807044,8.939620390620988,816.7345182996245,208.29314828107997,buy,23.29999923706055,
2018-02-02,22.479999542236328,1017.6918988809412,11.28913449971165,763.9121604951789,253.77973838576224,buy,22.479999542236328,
2018-02-05,21.290000915527344,1004.2505851672433,14.69879255312182,691.3132782541334,312.93730691311004,buy,21.290000915527344,
2018-02-06,21.43000030517578,1006.3079773371383,14.297657597439184,699.9091706607178,306.3988066764205,sell,,21.43000030517578
2018-02-07,21.209999084472656,1003.1611382165095,14.928018773573484,686.5378736960253,316.6232645204842,buy,21.209999084472656,
2018-02-08,19.920000076293945,983.8966460032534,18.62420413749434,612.9024981634522,370.99414783980126,buy,19.920000076293945,
2018-02-09,20.11000061035156,987.4347073402079,18.079802794029426,623.8498621172403,363.5848452229676,sell,,20.11000061035156
2018-02-12,20.40999984741211,992.8577571868443,17.22022632755123,641.3929404691218,351.4648167177226,sell,,20.40999984741211
2018-02-13,20.57999992370605,995.7846957557917,16.733131539199235,651.4168499557081,344.36784580008356,sell,,20.57999992370605
2018-02-14,21.290000915527344,1007.6630701909555,14.69879255312182,694.7257632778454,312.93730691311004,sell,,21.290000915527344
2018-02-15,21.450000762939453,1010.0143830780594,14.240351042326267,704.5588423556353,305.4555407224241,sell,,21.450000762939453
2018-02-16,21.399999618530273,1009.3020426390902,14.383617430108558,701.4926351216817,307.80940751740854,buy,21.399999618530273,
2018-02-20,21.38999938964844,1009.1581418832816,14.412270707665009,700.8796802428789,308.27846164040267,buy,21.38999938964844,
2018-02-21,21.170000076293945,1005.9861177606709,15.042626418745428,687.5337153281689,318.452402432502,buy,21.170000076293945,
2018-02-22,21.38999938964844,1009.2948110784293,14.412270707665009,701.0163494380267,308.27846164040267,sell,,21.38999938964844
2018-02-23,22.1299991607666,1019.9575419988876,12.291977353972129,747.9360934713222,272.02144852756527,sell,,22.1299991607666
2018-02-26,23.459999084472656,1036.3014008754312,8.48117887982545,837.3329521194773,198.9684487559539,sell,,23.459999084472656
2018-02-27,23.520000457763672,1036.8100810778171,8.309259214486687,841.3763005494133,195.4337805284039,sell,,23.520000457763672
2018-02-28,23.38999938964844,1035.7289972572823,8.681746357666754,832.6629552503745,203.06604200690794,buy,23.38999938964844,
2018-03-01,23.35000038146973,1035.3814684048607,8.796354002838697,829.9865990830344,205.39486932182638,buy,23.35000038146973,
2018-03-02,23.56999969482422,1037.3159173713125,8.1659982917583,844.8433401266342,192.4725772446782,sell,,23.56999969482422
2018-03-05,23.690000534057614,1038.295436748279,7.822164426134691,852.9883573156616,185.3070794326173,sell,,23.690000534057614
2018-03-06,23.95000076293945,1040.3283091892333,7.077195604828461,870.82946905412,169.49884013511337,sell,,23.95000076293945
2018-03-07,24.040000915527344,1040.9649479089628,6.819321571874212,877.0284510778314,163.93649683113142,sell,,24.040000915527344
2018-03-08,23.95000076293945,1040.3505903186197,7.077195604828461,870.8517501835063,169.49884013511337,buy,23.95000076293945,
2018-03-09,24.649999618530273,1045.3021471419302,5.071515361361392,920.2892954190014,125.01285172292874,sell,,24.649999618530273
2018-03-12,23.82999992370605,1041.1379072012135,7.421029470452069,864.2947754865203,176.84313171469316,buy,23.82999992370605,
2018-03-13,23.6200008392334,1039.5780765853756,8.022731903975995,850.081142280518,189.49693430485755,buy,23.6200008392334,
2018-03-14,23.479999542236328,1038.4539418356694,8.42387232471252,840.6614235075623,197.79251832810723,buy,23.479999542236328,
2018-03-15,23.479999542236328,1038.4539418356694,8.42387232471252,840.6614235075623,197.79251832810723,hold,,
2018-03-16,23.51000022888184,1038.7065627438408,8.337912492043145,842.6822381475097,196.0243245963311,sell,,23.51000022888184
2018-03-19,23.20000076293945,1036.119753631159,9.226142236077806,822.0732467151661,214.04650691599298,buy,23.20000076293945,
2018-03-20,23.28000068664551,1036.8575774931794,8.996921480680001,827.4092392452532,209.4483382479262,sell,,23.28000068664551
2018-03-21,23.28000068664551,1036.8575774931794,8.996921480680001,827.4092392452532,209.4483382479262,hold,,
2018-03-22,22.46999931335449,1029.564843752028,11.317787777268123,775.2541601681214,254.31068358390655,buy,22.46999931335449,
2018-03-23,21.850000381469727,1022.5439458547742,13.094247265337394,736.4346381120931,286.109307742681,buy,21.850000381469727,
2018-03-26,22.200000762939453,1027.1258242370945,12.091404411076923,758.6966370861775,268.42918715091713,sell,,22.200000762939453
2018-03-27,21.770000457763672,1021.9238344477931,13.32346802073517,731.8719295373888,290.0519049104043,buy,21.770000457763672,
2018-03-28,21.690000534057614,1020.8574608428034,13.552688776132953,726.8996340505631,293.9578267922404,buy,21.690000534057614,
2018-03-29,21.920000076293945,1023.9738507835315,12.893679787496076,741.3443888579078,282.6294619256237,sell,,21.920000076293945
2018-04-02,21.13999938964844,1013.9120471037689,15.128586251414788,694.0937429826165,319.81830412115244,buy,21.13999938964844,
2018-04-03,21.31999969482422,1016.6346474584714,14.612838185506334,705.0889418029606,311.54570565551074,sell,,21.31999969482422
2018-04-04,21.540000915527344,1019.8488107982043,13.982477009372033,718.6662432149907,301.18256758321365,sell,,21.540000915527344
2018-04-05,21.549999237060547,1019.9885812311577,13.95382919686947,719.2835726845475,300.70500854661026,sell,,21.549999237060547
2018-04-06,20.780000686645508,1009.2395683939128,16.160076918177843,673.4331589379331,335.8064094559798,buy,20.780000686645508,
2018-04-09,20.88999938964844,1011.0168266949338,15.844901795164574,680.0168378649063,330.99998883002746,sell,,20.88999938964844
2018-04-10,21.75,1024.6407721713847,13.380774575848086,733.6089251466889,291.0318470246959,sell,,21.75
2018-04-11,21.59000015258789,1022.4988605057645,13.839216086643638,723.7101830834315,298.78867742233297,buy,21.59000015258789,
2018-04-12,21.940000534057614,1027.3414912966937,12.836373232383174,745.711455722844,281.6300355738497,sell,,21.940000534057614
2018-04-13,21.770000457763672,1025.1582464624744,13.32346802073517,735.1063415520701,290.0519049104043,buy,21.770000457763672,
2018-04-16,21.850000381469727,1026.2238724639537,13.094247265337394,740.1145647212727,286.109307742681,sell,,21.850000381469727
2018-04-17,22.049999237060547,1028.8420751451717,12.521198109369905,752.7496663864814,276.0924087586904,sell,,22.049999237060547
2018-04-18,22.030000686645508,1028.5915430992195,12.578499199428926,751.4871970988303,277.1043460003892,buy,22.030000686645508,
2018-04-19,21.65999984741211,1023.9351915555296,13.63864860880232,728.522064769964,295.4131267855656,buy,21.65999984741211,
2018-04-20,21.530000686645508,1022.1613767293162,14.011130286928491,720.5017320310661,301.6596446982501,buy,21.530000686645508,
2018-04-23,21.3799991607666,1020.0587669080978,14.440923985221474,711.3118242233685,308.7469426847294,buy,21.3799991607666,
2018-04-24,21.200000762939453,1017.4583303532611,14.956666586076047,700.376987317418,317.0813430358432,buy,21.200000762939453,
2018-04-25,21.309999465942386,1019.1032084598917,14.641491463062785,707.0930332014237,312.01017525846794,sell,,21.309999465942386
2018-04-26,21.479999542236328,1021.5917399858779,14.154396674710782,717.5553058924589,304.036434093419,sell,,21.479999542236328
2018-04-27,21.61000061035156,1023.4314241997474,13.78190953153073,725.6043508115584,297.82707338818904,sell,,21.61000061035156
2018-04-30,21.489999771118164,1021.7768445907557,14.125743397154324,718.2146222190354,303.56222237172034,buy,21.489999771118164,
2018-05-01,21.81999969482422,1026.43730725402,13.180207098006768,738.8451923977923,287.5921148562277,sell,,21.81999969482422
2018-05-02,21.549999237060547,1022.8769781485742,13.95382919686947,722.1719696019638,300.70500854661026,buy,21.549999237060547,
2018-05-03,21.31999969482422,1019.6661988137066,14.612838185506334,708.1204931581958,311.54570565551074,buy,21.31999969482422,
2018-05-04,21.68000030517578,1024.9257113376348,13.581342053689404,730.4822114689518,294.443499868683,sell,,21.68000030517578
2018-05-07,21.790000915527344,1026.419323863669,13.266161465622254,737.3496533822264,289.0696704814425,sell,,21.790000915527344
2018-05-08,21.959999084472656,1028.6740121977027,12.77907214232414,748.0455996518547,280.6284125458481,sell,,21.959999084472656
2018-05-09,22.57999992370605,1036.5950420216425,11.002607189200972,788.156172528917,248.43886949272562,sell,,22.57999992370605
2018-05-10,22.75,1038.4649320129174,10.515512400848962,799.2370248936035,239.2279071193139,sell,,22.75
2018-05-11,22.709999084472656,1038.0440416032814,10.630125511074795,796.6339009789434,241.410140624338,buy,22.709999084472656,
2018-05-14,22.56999969482422,1036.554925158262,11.031260466757416,787.5793797900205,248.97554536824134,buy,22.56999969482422,
2018-05-15,22.040000915527344,1030.7050236142925,12.549845921872468,754.1064080064962,276.59861560779626,buy,22.040000915527344,
2018-05-16,22.229999542236328,1033.0888720088512,12.005450043461437,766.2077230383624,266.8811489704888,sell,,22.229999542236328
2018-05-17,22.299999237060547,1033.9290262153909,11.804882565620119,770.6801540084728,263.248872206918,sell,,22.299999237060547
2018-05-18,22.13999938964844,1032.0392318166969,12.263324076415664,760.529244249793,271.5099875669038,buy,22.13999938964844,
2018-05-21,22.09000015258789,1031.4257585056694,12.406584999144073,757.3642939814821,274.0614645241872,buy,22.09000015258789,
2018-05-22,22.06999969482422,1031.1774946508372,12.463891554256989,756.0994118520632,275.0780827987739,buy,22.06999969482422,
2018-05-23,21.899999618530273,1029.057565398126,12.950986342608992,745.4309694353983,283.6265959627277,buy,21.899999618530273,
2018-05-24,21.920000076293945,1029.3165282454847,12.893679787496076,746.687066319861,282.6294619256237,sell,,21.920000076293945
2018-05-25,21.90999984741211,1029.18752571715,12.922333065052534,746.0592102336404,283.1283154835095,buy,21.90999984741211,
2018-05-29,21.299999237060547,1021.3011718215661,14.67014474061925,708.8271000388082,312.47407178275785,buy,21.299999237060547,
