Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,107.9499969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,108.05999755859376,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,109.04000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,108.33999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,108.5,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,109.0500030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,110.25,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,110.83999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,112.66999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,112.2699966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,112.98999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,113.26000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,113.01000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,114.33000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,114.20999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,115.66999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,115.6999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,116.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,116.1999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,115.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,115.66999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,116.87000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,114.27999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,108.8000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,112.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,112.87000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,107.87999725341795,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,110.04000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,111.73999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,112.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,115.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,115.51000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,114.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,114.70999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,115.19000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,114.9800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,117.30999755859376,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,118.7699966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,117.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,115.5,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,113.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,113.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,115.05999755859376,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,115.16000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,114.7300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,114.73999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,118.04000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,117.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,116.25,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,114.9499969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,115.23999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,115.44000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,114.52999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,114.63999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,114.73999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,109.9499969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,107.01000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,110.30999755859376,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,108.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,108.0,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,109.97000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,107.8499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,109.33000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-04-04,110.98999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-04-05,111.87999725341795,1000.0,0.0,1000.0,0.0,hold,,
2018-04-06,109.08999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-04-09,110.4000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-10,112.51000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-04-11,110.62000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-04-12,113.37000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-04-13,110.3000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-04-16,110.20999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-04-17,110.20999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-04-18,109.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-04-19,111.72000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-04-20,111.47000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-04-23,110.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-04-24,110.41000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-04-25,109.98999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-04-26,110.0999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-27,109.4000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-30,108.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-05-01,108.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-05-02,107.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-05-03,107.23999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-05-04,108.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-05-07,109.37000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-05-08,110.98999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-05-09,113.41000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-05-10,114.29000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-05-11,113.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-05-14,113.9000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-05-15,113.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-05-16,113.33999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-05-17,112.95999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-05-18,111.12999725341795,1000.0,0.0,1000.0,0.0,hold,,
2018-05-21,112.1500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-05-22,113.01000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-05-23,112.48999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-05-24,111.2300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-05-25,110.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-05-29,105.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-05-30,108.3499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-05-31,107.01000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-06-01,108.4000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-06-04,108.4499969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-06-05,107.83999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-06-06,110.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-06-07,110.8000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-06-08,111.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-06-11,110.83000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-06-12,110.19000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-06-13,109.97000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-06-14,108.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-06-15,107.9000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-06-18,108.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-06-19,107.5500030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-06-20,107.54000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-06-21,107.51000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-06-22,105.75,1000.0,0.0,1000.0,0.0,hold,,
2018-06-25,104.79000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-06-26,104.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-06-27,103.23999786376952,1000.0,0.0,1000.0,0.0,hold,,
2018-06-28,104.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-06-29,104.1999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-07-02,105.08000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-07-03,103.61000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-07-05,103.72000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-07-06,104.05999755859376,1000.0,0.0,1000.0,0.0,hold,,
2018-07-09,107.27999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-07-10,106.62000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-07-11,106.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-07-12,106.8499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-07-13,106.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-07-16,110.58000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-07-17,110.5,1000.0,0.0,1000.0,0.0,hold,,
2018-07-18,111.52999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-07-19,109.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-07-20,111.27999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-07-23,113.3499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-07-24,114.1500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-07-25,115.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-07-26,114.8499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-07-27,116.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-07-30,116.7300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-07-31,114.9499969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-08-01,115.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-08-02,116.1500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-08-03,117.08999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-08-06,117.12000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-08-07,117.5500030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-08-08,117.79000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-08-09,116.87999725341795,1000.0,0.0,1000.0,0.0,hold,,
2018-08-10,115.7300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-08-13,113.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-08-14,114.6500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-08-15,113.6999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-08-16,114.7699966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-08-17,114.7699966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-08-20,114.62000274658205,1000.0,0.0,1000.0,0.0,hold,,
2018-08-21,115.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-08-22,114.97000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-08-23,114.7300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-08-24,114.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-08-27,116.70999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-08-28,116.13999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-08-29,115.76000213623048,1000.0,0.0,1000.0,0.0,hold,,
2018-08-30,115.19000244140624,1000.0,0.0,1000.0,0.0,hold,,
2018-08-31,114.58000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-09-04,115.1500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-09-05,114.58999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-09-06,114.0999984741211,1000.0,0.0,1000.0,0.0,hold,,
