Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,11.670000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,11.470000267028807,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,11.460000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,11.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,11.609999656677244,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,11.510000228881836,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,11.369999885559082,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,11.4399995803833,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,11.300000190734865,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,11.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,11.210000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,11.079999923706056,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,11.1899995803833,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,11.170000076293944,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,11.220000267028807,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,11.109999656677246,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,11.020000457763672,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,10.90999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,10.5,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,10.600000381469727,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,10.539999961853027,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,10.5,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,10.359999656677246,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,10.229999542236328,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,10.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,10.210000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,10.109999656677246,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,10.210000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,10.300000190734863,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,10.449999809265137,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,10.380000114440918,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,10.640000343322754,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,10.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,10.369999885559082,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,10.15999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,10.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,10.380000114440918,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,10.40999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,10.149999618530273,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,10.029999732971193,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,10.079999923706056,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,10.119999885559082,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,10.15999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,10.260000228881836,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,10.270000457763672,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,10.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,10.34000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,10.479999542236328,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,10.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,10.529999732971193,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,10.489999771118164,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,10.619999885559082,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,10.489999771118164,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,10.5,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,10.539999961853027,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,10.550000190734863,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,10.489999771118164,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,10.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,10.600000381469727,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,10.3100004196167,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,10.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,10.350000381469727,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,10.380000114440918,1000.0,0.0,1000.0,0.0,hold,,
2018-04-04,10.449999809265137,1000.0,0.0,1000.0,0.0,hold,,
2018-04-05,10.420000076293944,1000.0,0.0,1000.0,0.0,hold,,
2018-04-06,10.479999542236328,1000.0,0.0,1000.0,0.0,hold,,
2018-04-09,10.460000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-04-10,10.420000076293944,1000.0,0.0,1000.0,0.0,hold,,
2018-04-11,10.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-04-12,10.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-04-13,10.279999732971193,1000.0,0.0,1000.0,0.0,hold,,
2018-04-16,10.300000190734863,1000.0,0.0,1000.0,0.0,hold,,
2018-04-17,10.270000457763672,1000.0,0.0,1000.0,0.0,hold,,
2018-04-18,10.279999732971193,1000.0,0.0,1000.0,0.0,hold,,
2018-04-19,10.25,1000.0,0.0,1000.0,0.0,hold,,
2018-04-20,10.25,1000.0,0.0,1000.0,0.0,hold,,
2018-04-23,10.300000190734863,1000.0,0.0,1000.0,0.0,hold,,
2018-04-24,10.300000190734863,1000.0,0.0,1000.0,0.0,hold,,
2018-04-25,10.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-04-26,10.40999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-27,10.460000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-04-30,10.369999885559082,1000.0,0.0,1000.0,0.0,hold,,
2018-05-01,10.34000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-05-02,10.279999732971193,1000.0,0.0,1000.0,0.0,hold,,
2018-05-03,10.210000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-05-04,10.350000381469727,1000.0,0.0,1000.0,0.0,hold,,
2018-05-07,10.460000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-05-08,10.199999809265137,1000.0,0.0,1000.0,0.0,hold,,
2018-05-09,10.170000076293944,1000.0,0.0,1000.0,0.0,hold,,
2018-05-10,10.380000114440918,1000.0,0.0,1000.0,0.0,hold,,
2018-05-11,10.40999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-05-14,10.4399995803833,1000.0,0.0,1000.0,0.0,hold,,
2018-05-15,10.329999923706056,1000.0,0.0,1000.0,0.0,hold,,
2018-05-16,10.260000228881836,1000.0,0.0,1000.0,0.0,hold,,
2018-05-17,10.289999961853027,1000.0,0.0,1000.0,0.0,hold,,
2018-05-18,10.399999618530273,1000.0,0.0,1000.0,0.0,hold,,
2018-05-21,10.479999542236328,1000.0,0.0,1000.0,0.0,hold,,
2018-05-22,10.460000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-05-23,10.5,1000.0,0.0,1000.0,0.0,hold,,
2018-05-24,10.40999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-05-25,10.460000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-05-29,10.550000190734863,1000.0,0.0,1000.0,0.0,hold,,
2018-05-30,10.619999885559082,1000.0,0.0,1000.0,0.0,hold,,
2018-05-31,10.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-06-01,10.4399995803833,1000.0,0.0,1000.0,0.0,hold,,
2018-06-04,10.489999771118164,1000.0,0.0,1000.0,0.0,hold,,
2018-06-05,10.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-06-06,10.420000076293944,1000.0,0.0,1000.0,0.0,hold,,
2018-06-07,10.449999809265137,1000.0,0.0,1000.0,0.0,hold,,
2018-06-08,10.539999961853027,1000.0,0.0,1000.0,0.0,hold,,
2018-06-11,10.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-06-12,10.520000457763672,1000.0,0.0,1000.0,0.0,hold,,
2018-06-13,10.420000076293944,1000.0,0.0,1000.0,0.0,hold,,
2018-06-14,10.520000457763672,1000.0,0.0,1000.0,0.0,hold,,
2018-06-15,10.479999542236328,1000.0,0.0,1000.0,0.0,hold,,
2018-06-18,10.529999732971193,1000.0,0.0,1000.0,0.0,hold,,
2018-06-19,10.59000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-06-20,10.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-06-21,10.59000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-06-22,10.619999885559082,1000.0,0.0,1000.0,0.0,hold,,
2018-06-25,10.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-06-26,10.649999618530273,1000.0,0.0,1000.0,0.0,hold,,
2018-06-27,10.529999732971193,1000.0,0.0,1000.0,0.0,hold,,
2018-06-28,10.399999618530273,1000.0,0.0,1000.0,0.0,hold,,
2018-06-29,10.289999961853027,1000.0,0.0,1000.0,0.0,hold,,
2018-07-02,10.390000343322754,1000.0,0.0,1000.0,0.0,hold,,
2018-07-03,10.449999809265137,1000.0,0.0,1000.0,0.0,hold,,
2018-07-05,10.5,1000.0,0.0,1000.0,0.0,hold,,
2018-07-06,10.520000457763672,1000.0,0.0,1000.0,0.0,hold,,
2018-07-09,10.470000267028807,1000.0,0.0,1000.0,0.0,hold,,
2018-07-10,10.479999542236328,1000.0,0.0,1000.0,0.0,hold,,
2018-07-11,10.520000457763672,1000.0,0.0,1000.0,0.0,hold,,
2018-07-12,10.460000038146973,1000.0,0.0,1000.0,0.0,hold,,
2018-07-13,10.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-07-16,10.380000114440918,1000.0,0.0,1000.0,0.0,hold,,
2018-07-17,10.40999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-07-18,10.40999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-07-19,10.4399995803833,1000.0,0.0,1000.0,0.0,hold,,
2018-07-20,10.5,1000.0,0.0,1000.0,0.0,hold,,
2018-07-23,10.449999809265137,1000.0,0.0,1000.0,0.0,hold,,
