Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,69.44000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,70.13999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,70.37000274658203,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,70.7699966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,70.76000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,70.58000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,70.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,71.7300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,72.69999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,71.98999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,72.33999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,72.19999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,72.01000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,73.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,73.2300033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,73.51000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,73.4800033569336,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,73.30999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,72.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,72.05999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,71.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,70.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,68.80999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,65.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,66.97000122070311,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,65.66000366210939,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,64.25,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,63.83000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,65.12999725341797,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,65.44000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,66.70999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,65.61000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,64.90000152587889,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,64.33999633789061,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,63.65999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,64.47000122070311,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,65.20999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,65.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,64.90000152587889,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,64.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,64.16000366210939,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,64.37000274658203,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,64.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,65.15000152587889,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,64.27999877929689,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,64.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,64.23000335693361,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,64.11000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,63.59000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,63.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,63.0,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,63.43999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,62.93999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,63.47000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,64.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,63.849998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,64.01000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,65.80000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,65.63999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,64.80000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-03-29,65.52999877929689,1000.0,0.0,1000.0,0.0,hold,,
2018-04-02,64.22000122070311,1000.0,0.0,1000.0,0.0,hold,,
2018-04-03,65.41000366210939,1000.0,0.0,1000.0,0.0,hold,,
2018-04-04,65.76000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-04-05,67.77999877929689,1000.0,0.0,1000.0,0.0,hold,,
2018-04-06,67.26000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-04-09,68.13999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-04-10,69.72000122070311,1000.0,0.0,1000.0,0.0,hold,,
2018-04-11,70.22000122070311,1000.0,0.0,1000.0,0.0,hold,,
2018-04-12,69.84999847412111,1000.0,0.0,1000.0,0.0,hold,,
2018-04-13,69.94999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-04-16,69.81999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-04-17,70.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-04-18,72.19999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-04-19,72.8499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-04-20,72.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-04-23,73.30999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-04-24,73.4000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-04-25,73.44999694824219,1000.0,0.0,1000.0,0.0,hold,,
2018-04-26,72.55000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-04-27,72.2699966430664,1000.0,0.0,1000.0,0.0,hold,,
2018-04-30,72.41999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-05-01,71.54000091552734,1000.0,0.0,1000.0,0.0,hold,,
2018-05-02,71.73999786376953,1000.0,0.0,1000.0,0.0,hold,,
