Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,76.13999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,76.66000366210938,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,78.9000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,79.58000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,80.26000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,80.61000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,81.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,82.30999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,84.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,83.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,83.08000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,83.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,83.97000122070312,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,84.08999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,84.19000244140625,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,88.5,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,89.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,89.66999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,88.77999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,85.45999908447266,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,86.8499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,86.66999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,86.51000213623047,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,83.3499984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,85.05000305175781,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,80.73999786376953,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,77.58999633789062,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,77.29000091552734,999.9608211701433,5.0690683649464585,608.1725226025608,391.7882985675825,buy,77.29000091552734,
2018-02-12,78.69000244140625,1007.056534825655,4.81750141436064,627.9673367681381,379.08919805751685,sell,,78.69000244140625
2018-02-13,77.12999725341797,999.5390455327918,5.097819500295508,606.3442414765786,393.19480405621306,buy,77.12999725341797,
2018-02-14,79.73999786376953,1012.842487667892,4.628827229618468,643.7398142663571,369.10267340153484,sell,,79.73999786376953
2018-02-15,80.7300033569336,1017.4243339806786,4.450932664237804,658.1005250552753,359.32380892540334,sell,,80.7300033569336
2018-02-16,80.77999877929688,1017.6468602391377,4.450932664237804,658.1005250552753,359.5463351838624,hold,,
2018-02-20,79.16999816894531,1010.4808559330811,4.450932664237804,658.1005250552753,352.3803308778058,hold,,
2018-02-21,81.77999877929688,1022.0970214146456,4.262258479495632,673.5295281644451,348.5674932502005,sell,,81.77999877929688
2018-02-22,81.05000305175781,1018.9855909349467,4.262258479495632,673.5295281644451,345.45606277050155,hold,,
