Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,58.90999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,59.16999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,59.83000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,60.349998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,60.20000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,59.349998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,58.97999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,58.81999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,58.86000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,59.0,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,59.15999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,59.36999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,59.25,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,59.72000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,59.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,60.02000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,60.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,60.11999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,60.22999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,60.54999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,60.81000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,60.79999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,59.5,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,57.18999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,57.29999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,57.06000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,56.33000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,56.22000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,56.599998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,56.72999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,57.86999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,58.290000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,57.81000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,57.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,57.77000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,57.61000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,58.43000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,58.849998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,58.959999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,57.97000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,58.40999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,57.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,58.02000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,58.66999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,58.81999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,58.84000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,59.20000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,58.97999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,58.33000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,58.5,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,58.27999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,58.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,57.91999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,58.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,59.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,57.93000030517578,1000.0,0.0,1000.0,0.0,hold,,
