Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,41.02000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,41.709999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,41.4900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,42.459999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,42.43999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,42.18000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,41.29999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,41.02999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,41.18999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,42.22999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,43.13000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,44.56999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,44.66999816894531,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,46.38000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,46.27999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,45.33000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,45.099998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,45.72000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,45.4000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,44.88000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,45.31000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,45.45000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,44.5099983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,42.95000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,43.59000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,41.88000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,40.36000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,41.47000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-02-12,42.52999877929688,1000.0,0.0,1000.0,0.0,hold,,
2018-02-13,42.38000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-02-14,43.04999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-02-15,43.52000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-02-16,43.47999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-02-20,43.7400016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-02-21,42.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-02-22,42.38999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-02-23,43.900001525878906,1000.0,0.0,1000.0,0.0,hold,,
2018-02-26,44.40999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-27,43.61999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-02-28,43.349998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-03-01,42.72000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-03-02,43.0099983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-03-05,43.4900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-03-06,43.540000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-03-07,44.20000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-03-08,43.79999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-03-09,44.59000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-03-12,45.22000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-03-13,44.9900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-03-14,45.1500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-03-15,45.31000137329102,1000.0,0.0,1000.0,0.0,hold,,
2018-03-16,44.97000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-03-19,44.599998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-03-20,44.83000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-03-21,44.70000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-03-22,43.68999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-03-23,42.58000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-03-26,44.27000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-03-27,43.290000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-03-28,42.68999862670898,1000.0,0.0,1000.0,0.0,hold,,
