Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,59.7599983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,60.11999893188477,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,58.6500015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,58.349998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,58.45000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,57.68999862670898,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,56.84000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,56.22999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,54.83000183105469,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,54.52000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,54.97999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,54.38000106811523,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,54.47000122070313,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,54.4900016784668,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,55.95000076293945,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,55.88999938964844,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,56.40999984741211,999.9624833862634,6.650702683577329,624.796346020483,375.1661373657804,buy,56.40999984741211,
2018-01-26,55.88999938964844,996.5030879103599,6.834462927732471,614.5249590508172,381.97812885954266,buy,55.88999938964844,
2018-01-29,55.52999877929688,994.0419706393352,6.961681661998021,607.4597964467316,386.5821741926036,buy,55.52999877929688,
2018-01-30,54.6500015258789,987.9140104048092,7.272659292362793,590.4631689799853,397.450841424824,buy,54.6500015258789,
2018-01-31,55.97000122070313,997.51261304114,6.806191498759709,616.5700665472198,380.9425464939202,sell,,55.97000122070313
2018-02-01,54.4000015258789,986.8238762769977,7.361005485818769,586.3851666164537,400.43870966054396,buy,54.4000015258789,
2018-02-02,54.33000183105469,986.3084737442091,7.385742312141964,585.041080401838,401.267393342371,buy,54.33000183105469,
2018-02-05,52.88000106811523,975.5964321421567,7.898150503797812,557.9422250651936,417.6542070769631,buy,52.88000106811523,
2018-02-06,53.18999862670898,978.0445481717322,7.788602086668199,563.7688138778681,414.27573429386416,sell,,53.18999862670898
2018-02-07,52.97000122070313,976.3306641076873,7.86634582023142,559.650316407556,416.6803477001313,buy,52.97000122070313,
2018-02-08,50.91999816894531,960.2009423223717,8.59078568501517,522.7581509715976,437.4427913507741,buy,50.91999816894531,
2018-02-09,51.59000015258789,965.956175028034,8.354017185564071,534.9724271500617,430.9837478779723,sell,,51.59000015258789
2018-02-12,50.459999084472656,956.5141116905128,8.753342357440744,514.8204643479771,441.69364734253566,buy,50.459999084472656,
2018-02-13,50.72000122070313,958.7897663928995,8.661461561335205,519.4804254289047,439.3093409639949,sell,,50.72000122070313
2018-02-14,49.61999893188477,949.2602100021742,9.050185621375057,500.1900091361849,449.07020086598925,buy,49.61999893188477,
2018-02-15,50.63999938964844,958.4904908127721,8.689732990307967,518.4424174873687,440.0480733254033,sell,,50.63999938964844
2018-02-16,51.38999938964844,965.0071095388789,8.424694409940038,532.0620689540857,432.94504058479316,sell,,51.38999938964844
2018-02-20,50.27000045776367,955.5694711590809,8.820484979167148,512.1636872186507,443.4057839404301,buy,50.27000045776367,
2018-02-21,49.34000015258789,947.364795887679,9.149132926667853,495.9465758898402,451.4182199978388,buy,49.34000015258789,
2018-02-22,49.66999816894531,950.383701988363,9.032516652295051,501.73861640789977,448.6450855804632,sell,,49.66999816894531
2018-02-23,50.5099983215332,957.9702676769053,8.735673388360734,516.7314194933424,441.23884818356294,sell,,50.5099983215332
