Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,35.29999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,35.61000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-04,35.31999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-05,35.27000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-01-08,35.5,1000.0,0.0,1000.0,0.0,hold,,
2018-01-09,35.2599983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-01-10,34.830001831054695,1000.0,0.0,1000.0,0.0,hold,,
2018-01-11,34.990001678466804,1000.0,0.0,1000.0,0.0,hold,,
2018-01-12,35.2599983215332,1000.0,0.0,1000.0,0.0,hold,,
2018-01-16,34.759998321533196,1000.0,0.0,1000.0,0.0,hold,,
2018-01-17,35.209999084472656,1000.0,0.0,1000.0,0.0,hold,,
2018-01-18,35.29999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-01-19,35.79999923706055,1000.0,0.0,1000.0,0.0,hold,,
2018-01-22,35.97999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-01-23,36.61000061035156,1000.0,0.0,1000.0,0.0,hold,,
2018-01-24,37.59000015258789,1000.0,0.0,1000.0,0.0,hold,,
2018-01-25,37.72999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-01-26,37.849998474121094,1000.0,0.0,1000.0,0.0,hold,,
2018-01-29,37.06999969482422,1000.0,0.0,1000.0,0.0,hold,,
2018-01-30,36.790000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-01-31,37.540000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-02-01,37.15999984741211,1000.0,0.0,1000.0,0.0,hold,,
2018-02-02,35.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-05,34.790000915527344,1000.0,0.0,1000.0,0.0,hold,,
2018-02-06,34.68000030517578,1000.0,0.0,1000.0,0.0,hold,,
2018-02-07,34.52000045776367,1000.0,0.0,1000.0,0.0,hold,,
2018-02-08,33.59999847412109,1000.0,0.0,1000.0,0.0,hold,,
2018-02-09,33.790000915527344,1000.0,0.0,1000.0,0.0,hold,,
